[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-];[-]
146;1199;0.033872664;0.22443318;0.23082064;19.152637;2500;0.9215248;0.87523705;0.3046134512371735
64;1130;0.10956296;0.1097333;0.11601677;6.179434;2500;0.87784934;0.8270221;0.14301707572341807
47;1076;0.022366764;0.18819915;0.16431229;2.004623;2500;1.8453068;0.9588787;0.1957426832773591
147;750;0.060803;0.14312512;0.17018645;15.085582;2500;1.1901134;0.88134694;0.23121214280271826
75;632;0.04241864;0.1294185;0.17765468;9.633691;2500;1.755666;1.1366854;0.25527851188089684
204;648;0.082047515;0.11784755;0.2883237;7.359393;2500;1.7288553;0.71809554;0.5040850428735443
136;27;0.11115176;0.17073599;0.10714067;10.263243;2500;1.6105639;1.115235;0.1004306129023536
251;604;0.058065444;0.1072596;0.16043472;18.66999;2500;1.0454655;0.9532661;0.23499401417290924
213;752;0.03815613;0.25558886;0.19849119;5.754736;2500;1.3095942;1.1703614;0.22892361448452392
100;793;0.032351043;0.13377343;0.1172792;4.8098803;2500;1.7712322;0.9003383;0.1331981012083002
251;405;0.02812528;0.17617947;0.19670759;11.144319;2500;0.9177748;0.7108805;0.26454013071507465
243;570;0.11844674;0.12249918;0.121425785;9.802858;2500;1.4071748;1.1579666;0.1466698993399555
122;767;0.041658305;0.23401792;0.26755643;3.8461547;2500;0.98436964;0.779523;0.37163130531531136
93;519;0.08351764;0.08801979;0.15401688;12.032489;2500;0.92267567;0.98666567;0.23605933037450946
207;1154;0.0248335;0.14633183;0.20460224;11.915318;2500;1.3297571;1.1997973;0.2994537432412625
50;849;0.108667895;0.13558882;0.22366357;12.503185;2500;1.171438;1.254997;0.34737767984209655
67;11;0.06396227;0.12994972;0.16114512;8.857554;2500;1.7849483;0.84760517;0.2211266932500179
12;37;0.10673401;0.1399413;0.17026293;6.510926;2500;1.3855565;1.2028993;0.23332599548648808
238;831;0.09656744;0.17652002;0.20210321;7.2382407;2500;1.6892802;1.1656649;0.2750756631288981
202;501;0.065829344;0.09570124;0.26108694;16.852785;2500;1.593598;1.2541395;0.4652491601150753
214;1008;0.10854607;0.16812804;0.19053838;12.876839;2500;1.9415649;1.1890916;0.256974138342434
236;215;0.03176175;0.12387605;0.19817919;8.5624485;2500;1.1120257;0.7536971;0.3022366887469469
143;26;0.13501205;0.1498119;0.21917298;12.652072;2500;1.736956;1.2666304;0.32733516866438844
174;471;0.10593021;0.1904125;0.18504229;7.642665;2500;1.0251482;0.7148231;0.233973137472604
50;885;0.045229804;0.2048885;0.24521567;17.39031;2500;1.8347393;0.90613365;0.34439591826696864
43;1166;0.066199765;0.23143853;0.10098152;14.825008;2500;1.8482158;0.9335411;0.07414995261748829
203;1061;0.08560275;0.18769602;0.19660395;2.9180245;2500;1.780916;0.9911589;0.25783886580383586
146;586;0.07092244;0.08573238;0.28460324;2.0672302;2500;1.1852242;0.8411375;0.5292201021244816
173;977;0.06304454;0.0875271;0.22318076;1.6349307;2500;0.9760621;0.77427846;0.38848293712748266
231;93;0.033811785;0.11930798;0.19727995;1.5231353;2500;1.8118972;1.2022285;0.30383097508604395
194;691;0.08175569;0.13603036;0.25440496;10.44129;2500;1.5074944;1.0850917;0.41303748608585655
170;1109;0.024512118;0.21899527;0.17860015;4.4359946;2500;1.337612;0.9849359;0.2083014279505669
172;481;0.05178998;0.1704308;0.19344912;13.816124;2500;1.295137;1.164762;0.2614172760232483
98;1152;0.10964359;0.14192595;0.13903195;10.172484;2500;0.92159986;1.2490942;0.17050067524575993
18;272;0.03489494;0.18254545;0.12484083;2.7760608;2500;1.5763469;0.83435595;0.12667759273170745
136;135;0.037744682;0.11863989;0.10510454;1.1108049;2500;1.424967;0.89374626;0.11750096475892778
72;634;0.018469257;0.16545574;0.24630179;1.6977701;2500;1.9535342;1.2605933;0.3728622840675285
128;1089;0.032655053;0.26623857;0.19363803;11.133398;2500;1.6100768;1.026426;0.21592689975481227
257;380;0.03197926;0.16990033;0.28787065;12.145482;2500;1.9587576;0.86874354;0.4574962225106678
77;962;0.027968168;0.1707467;0.1353632;7.707274;2500;0.9678091;0.7949332;0.15008770198186192
26;211;0.051165245;0.12175356;0.14879669;2.4991093;2500;1.618993;1.2932261;0.2012638637266474
91;897;0.13711344;0.16095814;0.22774519;18.759089;2500;1.7771413;1.0210143;0.337337575773163
95;672;0.02470578;0.15986313;0.110919535;8.708559;2500;1.5333773;1.2173545;0.11077183006770425
201;218;0.11065063;0.13637336;0.20068265;9.156863;2500;1.5378222;1.081598;0.2982948400963436
171;864;0.05740584;0.09890127;0.124716304;8.247695;2500;0.986911;0.96619844;0.1668491130726296
237;859;0.026804388;0.13316646;0.13227949;2.12988;2500;1.1854589;1.2149789;0.16204349133975746
202;623;0.05559561;0.20191714;0.20241998;14.498502;2500;1.5590609;0.91390496;0.2614949806503588
127;278;0.043578885;0.20169635;0.21381417;13.631393;2500;1.3676105;1.1610832;0.2838226426572078
246;167;0.10477141;0.14725295;0.14240696;4.124826;2500;1.8356414;0.97204965;0.1742445995437286
58;1149;0.07201918;0.11262638;0.15424772;6.103064;2500;1.7327477;1.238434;0.21834940389469756
16;790;0.06602646;0.23170689;0.15682152;11.391477;2500;1.441926;1.0019308;0.16431672943910533
36;972;0.028456023;0.20530026;0.12836197;8.158559;2500;1.5342541;0.89549017;0.12476097542911166
219;839;0.04948381;0.24594842;0.29314417;19.960655;2500;1.5876371;1.1354465;0.41571499499240966
143;997;0.061459567;0.11316601;0.23843999;10.433075;2500;1.5862597;1.2160803;0.3980751401262905
56;203;0.02869546;0.18206947;0.12216837;17.762358;2500;1.6352943;1.210611;0.12221312307347319
155;601;0.06302823;0.1373246;0.17143203;4.887643;2500;1.3966132;0.9870431;0.23733538558864467
54;803;0.0908703;0.17239094;0.13452056;11.568199;2500;0.9485729;0.96410257;0.14786283951497323
211;133;0.09832749;0.16380823;0.14687723;7.114113;2500;1.946172;0.78957593;0.1745502422844404
139;188;0.033478964;0.1895026;0.28789556;18.755531;2500;0.8197467;0.723546;0.44265722931374596
120;764;0.043269973;0.10915223;0.12735058;11.47243;2500;0.8198983;1.2589123;0.165817370159169
97;1043;0.050303265;0.12597759;0.27596235;13.424974;2500;1.92609;1.1351379;0.46898569176055144
192;795;0.0683901;0.08914974;0.268367;2.4443948;2500;1.3932594;1.046069;0.48856810493142167
114;53;0.079648845;0.19740334;0.24873365;10.266056;2500;1.7810646;1.0500443;0.3561981460204233
35;1164;0.05082699;0.14263874;0.19934441;12.009988;2500;1.2628577;0.7140081;0.29110378993148905
44;176;0.025049996;0.1426384;0.15167353;6.517655;2500;1.3171318;0.9722509;0.19470122018152203
288;286;0.07673805;0.1263878;0.26619598;14.979567;2500;1.6464506;1.2527949;0.44712504114071816
273;1170;0.056220893;0.1053725;0.266815;9.86502;2500;1.4106222;0.9772223;0.46833497702968374
212;927;0.11480734;0.18202125;0.2050632;11.664898;2500;1.880741;1.0484877;0.27773735698896146
87;1124;0.07150618;0.12574501;0.10952268;7.8576765;2500;1.6297914;0.9262607;0.12244098663172483
291;969;0.13051492;0.15944508;0.13859224;13.8536005;2500;1.4327215;0.7630207;0.16106988207917944
235;785;0.11382106;0.13858825;0.111216694;2.9602582;2500;1.795682;0.89414126;0.11982070784408826
217;348;0.0524035;0.18251255;0.1359676;10.618321;2500;1.4538782;0.75105345;0.14632254098404063
140;398;0.038281363;0.1830432;0.20168425;18.017168;2500;1.1595454;1.0471478;0.27044480312331864
88;1137;0.119109884;0.13399713;0.27083468;5.4684935;2500;0.94445896;1.2890525;0.4505243273322985
37;1034;0.09743703;0.15550427;0.23064737;17.500513;2500;1.2206607;0.9176192;0.3472526503272071
271;437;0.0740294;0.077548765;0.2201806;17.81598;2500;1.5614744;1.2150636;0.3919222674311574
142;454;0.0855018;0.20066576;0.24959071;5.378204;2500;1.9780248;0.72566855;0.35586682674673564
68;364;0.09949828;0.10569623;0.2279823;2.5337675;2500;1.6946474;1.0030111;0.381846984259406
98;398;0.030263418;0.17272754;0.18868545;15.52395;2500;1.5427586;1.0926809;0.25064271472091715
177;1034;0.070922926;0.14006566;0.2630727;19.213058;2500;1.0428644;0.89153624;0.4284195517726401
61;22;0.07550761;0.1772848;0.1620369;5.8586164;2500;1.6483998;0.75900835;0.19666437925435604
258;528;0.020858634;0.18554403;0.28562298;18.347075;2500;1.4275473;0.8307403;0.44078804716835185
229;1131;0.03650808;0.16956657;0.12323812;4.9551806;2500;1.686761;0.7420058;0.12877120011442109
218;655;0.025744708;0.13377503;0.22753598;7.8267884;2500;1.2385765;1.2329319;0.35705666946512055
135;546;0.026418325;0.18607792;0.20010327;17.832214;2500;1.3737565;0.70274925;0.2656033971772584
191;381;0.08263479;0.08978698;0.18515234;6.7771487;2500;1.4312317;0.7416232;0.30211346597987854
179;97;0.13531335;0.14302506;0.18594328;15.358217;2500;1.2345167;1.1774138;0.2632420169921109
198;277;0.09142068;0.10875598;0.1084415;3.7923985;2500;1.4944594;0.87983805;0.12879362602613098
34;117;0.14575687;0.14837325;0.25030276;8.196559;2500;1.1316439;0.9188559;0.3941953072656259
130;160;0.10922455;0.14345464;0.17046942;18.874014;2500;0.89161104;0.8840122;0.23158011211727
22;204;0.12456535;0.13885738;0.19532727;5.299365;2500;1.0140575;1.2344241;0.2853879795514954
153;369;0.05231245;0.23985024;0.26951882;14.332332;2500;1.393002;1.2572433;0.37211570690147
105;23;0.03767976;0.14816046;0.2154217;18.471523;2500;0.88053775;1.2572882;0.320678034840187
51;1140;0.10457587;0.13051777;0.2702873;15.91414;2500;1.2640115;0.884406;0.452403508315613
39;157;0.0455503;0.11055857;0.12741588;19.011791;2500;1.610827;0.8202274;0.16510736777202958
180;465;0.0638642;0.101249605;0.15636352;18.93122;2500;1.4145591;1.1967977;0.23083897184906652
59;1056;0.06657266;0.13841537;0.14558648;3.1590896;2500;1.4642845;1.209379;0.18510617950891686
278;136;0.056091793;0.19628349;0.27726686;12.431592;2500;1.6693295;0.9125653;0.4156086116391197
178;585;0.058779217;0.21597484;0.25631145;9.111005;2500;0.9450783;1.0468034;0.3599411470895183
110;1015;0.07524703;0.113213606;0.26682016;13.972027;2500;1.1165708;0.9344366;0.4607153405884232
181;672;0.08207668;0.18028489;0.21373671;15.108435;2500;1.307031;0.7089877;0.2961093849888355
16;260;0.044763926;0.13887975;0.14414978;5.659511;2500;1.1217701;0.9464056;0.1820428469097833
287;885;0.052337408;0.09857093;0.17539968;16.197489;2500;1.3265613;1.2369642;0.27346813975268575
149;820;0.042383455;0.1157785;0.21006018;8.774851;2500;1.8723797;1.2147611;0.33404243905146036
236;441;0.06897892;0.16885488;0.103795715;13.478031;2500;0.93733525;0.7622693;0.09541409655919876
33;65;0.083353065;0.14121908;0.22792846;9.126419;2500;1.1535321;0.8841748;0.35211206049503235
151;19;0.05396501;0.13659877;0.2709739;7.5762024;2500;1.840755;0.74431473;0.4485558066612642
152;992;0.07246786;0.07851432;0.16512707;14.184041;2500;1.4779953;0.87882125;0.2682737163630811
281;392;0.069167376;0.16603418;0.2359579;11.296233;2500;1.963988;0.8786089;0.35086367545026526
175;173;0.13215704;0.14048396;0.19671266;17.205557;2500;1.0069577;0.7319088;0.28713578379460897
147;627;0.07037574;0.08990599;0.1007955;15.934167;2500;1.7068673;1.2371471;0.12422935223346941
87;1105;0.11887147;0.14159968;0.15679844;17.498327;2500;1.8069086;1.2039262;0.20539456510804688
106;20;0.0993745;0.1458069;0.20557205;15.549664;2500;1.9502409;1.2570782;0.3018291056318062
160;76;0.075848795;0.14605443;0.24498169;18.419983;2500;0.9893453;1.1466153;0.3846569098244395
137;506;0.049230177;0.108021036;0.18040675;3.97667;2500;1.4429013;1.1560297;0.27666281785953756
16;814;0.09252246;0.19601327;0.13724908;13.16915;2500;1.2836297;1.1723453;0.14335642982915076
249;576;0.040019866;0.18159628;0.112209946;2.5657673;2500;1.5271627;1.105148;0.10537835572313986
269;1078;0.038998216;0.17094283;0.24293841;10.493299;2500;0.89538896;0.80557764;0.3619459433527885
50;62;0.031737614;0.24748369;0.17300826;17.365562;2500;1.3685685;0.8066416;0.1867225609749944
170;414;0.11024306;0.16659367;0.22942084;14.786354;2500;0.8347735;1.0002158;0.3369245851761482
41;428;0.038849227;0.22023992;0.14435036;12.075644;2500;1.171368;1.1143608;0.14688503507080547
204;414;0.09133802;0.18306598;0.2509371;14.185732;2500;1.7857957;0.7178308;0.37016453340004535
91;590;0.026169179;0.14248009;0.16887723;4.2924924;2500;1.3605194;1.0278419;0.22897361963312857
201;950;0.033444725;0.23069261;0.11047374;18.685244;2500;1.821576;1.2322801;0.08859387181963675
220;388;0.062438406;0.13676672;0.2020467;5.036973;2500;0.8697858;0.7756113;0.3008659041105692
232;895;0.12584254;0.15428168;0.24628933;4.1724524;2500;1.6400415;0.8877668;0.38110049895011483
41;184;0.049822804;0.15571192;0.28649944;3.6600614;2500;0.8719549;1.29205;0.4660266115122891
275;677;0.07396327;0.08418232;0.29417154;18.788153;2500;0.9864553;0.8973234;0.5528202593974744
76;456;0.022090396;0.19006664;0.19128393;9.756279;2500;1.7643298;0.7172487;0.24620001094922697
20;651;0.075443625;0.18807292;0.22237468;11.128239;2500;0.8236435;1.1101841;0.30872769700061886
170;138;0.035730988;0.18940882;0.21144418;8.201475;2500;1.2566859;1.2895823;0.2861137379156591
117;1144;0.059869777;0.20467532;0.20670831;1.5182948;2500;1.9235597;0.8383959;0.26834230157989536
250;1088;0.017003236;0.13828783;0.122907825;2.2665887;2500;0.98625195;0.82964045;0.14162511123543753
244;993;0.020154051;0.15642057;0.23417301;1.299435;2500;1.9374267;0.9591295;0.35397791606204404
101;1072;0.09032779;0.1442134;0.29305404;11.240929;2500;1.0348506;1.0215445;0.49011045726158387
286;184;0.07518431;0.13261275;0.12536058;4.676189;2500;1.1239383;1.1888145;0.14903994811922114
94;609;0.046205048;0.2058213;0.1623709;8.640299;2500;1.5657207;1.296092;0.18432759660315107
159;388;0.13555154;0.1588316;0.115409985;9.746169;2500;0.8078331;1.1878144;0.11907425590778571
84;1065;0.09341473;0.15556458;0.18055658;11.118985;2500;1.6508828;0.8745447;0.24449696422264605
281;235;0.049849197;0.16275524;0.19633442;17.96331;2500;1.8842343;1.1717019;0.271820291804346
57;271;0.06086044;0.17049417;0.17160362;1.8214476;2500;1.2269937;1.0785226;0.21844392725380285
23;827;0.062268905;0.22465508;0.19531643;10.39035;2500;1.5264375;0.99457085;0.23670318028037093
136;115;0.10846976;0.14247864;0.26059338;3.505419;2500;1.2287539;1.0807997;0.4210455794440362
297;881;0.0804896;0.18998735;0.14278471;18.603853;2500;1.6302942;0.9638588;0.15551909722258792
268;329;0.030089095;0.16513866;0.25159433;18.431677;2500;1.4323018;1.079326;0.3842016819683313
227;796;0.047276035;0.21437214;0.2586576;3.6588223;2500;1.4031898;1.1420952;0.36564690802362515
268;1048;0.037367363;0.13354735;0.21622662;3.2298253;2500;0.8627456;0.70823294;0.33314167854053495
269;735;0.06857229;0.19389404;0.16306424;3.0875235;2500;1.5939751;1.0697421;0.19080954914099094
160;263;0.09512857;0.18710521;0.28730017;2.863587;2500;1.4072005;0.79182905;0.44316703985976214
101;68;0.13843174;0.14660311;0.17278071;4.0038476;2500;1.1850626;0.9019857;0.2343096048739889
233;63;0.034296867;0.13319165;0.109984234;3.9580889;2500;1.3756642;0.96618277;0.11991643373186754
201;115;0.063504614;0.2109777;0.12721758;4.106519;2500;1.1965917;1.2833446;0.12098233144903062
118;699;0.01824416;0.14824632;0.278318;3.8229425;2500;1.1253065;0.89533895;0.4545647514678767
37;424;0.055222735;0.16653681;0.1299953;8.180372;2500;0.9454522;1.1915892;0.14211561805617706
226;299;0.09338777;0.15899046;0.18947883;5.8240075;2500;1.0638154;0.9022357;0.2603246658480547
86;270;0.108029105;0.114608265;0.2383943;8.924498;2500;0.9556227;0.837595;0.39668254436960193
281;1138;0.07960587;0.12138057;0.21472894;17.981142;2500;0.8121349;0.9604049;0.33951945375134
79;151;0.037178416;0.21539474;0.23067434;7.6873484;2500;1.68531;0.7539186;0.3092989407220608
45;372;0.11360795;0.13552386;0.16976294;6.4430017;2500;0.91332966;1.1915826;0.2350885260947561
251;571;0.10339573;0.13403817;0.23244722;18.372734;2500;1.2738332;0.99899036;0.3673607260076541
54;10;0.04026087;0.18900344;0.101817116;7.1105447;2500;1.5769955;1.1125222;0.08603375213198071
61;1105;0.12121085;0.13465014;0.15265004;3.318104;2500;1.6492466;1.178643;0.20119593780634493
183;127;0.081159994;0.12929556;0.12471997;12.7607155;2500;0.891968;0.9453474;0.14949434940717288
263;822;0.06623054;0.09408469;0.1910526;6.3541017;2500;1.8577812;0.9704285;0.3112245745995609
66;758;0.065416194;0.16520198;0.12916462;10.879222;2500;0.9073872;0.8521397;0.14116979655056744
99;972;0.046604;0.21191435;0.20947422;15.59175;2500;1.4159021;1.128591;0.269876901058777
235;785;0.08177733;0.11309666;0.13613302;11.745814;2500;1.7866905;1.1993562;0.18106407068376307
291;925;0.04978987;0.121322796;0.18285294;16.366575;2500;1.3493564;1.0444914;0.2718094095712807
155;511;0.13965201;0.14712417;0.1148443;7.549335;2500;1.9995817;0.7231563;0.12279476559146861
51;591;0.045102876;0.23445958;0.18799606;4.204868;2500;1.6469885;1.1269689;0.21879412121078584
14;844;0.058788344;0.18397678;0.26159665;8.498676;2500;1.2065815;1.1001245;0.3916281608585555
76;686;0.105647124;0.16234395;0.16338025;8.826629;2500;0.8914501;0.90554756;0.2068312086726165
48;618;0.09713475;0.19818607;0.24126334;14.603397;2500;1.7901381;0.94554204;0.3405623036855706
206;254;0.06433413;0.1710547;0.18519722;14.049946;2500;1.8445897;0.99711406;0.24470958488222755
45;317;0.07103858;0.11558867;0.14684236;6.8780413;2500;1.5567745;1.1744727;0.20119887374551365
156;436;0.09669165;0.14913014;0.16069572;18.657187;2500;1.1968299;1.1083728;0.20880562788211376
211;21;0.09503648;0.19215254;0.16051565;6.2361803;2500;1.4790292;1.0102373;0.18687861612519338
178;506;0.05771214;0.19581008;0.24847578;19.932814;2500;0.80328506;1.1833032;0.3566932144312667
67;13;0.053493362;0.10044269;0.14018719;1.6213197;2500;1.3008487;1.2154944;0.19760094357122546
243;682;0.091475114;0.19609477;0.2955543;13.801072;2500;1.9835895;0.7310759;0.45392989585679805
217;847;0.11023491;0.1528164;0.23749685;12.78401;2500;1.0557721;0.74188846;0.3636154353252017
224;678;0.075989716;0.13428494;0.18023089;12.113653;2500;1.6195034;0.98540175;0.2573042187812356
48;835;0.08905217;0.20907162;0.2996008;15.803625;2500;0.92594063;1.1689701;0.4531055408629965
45;10;0.0277574;0.2304945;0.14323431;12.226646;2500;1.6758794;0.76586056;0.14149023338542477
278;80;0.045665998;0.22815017;0.25258225;12.58843;2500;1.3279965;1.2180333;0.34529226759033554
125;841;0.06839103;0.22308396;0.15418738;17.669806;2500;1.2089282;0.7823475;0.1628941958639826
97;965;0.05310449;0.10283227;0.20871289;4.548117;2500;1.4067043;1.1172869;0.34213620892775576
151;864;0.110974915;0.15518805;0.11088427;11.091993;2500;1.7823918;1.1819887;0.11247659386107811
202;798;0.10064493;0.10730704;0.26929182;14.529922;2500;1.806038;0.72729045;0.4719563745079266
287;851;0.09530101;0.18506025;0.17323038;6.849669;2500;1.2234675;1.2092456;0.21408543477781303
93;890;0.11034875;0.17148562;0.21689728;5.170208;2500;1.5594312;1.2048901;0.30799419518384186
278;872;0.09561201;0.17868076;0.28545678;3.4491332;2500;1.1875976;0.78756917;0.4455740545765171
17;888;0.07262103;0.19425908;0.106049344;5.991079;2500;1.3421576;0.82542765;0.0913347562301972
171;98;0.09255018;0.17659225;0.29360348;13.6554785;2500;1.5875198;1.2161913;0.46448714163649923
193;85;0.050617903;0.14386497;0.20503587;12.684343;2500;1.1068376;1.2793826;0.3020689774660019
40;439;0.05938132;0.15159792;0.25614932;4.263298;2500;1.1898332;0.99058014;0.4041452154695718
50;637;0.077674985;0.08958325;0.19460896;10.331921;2500;0.9990995;0.77538437;0.3230704262279343
131;917;0.08939067;0.18519805;0.26318157;5.061625;2500;1.5218308;0.86773366;0.39406978413671007
290;408;0.03460672;0.21229425;0.27611175;18.783482;2500;1.8146888;0.9029622;0.40242812315806986
182;337;0.07487189;0.16703561;0.17633481;14.758551;2500;1.901728;1.0787053;0.22953837109402575
280;939;0.089961365;0.096950345;0.24452645;4.293245;2500;1.9311953;1.1330365;0.42685884355371156
243;306;0.033919916;0.2083355;0.2997236;6.5045333;2500;1.7354417;1.0640602;0.4538792766780922
145;986;0.10657681;0.11160594;0.25142634;17.208508;2500;1.3676494;1.2341943;0.42811986709586025
237;220;0.14816552;0.1511248;0.29137596;11.5853195;2500;1.7749937;0.7063559;0.4804567194075359
15;437;0.09062484;0.18883541;0.24732345;7.763147;2500;1.1068611;0.9339508;0.3588706958001056
41;487;0.053327493;0.17556995;0.16597739;12.369996;2500;1.4131081;0.87508094;0.20500154180151087
250;366;0.02806376;0.24320458;0.26543033;8.400168;2500;1.902197;1.1510233;0.3620870762011074
241;13;0.018550916;0.15612483;0.23326816;18.317137;2500;1.4937152;1.1085241;0.352295067338397
77;290;0.042167917;0.12304215;0.10661359;17.597275;2500;1.5332716;1.2345388;0.1182642093375957
163;411;0.10107476;0.14352284;0.13448681;4.0473423;2500;1.5455695;0.887983;0.1609850492918771
185;383;0.123538435;0.13547945;0.1522546;13.871523;2500;1.7645216;1.2133235;0.19992454038101823
261;944;0.025575263;0.1323832;0.24871276;16.91417;2500;0.900947;1.023015;0.40377327161560334
184;66;0.05316083;0.12698367;0.25942653;5.013632;2500;1.2484818;0.7920112;0.4317565652376851
129;472;0.06933623;0.16125396;0.26537707;17.558687;2500;1.9238203;1.1974423;0.4162856339763026
118;54;0.040193815;0.119228676;0.11344295;8.971591;2500;1.9581226;0.8401426;0.13301244362085393
133;1117;0.06749635;0.14611156;0.11443134;6.8468146;2500;1.4706441;1.1561624;0.12247114575624252
199;950;0.104488604;0.11782338;0.15988864;19.697165;2500;1.160031;1.0221357;0.2264694586645538
261;1178;0.07939332;0.20887813;0.23624869;14.072094;2500;1.821851;1.0089308;0.32405622187350247
141;1093;0.03061156;0.16673991;0.26843697;6.519643;2500;1.8690491;1.0209535;0.4185748465414761
81;385;0.06419142;0.11110885;0.27387515;11.064115;2500;1.1567364;1.2852839;0.47845134872672335
78;832;0.017009228;0.134117;0.14150307;13.22584;2500;1.680968;1.0507878;0.17948015261928185
226;374;0.080090575;0.08815064;0.25348306;14.526826;2500;1.9414101;0.7265075;0.455963699967449
246;1066;0.12500003;0.13762987;0.22815499;4.978423;2500;1.318618;1.2735388;0.3553574571629847
40;498;0.029662162;0.18707612;0.285346;12.715394;2500;0.8978189;0.86899793;0.4390763133903076
29;457;0.057602584;0.122206174;0.2545722;17.097979;2500;1.8002241;0.9821148;0.425368718071034
182;1097;0.12147808;0.16847607;0.20572425;16.269535;2500;1.6083469;1.1938701;0.28723114123602517
52;1005;0.07664019;0.19149056;0.25663885;6.591208;2500;1.7098624;0.7507501;0.3762355005273215
249;1160;0.04872704;0.11842766;0.16165555;19.43366;2500;1.5920205;0.83954567;0.22970592125038058
99;89;0.092902906;0.09744069;0.25722906;1.2391872;2500;1.3036628;1.2261231;0.45480998784021437
51;299;0.053320296;0.22409594;0.2562337;15.801299;2500;1.9574376;0.77032715;0.3549136365409557
277;368;0.078831114;0.17503361;0.27104172;7.0251207;2500;1.5468922;1.0100176;0.41784622122112675
58;514;0.042603724;0.24922806;0.14847921;18.882902;2500;1.4303449;0.81153005;0.1442046928394538
92;573;0.035673805;0.12576361;0.26980016;17.360075;2500;1.4678004;0.9124095;0.4556100611525399
54;356;0.11727348;0.14903821;0.13381004;17.742056;2500;1.7163491;1.1742623;0.15700960366116634
43;950;0.06241778;0.09904393;0.25437993;5.7854834;2500;1.5308895;1.2754351;0.44681492711125603
16;275;0.06913246;0.13136683;0.2859835;16.131895;2500;0.8882673;1.0443447;0.486128316399423
26;838;0.038222898;0.2243774;0.10715962;7.32041;2500;1.1330096;0.91716737;0.08507704336447328
