;[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-]
8;1000;256;176;0.1627445;0.16828482;0.21550235;77.02517;2500;0.33102933;0.4916317
8;1000;256;1202;0.13201946;0.1365138;0.21550235;77.02517;2500;0.26853326;0.4916317
8;1000;256;1202;0.13841933;0.19260998;0.21550235;77.02517;2500;0.33102933;0.41814825
8;1000;256;1202;0.1627445;0.16828482;0.1886481;77.02517;2500;0.33102933;0.4916317
8;1000;256;1202;0.1627445;0.16828482;0.21550235;128.27249;2500;0.33102933;0.4916317
8;1000;104;176;0.11228671;0.15624654;0.1886481;128.27249;2500;0.26853326;0.41814825
8;1000;182;284;0.07660852;0.12763466;0.18991137;8.309509;2500;0.20424318;0.37508482
8;1000;201;284;0.07660852;0.12763466;0.18991137;8.309509;2500;0.20424318;0.37508482
8;1000;182;888;0.07660852;0.12763466;0.18991137;8.309509;2500;0.20424318;0.37508482
8;1000;182;284;0.116215184;0.19362189;0.18991137;8.309509;2500;0.30983707;0.37508482
8;1000;182;284;0.11911146;0.08513172;0.18991137;8.309509;2500;0.20424318;0.58318454
8;1000;182;284;0.07660852;0.12763466;0.23887789;8.309509;2500;0.20424318;0.37508482
8;1000;182;284;0.07660852;0.12763466;0.18991137;107.842026;2500;0.20424318;0.37508482
8;1000;201;888;0.1806922;0.12914488;0.23887789;107.842026;2500;0.30983707;0.58318454
8;1000;123;1916;0.18261239;0.0857051;0.129611;133.4778;2500;0.2683175;0.68058324
8;1000;79;1916;0.18261239;0.0857051;0.129611;133.4778;2500;0.2683175;0.68058324
8;1000;123;1665;0.18261239;0.0857051;0.129611;133.4778;2500;0.2683175;0.68058324
8;1000;123;1916;0.16947837;0.079540946;0.129611;133.4778;2500;0.24901932;0.68058324
8;1000;123;1916;0.08776962;0.18054786;0.129611;133.4778;2500;0.2683175;0.32711107
8;1000;123;1916;0.18261239;0.0857051;0.16830577;133.4778;2500;0.2683175;0.68058324
8;1000;123;1916;0.18261239;0.0857051;0.129611;33.46093;2500;0.2683175;0.68058324
8;1000;79;1665;0.081456974;0.16756235;0.16830577;33.46093;2500;0.24901932;0.32711107
8;1000;100;150;0.17844673;0.13474338;0.1027238;109.748184;2500;0.3131901;0.5697713
8;1000;174;150;0.17844673;0.13474338;0.1027238;109.748184;2500;0.3131901;0.5697713
8;1000;100;519;0.17844673;0.13474338;0.1027238;109.748184;2500;0.3131901;0.5697713
8;1000;100;150;0.19200023;0.1449775;0.1027238;109.748184;2500;0.33697772;0.5697713
8;1000;100;150;0.15759341;0.15559669;0.1027238;109.748184;2500;0.3131901;0.5031877
8;1000;100;150;0.17844673;0.13474338;0.2292319;109.748184;2500;0.3131901;0.5697713
8;1000;100;150;0.17844673;0.13474338;0.1027238;18.333324;2500;0.3131901;0.5697713
8;1000;174;519;0.16956306;0.16741467;0.2292319;18.333324;2500;0.33697772;0.5031877
8;1000;214;1551;0.041842062;0.11049561;0.20275402;59.33279;2500;0.15233767;0.27466655
8;1000;16;1551;0.041842062;0.11049561;0.20275402;59.33279;2500;0.15233767;0.27466655
8;1000;214;1793;0.041842062;0.11049561;0.20275402;59.33279;2500;0.15233767;0.27466655
8;1000;214;1551;0.06126106;0.16177689;0.20275402;59.33279;2500;0.22303794;0.27466655
8;1000;214;1551;0.016228093;0.13610958;0.20275402;59.33279;2500;0.15233767;0.10652711
8;1000;214;1551;0.041842062;0.11049561;0.1404888;59.33279;2500;0.15233767;0.27466655
8;1000;214;1551;0.041842062;0.11049561;0.20275402;86.64222;2500;0.15233767;0.27466655
8;1000;16;1793;0.023759589;0.19927835;0.1404888;86.64222;2500;0.22303794;0.10652711
8;1000;287;988;0.12600838;0.14911316;0.24249391;25.997469;2500;0.27512154;0.45800987
8;1000;299;988;0.12600838;0.14911316;0.24249391;25.997469;2500;0.27512154;0.45800987
8;1000;287;1016;0.12600838;0.14911316;0.24249391;25.997469;2500;0.27512154;0.45800987
8;1000;287;988;0.07096372;0.08397557;0.24249391;25.997469;2500;0.15493928;0.45800987
8;1000;287;988;0.07611023;0.19901131;0.24249391;25.997469;2500;0.27512154;0.2766422
8;1000;287;988;0.12600838;0.14911316;0.13711444;25.997469;2500;0.27512154;0.45800987
8;1000;287;988;0.12600838;0.14911316;0.24249391;147.78311;2500;0.27512154;0.45800987
8;1000;299;1016;0.042862743;0.112076536;0.13711444;147.78311;2500;0.15493928;0.2766422
8;1000;26;1333;0.038594555;0.2006509;0.15202808;114.922386;2500;0.23924546;0.16131781
8;1000;132;1333;0.038594555;0.2006509;0.15202808;114.922386;2500;0.23924546;0.16131781
8;1000;26;304;0.038594555;0.2006509;0.15202808;114.922386;2500;0.23924546;0.16131781
8;1000;26;1333;0.046943694;0.24405763;0.15202808;114.922386;2500;0.29100132;0.16131781
8;1000;26;1333;0.152648;0.08659746;0.15202808;114.922386;2500;0.23924546;0.6380393
8;1000;26;1333;0.038594555;0.2006509;0.1977053;114.922386;2500;0.23924546;0.16131781
8;1000;26;1333;0.038594555;0.2006509;0.15202808;75.07572;2500;0.23924546;0.16131781
8;1000;132;304;0.18567027;0.10533104;0.1977053;75.07572;2500;0.29100132;0.6380393
8;1000;11;923;0.21669783;0.11606835;0.18026192;54.311234;2500;0.33276618;0.6512015
8;1000;41;923;0.21669783;0.11606835;0.18026192;54.311234;2500;0.33276618;0.6512015
8;1000;11;1126;0.21669783;0.11606835;0.18026192;54.311234;2500;0.33276618;0.6512015
8;1000;11;923;0.17764975;0.095153295;0.18026192;54.311234;2500;0.27280304;0.6512015
8;1000;11;923;0.10456054;0.22820564;0.18026192;54.311234;2500;0.33276618;0.31421626
8;1000;11;923;0.21669783;0.11606835;0.20206434;54.311234;2500;0.33276618;0.6512015
8;1000;11;923;0.21669783;0.11606835;0.18026192;7.5238776;2500;0.33276618;0.6512015
8;1000;41;1126;0.085719146;0.18708389;0.20206434;7.5238776;2500;0.27280304;0.31421626
8;1000;293;1276;0.06847086;0.12834601;0.12051033;104.71616;2500;0.19681686;0.3478912
8;1000;164;1276;0.06847086;0.12834601;0.12051033;104.71616;2500;0.19681686;0.3478912
8;1000;293;349;0.06847086;0.12834601;0.12051033;104.71616;2500;0.19681686;0.3478912
8;1000;293;1276;0.06498525;0.121812366;0.12051033;104.71616;2500;0.18679762;0.3478912
8;1000;293;1276;0.1330005;0.06381636;0.12051033;104.71616;2500;0.19681686;0.67575765
8;1000;293;1276;0.06847086;0.12834601;0.13260886;104.71616;2500;0.19681686;0.3478912
8;1000;293;1276;0.06847086;0.12834601;0.12051033;79.68367;2500;0.19681686;0.3478912
8;1000;164;349;0.12622991;0.0605677;0.13260886;79.68367;2500;0.18679762;0.67575765
8;1000;222;210;0.14549272;0.124200724;0.17466234;119.95031;2500;0.26969343;0.5394744
8;1000;140;210;0.14549272;0.124200724;0.17466234;119.95031;2500;0.26969343;0.5394744
8;1000;222;631;0.14549272;0.124200724;0.17466234;119.95031;2500;0.26969343;0.5394744
8;1000;222;210;0.12990038;0.11089023;0.17466234;119.95031;2500;0.2407906;0.5394744
8;1000;222;210;0.14595845;0.12373498;0.17466234;119.95031;2500;0.26969343;0.54120135
8;1000;222;210;0.14549272;0.124200724;0.14565128;119.95031;2500;0.26969343;0.5394744
8;1000;222;210;0.14549272;0.124200724;0.17466234;140.8865;2500;0.26969343;0.5394744
8;1000;140;631;0.1303162;0.11047441;0.14565128;140.8865;2500;0.2407906;0.54120135
8;1000;82;1617;0.048961572;0.15975736;0.22456573;31.023676;2500;0.20871893;0.23458138
8;1000;271;1617;0.048961572;0.15975736;0.22456573;31.023676;2500;0.20871893;0.23458138
8;1000;82;1838;0.048961572;0.15975736;0.22456573;31.023676;2500;0.20871893;0.23458138
8;1000;82;1617;0.0714966;0.23328717;0.22456573;31.023676;2500;0.30478376;0.23458138
8;1000;82;1617;0.030137306;0.17858161;0.22456573;31.023676;2500;0.20871893;0.14439182
8;1000;82;1617;0.048961572;0.15975736;0.22450896;31.023676;2500;0.20871893;0.23458138
8;1000;82;1617;0.048961572;0.15975736;0.22456573;64.06272;2500;0.20871893;0.23458138
8;1000;271;1838;0.04400828;0.26077548;0.22450896;64.06272;2500;0.30478376;0.14439182
8;1000;132;341;0.018505754;0.14143498;0.23284456;72.85115;2500;0.15994073;0.11570382
8;1000;94;341;0.018505754;0.14143498;0.23284456;72.85115;2500;0.15994073;0.11570382
8;1000;132;998;0.018505754;0.14143498;0.23284456;72.85115;2500;0.15994073;0.11570382
8;1000;132;341;0.02530666;0.19341266;0.23284456;72.85115;2500;0.21871932;0.11570382
8;1000;132;341;0.09923745;0.06070328;0.23284456;72.85115;2500;0.15994073;0.6204639
8;1000;132;341;0.018505754;0.14143498;0.17288443;72.85115;2500;0.15994073;0.11570382
8;1000;132;341;0.018505754;0.14143498;0.23284456;49.15201;2500;0.15994073;0.11570382
8;1000;94;998;0.13570744;0.08301187;0.17288443;49.15201;2500;0.21871932;0.6204639
8;1000;181;1981;0.13288344;0.19105838;0.14292747;87.00829;2500;0.32394183;0.41020775
8;1000;262;1981;0.13288344;0.19105838;0.14292747;87.00829;2500;0.32394183;0.41020775
8;1000;181;1710;0.13288344;0.19105838;0.14292747;87.00829;2500;0.32394183;0.41020775
8;1000;181;1981;0.13519561;0.19438279;0.14292747;87.00829;2500;0.3295784;0.41020775
8;1000;181;1981;0.118089534;0.20585229;0.14292747;87.00829;2500;0.32394183;0.36453933
8;1000;181;1981;0.13288344;0.19105838;0.23473845;87.00829;2500;0.32394183;0.41020775
8;1000;181;1981;0.13288344;0.19105838;0.14292747;119.62026;2500;0.32394183;0.41020775
8;1000;262;1710;0.120144285;0.2094341;0.23473845;119.62026;2500;0.3295784;0.36453933
8;1000;253;558;0.07462843;0.17262678;0.11241037;137.6626;2500;0.24725522;0.30182752
8;1000;50;558;0.07462843;0.17262678;0.11241037;137.6626;2500;0.24725522;0.30182752
8;1000;253;1495;0.07462843;0.17262678;0.11241037;137.6626;2500;0.24725522;0.30182752
8;1000;253;558;0.0903011;0.20888002;0.11241037;137.6626;2500;0.29918113;0.30182752
8;1000;253;558;0.05792106;0.18933417;0.11241037;137.6626;2500;0.24725522;0.23425616
8;1000;253;558;0.07462843;0.17262678;0.19359091;137.6626;2500;0.24725522;0.30182752
8;1000;253;558;0.07462843;0.17262678;0.11241037;99.26945;2500;0.24725522;0.30182752
8;1000;50;1495;0.07008503;0.22909611;0.19359091;99.26945;2500;0.29918113;0.23425616
8;1000;60;1143;0.17148781;0.114744835;0.21181747;12.479331;2500;0.28623265;0.5991204
8;1000;209;1143;0.17148781;0.114744835;0.21181747;12.479331;2500;0.28623265;0.5991204
8;1000;60;221;0.17148781;0.114744835;0.21181747;12.479331;2500;0.28623265;0.5991204
8;1000;60;1143;0.09588409;0.06415736;0.21181747;12.479331;2500;0.16004145;0.5991204
8;1000;60;1143;0.13027504;0.15595761;0.21181747;12.479331;2500;0.28623265;0.45513692
8;1000;60;1143;0.17148781;0.114744835;0.10362074;12.479331;2500;0.28623265;0.5991204
8;1000;60;1143;0.17148781;0.114744835;0.21181747;24.119501;2500;0.28623265;0.5991204
8;1000;209;221;0.07284077;0.08720068;0.10362074;24.119501;2500;0.16004145;0.45513692
8;1000;73;100;0.10568355;0.12946953;0.13631748;37.620926;2500;0.23515308;0.44942448
8;1000;113;100;0.10568355;0.12946953;0.13631748;37.620926;2500;0.23515308;0.44942448
8;1000;73;786;0.10568355;0.12946953;0.13631748;37.620926;2500;0.23515308;0.44942448
8;1000;73;100;0.09036453;0.110702686;0.13631748;37.620926;2500;0.20106722;0.44942448
8;1000;73;100;0.028216043;0.20693703;0.13631748;37.620926;2500;0.23515308;0.11999011
8;1000;73;100;0.10568355;0.12946953;0.11326736;37.620926;2500;0.23515308;0.44942448
8;1000;73;100;0.10568355;0.12946953;0.13631748;21.951477;2500;0.23515308;0.44942448
8;1000;113;786;0.024126079;0.17694114;0.11326736;21.951477;2500;0.20106722;0.11999011
8;1000;241;1724;0.046738457;0.2523913;0.18789227;131.07054;2500;0.29912975;0.15624811
8;1000;244;1724;0.046738457;0.2523913;0.18789227;131.07054;2500;0.29912975;0.15624811
8;1000;241;1559;0.046738457;0.2523913;0.18789227;131.07054;2500;0.29912975;0.15624811
8;1000;241;1724;0.05315548;0.28704372;0.18789227;131.07054;2500;0.3401992;0.15624811
8;1000;241;1724;0.14649378;0.15263598;0.18789227;131.07054;2500;0.29912975;0.48973322
8;1000;241;1724;0.046738457;0.2523913;0.1839059;131.07054;2500;0.29912975;0.15624811
8;1000;241;1724;0.046738457;0.2523913;0.18789227;92.37665;2500;0.29912975;0.15624811
8;1000;244;1559;0.16660684;0.17359236;0.1839059;92.37665;2500;0.3401992;0.48973322
8;1000;169;814;0.09693922;0.075115845;0.21861081;98.12692;2500;0.17205507;0.56341976
8;1000;70;814;0.09693922;0.075115845;0.21861081;98.12692;2500;0.17205507;0.56341976
8;1000;169;1280;0.09693922;0.075115845;0.21861081;98.12692;2500;0.17205507;0.56341976
8;1000;169;814;0.15861985;0.122910656;0.21861081;98.12692;2500;0.2815305;0.56341976
8;1000;169;814;0.11393553;0.05811954;0.21861081;98.12692;2500;0.17205507;0.66220385
8;1000;169;814;0.09693922;0.075115845;0.24384156;98.12692;2500;0.17205507;0.56341976
8;1000;169;814;0.09693922;0.075115845;0.21861081;144.5878;2500;0.17205507;0.56341976
8;1000;70;1280;0.18643057;0.09509992;0.24384156;144.5878;2500;0.2815305;0.66220385
8;1000;144;1384;0.08309674;0.22796015;0.15717976;43.182438;2500;0.3110569;0.26714322
8;1000;193;1384;0.08309674;0.22796015;0.15717976;43.182438;2500;0.3110569;0.26714322
8;1000;144;69;0.08309674;0.22796015;0.15717976;43.182438;2500;0.3110569;0.26714322
8;1000;144;1384;0.045590896;0.12506998;0.15717976;43.182438;2500;0.17066088;0.26714322
8;1000;144;1384;0.0785433;0.23251362;0.15717976;43.182438;2500;0.3110569;0.2525046
8;1000;144;1384;0.08309674;0.22796015;0.16381861;43.182438;2500;0.3110569;0.26714322
8;1000;144;1384;0.08309674;0.22796015;0.15717976;69.49862;2500;0.3110569;0.26714322
8;1000;193;69;0.043092657;0.12756823;0.16381861;69.49862;2500;0.17066088;0.2525046
8;1000;112;667;0.09852914;0.15906142;0.15140012;19.342226;2500;0.25759056;0.3825029
8;1000;25;667;0.09852914;0.15906142;0.15140012;19.342226;2500;0.25759056;0.3825029
8;1000;112;1154;0.09852914;0.15906142;0.15140012;19.342226;2500;0.25759056;0.3825029
8;1000;112;667;0.09909071;0.159968;0.15140012;19.342226;2500;0.2590587;0.3825029
8;1000;112;667;0.111455075;0.14613548;0.15140012;19.342226;2500;0.25759056;0.43268308
8;1000;112;667;0.09852914;0.15906142;0.2154108;19.342226;2500;0.25759056;0.3825029
8;1000;112;667;0.09852914;0.15906142;0.15140012;52.813457;2500;0.25759056;0.3825029
8;1000;25;1154;0.11209032;0.14696838;0.2154108;52.813457;2500;0.2590587;0.43268308
8;1000;192;1036;0.15221293;0.06940387;0.24780942;149.04848;2500;0.2216168;0.6868294
8;1000;183;1036;0.15221293;0.06940387;0.24780942;149.04848;2500;0.2216168;0.6868294
8;1000;192;438;0.15221293;0.06940387;0.24780942;149.04848;2500;0.2216168;0.6868294
8;1000;192;1036;0.13398197;0.06109118;0.24780942;149.04848;2500;0.19507316;0.6868294
8;1000;192;1036;0.04047088;0.18114592;0.24780942;149.04848;2500;0.2216168;0.18261647
8;1000;192;1036;0.15221293;0.06940387;0.15471232;149.04848;2500;0.2216168;0.6868294
8;1000;192;1036;0.15221293;0.06940387;0.24780942;124.945526;2500;0.2216168;0.6868294
8;1000;183;438;0.035623573;0.15944959;0.15471232;124.945526;2500;0.19507316;0.18261647
8;1000;263;450;0.06694525;0.27793604;0.19385883;80.15342;2500;0.3448813;0.19411097
8;1000;122;450;0.06694525;0.27793604;0.19385883;80.15342;2500;0.3448813;0.19411097
8;1000;263;656;0.06694525;0.27793604;0.19385883;80.15342;2500;0.3448813;0.19411097
8;1000;263;450;0.044071868;0.18297283;0.19385883;80.15342;2500;0.2270447;0.19411097
8;1000;263;450;0.12070338;0.22417793;0.19385883;80.15342;2500;0.3448813;0.34998527
8;1000;263;450;0.06694525;0.27793604;0.12295787;80.15342;2500;0.3448813;0.19411097
8;1000;263;450;0.06694525;0.27793604;0.19385883;113.72801;2500;0.3448813;0.19411097
8;1000;122;656;0.079462305;0.14758241;0.12295787;113.72801;2500;0.2270447;0.34998527
8;1000;41;1873;0.09202657;0.09190463;0.106931515;61.45672;2500;0.1839312;0.50033146
8;1000;290;1873;0.09202657;0.09190463;0.106931515;61.45672;2500;0.1839312;0.50033146
8;1000;41;1926;0.09202657;0.09190463;0.106931515;61.45672;2500;0.1839312;0.50033146
8;1000;41;1873;0.15663424;0.1564267;0.106931515;61.45672;2500;0.31306094;0.50033146
8;1000;41;1873;0.103060335;0.08087087;0.106931515;61.45672;2500;0.1839312;0.56032
8;1000;41;1873;0.09202657;0.09190463;0.21175356;61.45672;2500;0.1839312;0.50033146
8;1000;41;1873;0.09202657;0.09190463;0.106931515;36.91425;2500;0.1839312;0.50033146
8;1000;290;1926;0.17541431;0.13764663;0.21175356;36.91425;2500;0.31306094;0.56032
8;1000;42;706;0.119083926;0.08262363;0.23763566;44.552647;2500;0.20170756;0.5903791
8;1000;144;706;0.119083926;0.08262363;0.23763566;44.552647;2500;0.20170756;0.5903791
8;1000;42;1521;0.119083926;0.08262363;0.23763566;44.552647;2500;0.20170756;0.5903791
8;1000;42;706;0.10873951;0.0754464;0.23763566;44.552647;2500;0.1841859;0.5903791
8;1000;42;706;0.07561022;0.12609734;0.23763566;44.552647;2500;0.20170756;0.3748507
8;1000;42;706;0.119083926;0.08262363;0.24609463;44.552647;2500;0.20170756;0.5903791
8;1000;42;706;0.119083926;0.08262363;0.23763566;90.83565;2500;0.20170756;0.5903791
8;1000;144;1521;0.06904221;0.115143694;0.24609463;90.83565;2500;0.1841859;0.3748507
8;1000;272;1121;0.07787016;0.18478748;0.13815476;97.23366;2500;0.26265764;0.2964702
8;1000;267;1121;0.07787016;0.18478748;0.13815476;97.23366;2500;0.26265764;0.2964702
8;1000;272;809;0.07787016;0.18478748;0.13815476;97.23366;2500;0.26265764;0.2964702
8;1000;272;1121;0.0801213;0.19012947;0.13815476;97.23366;2500;0.27025077;0.2964702
8;1000;272;1121;0.16141772;0.10123992;0.13815476;97.23366;2500;0.26265764;0.6145556
8;1000;272;1121;0.07787016;0.18478748;0.15669437;97.23366;2500;0.26265764;0.2964702
8;1000;272;1121;0.07787016;0.18478748;0.13815476;14.144543;2500;0.26265764;0.2964702
8;1000;267;809;0.16608413;0.10416665;0.15669437;14.144543;2500;0.27025077;0.6145556
8;1000;198;427;0.076616324;0.113161795;0.11725642;127.43608;2500;0.18977812;0.40371525
8;1000;37;427;0.076616324;0.113161795;0.11725642;127.43608;2500;0.18977812;0.40371525
8;1000;198;30;0.076616324;0.113161795;0.11725642;127.43608;2500;0.18977812;0.40371525
8;1000;198;427;0.12198728;0.18017441;0.11725642;127.43608;2500;0.3021617;0.40371525
8;1000;198;427;0.083969355;0.105808765;0.11725642;127.43608;2500;0.18977812;0.44246066
8;1000;198;427;0.076616324;0.113161795;0.11555592;127.43608;2500;0.18977812;0.40371525
8;1000;198;427;0.076616324;0.113161795;0.11725642;75.28545;2500;0.18977812;0.40371525
8;1000;37;30;0.13369466;0.16846703;0.11555592;75.28545;2500;0.3021617;0.44246066
8;1000;115;1772;0.0352369;0.29051495;0.2069532;40.776787;2500;0.32575184;0.108170986
8;1000;168;1772;0.0352369;0.29051495;0.2069532;40.776787;2500;0.32575184;0.108170986
8;1000;115;1305;0.0352369;0.29051495;0.2069532;40.776787;2500;0.32575184;0.108170986
8;1000;115;1772;0.025769042;0.21245605;0.2069532;40.776787;2500;0.23822509;0.108170986
8;1000;115;1772;0.079015955;0.24673587;0.2069532;40.776787;2500;0.32575184;0.24256489
8;1000;115;1772;0.0352369;0.29051495;0.17682171;40.776787;2500;0.32575184;0.108170986
8;1000;115;1772;0.0352369;0.29051495;0.2069532;147.57806;2500;0.32575184;0.108170986
8;1000;168;1305;0.05778504;0.18044004;0.17682171;147.57806;2500;0.23822509;0.24256489
8;1000;138;61;0.06798665;0.21279408;0.17538372;62.245163;2500;0.28078073;0.24213433
8;1000;46;61;0.06798665;0.21279408;0.17538372;62.245163;2500;0.28078073;0.24213433
8;1000;138;416;0.06798665;0.21279408;0.17538372;62.245163;2500;0.28078073;0.24213433
