[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
0.43780765;0.2639764;0.56030875;1.9349327;14.989982;8.345349;50.761467;96.562035;0.95919746;0.40300056;0.25672233;4.307934;12.146571;15.35865;95.78406;3.0996456;98.32771;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5755286;0.8249605;0.49663842;3.7630143;6.2256618;6.038027;35.909355;30.666752;0.7704648;0.95015943;0.55249286;3.8687475;16.67678;9.684656;30.753649;85.88389;54.15283;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.91146106;0.955299;0.941412;2.7913225;14.051464;14.221898;98.10636;3.3308299;1.4080468;0.785518;0.88804305;2.6186306;1.392539;15.750403;3.309211;67.03289;91.18499;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2917329;0.2850695;0.7150921;0.69767666;11.992296;15.489259;80.84051;68.754005;0.7315772;0.9066809;0.49020952;4.3024073;5.0280905;14.507249;28.212212;37.528168;61.79047;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36846527;0.54694766;0.8582093;1.2276051;5.7469134;17.326345;39.78;51.94054;0.2824444;0.4601559;0.60303104;0.9536848;17.128355;15.618664;68.37943;35.800915;3.65123;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3158364;0.66796;0.55473137;4.708623;14.027681;5.715388;12.8544445;61.22809;0.83670914;0.9326054;0.2172629;3.1149454;5.4523683;14.598844;50.561646;43.15615;48.815384;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.99168193;0.99306774;0.38179097;0.96424246;8.035301;13.323241;22.570719;55.711647;0.49948063;0.7659942;0.37933913;3.2230983;2.1020293;19.068665;74.004166;49.993546;47.9788;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.83655715;0.8923064;0.6436678;3.3579175;12.951146;10.626005;78.55271;72.27958;0.21389508;0.24551606;0.5709241;1.607095;14.664126;9.691611;76.34313;38.36429;67.58603;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3871225;0.5313831;0.2510538;4.0654655;13.506902;11.171719;46.23869;47.873104;1.385691;0.6977814;0.5191745;0.723296;15.720217;13.257556;76.150894;98.30755;23.05116;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.91487503;0.97433364;0.86210495;1.6944758;13.753084;5.2719703;20.340158;7.75853;1.0745056;0.22621122;0.7717239;2.9083953;8.590631;17.306553;17.969883;4.4361115;78.59343;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6597211;0.4650126;0.7053315;3.762851;13.988369;14.460845;62.864937;6.717871;0.35230398;0.5979936;0.68950397;2.8115468;14.70523;14.802243;20.109756;68.763725;30.46686;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.4456573;0.47199294;0.8064702;1.2645283;8.929878;12.840559;64.30488;3.9882934;0.6933384;0.266555;0.904226;3.441253;11.857646;15.636713;80.08472;59.51566;38.85454;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3439655;0.60500693;0.48362076;1.7813762;12.868941;18.22511;33.595882;96.46797;0.56226134;0.21210806;0.88381654;1.4581794;5.6832137;19.226336;57.891575;39.33079;27.560932;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.79874444;0.82366055;0.97655845;1.9031992;18.22819;12.408563;15.266098;95.69187;1.261178;0.91102284;0.39297587;1.3083951;8.903814;19.015217;78.74638;3.6551042;21.42221;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.30368283;0.3537345;0.9144969;4.9839573;2.2942019;14.19286;56.8174;39.454803;1.1057076;0.7947803;0.21411099;4.9006214;12.597369;14.14727;81.86504;73.47459;98.17201;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5927803;0.79397327;0.8227068;1.4655753;15.8806305;7.5503416;56.815804;67.48446;0.3428132;0.39115927;0.88357663;1.0115982;17.142706;16.764002;1.6501082;4.022511;80.282715;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.43595636;0.20216012;0.35571095;1.0814335;3.446623;4.5703597;46.23835;6.2422366;0.20861508;0.7960243;0.46329668;4.997339;5.552937;18.202347;30.517262;72.0414;41.731167;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4210187;0.40998378;0.5733768;4.6656113;9.846116;18.993061;97.01805;70.9916;1.2658081;0.20684467;0.47768778;3.7398956;3.4728463;2.5744956;92.98982;65.87754;68.445915;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.51598054;0.979575;0.23504302;1.2286881;4.1174703;12.463387;32.730682;46.164776;1.4131805;0.97263205;0.32671583;3.3319502;17.49996;11.598271;94.632256;29.008505;16.833914;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8583157;0.72517294;0.32343158;4.4567595;15.865985;10.089817;50.77755;50.364445;1.4504052;0.4865264;0.7544058;2.0290258;19.094355;8.554907;64.94258;18.89242;11.559424;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1691792;0.57004845;0.74643916;3.427055;1.706117;19.97237;63.902355;11.045988;0.35466388;0.7559916;0.42408714;4.405114;1.9929831;3.2170832;44.639248;54.45822;13.535383;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.40606415;0.7854104;0.79580975;3.0958767;14.321642;6.032461;69.36375;39.68782;0.7084111;0.5000619;0.34139448;4.5952773;19.28334;7.6818533;53.96102;31.222105;28.443213;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.76873386;0.548205;0.9740078;3.8810241;8.628694;14.4147215;84.68887;19.080679;0.35901767;0.6335847;0.6027126;3.748478;15.099153;11.345043;81.64441;79.977844;77.92924;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0492659;0.28535083;0.46066028;3.7669952;6.035973;5.2807536;22.86371;1.6420617;1.4146464;0.37591764;0.8003327;3.6944985;18.536911;3.4129815;24.869085;24.071436;35.842403;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3465399;0.59805554;0.49636775;0.99736786;19.24876;9.362537;86.37241;41.88093;0.78789824;0.93410903;0.4156789;2.7191958;1.471198;2.136057;92.00479;94.700516;54.524254;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0503341;0.96432155;0.5756447;4.9975977;6.549174;8.205305;11.025799;11.316733;1.3828532;0.7509919;0.7776312;0.8502569;18.899601;11.56872;13.670155;10.326112;80.4978;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.304109;0.41808143;0.35157707;4.738504;5.022366;15.332061;7.42257;19.35104;0.7903249;0.25649324;0.5695801;4.9956307;4.4416785;3.4866638;99.53036;25.296581;96.35009;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6180299;0.24229991;0.3039372;4.5346637;9.1978245;9.881855;87.23781;31.461666;0.31803524;0.376331;0.5230182;0.5699992;2.5039992;7.4279847;60.073174;49.298164;96.720276;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.65621185;0.7930771;0.58056396;3.300301;6.7426534;7.58052;33.184353;45.879227;0.6645526;0.26589587;0.4876167;2.7292883;17.359053;6.7974257;33.849773;47.195026;46.09243;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7047555;0.5635238;0.38152748;2.852561;14.828368;6.546764;79.84245;24.83958;1.4628559;0.31466618;0.31646478;2.1521044;16.118902;1.586671;2.161499;88.74268;16.368889;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4241041;0.4677639;0.73585117;2.9132535;1.573025;16.924458;77.630554;95.31288;1.3394681;0.24446295;0.466107;3.9925957;9.501801;1.3545356;63.216766;2.9655414;88.921455;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.24641436;0.59003127;0.54972154;0.5672163;14.149108;4.960799;67.87152;92.01033;0.8679839;0.98008084;0.9034012;3.8110116;17.10876;3.126968;95.426765;79.62434;51.989494;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5928257;0.94399965;0.8661426;2.7476127;9.020093;9.7268505;21.250898;25.589567;0.6274824;0.7279974;0.28173354;3.3262236;17.789103;7.398436;78.03512;15.851099;43.72558;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8401927;0.4001994;0.76021206;3.306963;15.894778;9.045494;43.041515;45.424458;0.4132269;0.6506565;0.96664;0.83632344;1.1750579;18.985107;25.765036;23.119074;70.525856;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.31231484;0.360416;0.44989333;3.4641778;7.344045;9.954318;81.12666;61.133022;0.3792296;0.72941476;0.2859972;1.5658225;2.1674385;9.666734;76.25014;7.828117;78.04757;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.82859933;0.6271292;0.86580783;1.9946276;1.3445505;13.678992;10.716419;19.45197;0.40244165;0.7596972;0.4896253;0.9237129;12.12709;19.005402;71.99036;66.13004;3.9686034;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.33926758;0.57064664;0.8438115;2.6207707;15.502275;17.848005;51.091927;63.20367;0.89165986;0.6528393;0.68504494;4.9053936;1.8030145;4.760901;1.2633117;41.839146;55.153915;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2891169;0.31983808;0.5099827;3.3633978;3.5182297;3.995571;16.210493;42.63297;1.1094813;0.8340046;0.8702731;1.075023;13.150597;4.215212;17.750381;26.479584;70.58339;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.55110973;0.66452587;0.43066248;2.4273748;10.077747;14.615715;11.120742;4.075381;0.5853268;0.66440874;0.31486624;4.8523674;7.5380926;7.6912565;72.93754;83.9385;12.875718;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8799145;0.65959233;0.7459964;4.8296084;16.826916;3.7152755;44.70496;26.435112;1.4795109;0.31460676;0.31288177;1.0072048;10.562521;4.467008;87.504395;94.53029;64.770294;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0038133;0.68434465;0.311802;3.6744895;18.574905;1.1264906;31.643637;19.146866;0.806843;0.31377065;0.7027025;4.3800364;18.42269;18.003452;46.66798;53.220287;22.261944;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5974433;0.5308444;0.35992655;0.5057319;5.674163;1.1505821;82.25824;82.45732;0.97425807;0.2687317;0.4341973;3.0858357;15.12762;19.517332;79.644066;80.265205;13.7596;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.65670913;0.432039;0.20588982;0.60475767;16.925144;18.025269;49.30841;50.25471;0.89677393;0.35772085;0.7156017;4.2427654;7.8370457;9.533827;60.162796;8.660777;69.63995;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8636709;0.46266276;0.8295395;3.606351;15.746057;17.080261;74.365616;18.826221;1.2023406;0.23337248;0.8564666;3.3531528;18.129374;7.6606965;25.491478;69.08591;10.871905;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2470651;0.8674857;0.73188066;2.3569028;18.547754;7.193868;66.47183;57.325382;1.4163152;0.5453258;0.2614964;3.9597673;10.162728;1.204134;27.23955;46.40591;9.235425;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7884994;0.7000774;0.7641323;4.2776194;16.4879;13.331786;95.1791;44.186195;1.3015573;0.35953033;0.8755953;3.7886522;8.233517;6.162349;29.416819;73.90482;71.13499;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8381647;0.5184189;0.82458323;1.2785693;2.7004082;3.8494987;26.742126;43.324905;0.8692926;0.6957729;0.23006828;1.6708415;18.86285;5.292001;85.268166;13.793372;96.110855;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.9746244;0.69061357;0.5671326;0.5622211;18.943295;15.327673;78.298874;20.940948;1.4199924;0.9754907;0.91906095;4.7077174;1.3952053;7.2475634;29.806295;92.05592;59.159042;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7527749;0.47969115;0.65499294;2.2463706;1.4693991;19.969471;19.574724;64.275185;0.7443723;0.4261965;0.9804945;3.3964074;11.445702;6.978109;82.42449;88.12284;22.357117;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1439018;0.8901183;0.31183758;3.8122885;7.5275655;18.948704;86.36599;82.20936;0.2959337;0.2628361;0.73396415;1.4093785;18.789034;18.446665;49.541462;38.429844;99.874306;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.20637989;0.7821056;0.29162407;4.8727746;8.395469;13.044714;87.477806;49.02033;0.3724551;0.68090755;0.9874042;1.8771892;18.762205;8.945221;52.371292;12.47488;94.07052;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8279257;0.28075892;0.7347224;4.4764423;10.220033;9.492712;81.92557;15.728946;1.437754;0.44464707;0.8575935;2.8987296;3.9624429;17.382175;53.461548;32.805378;85.07582;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3999211;0.244936;0.57687694;2.6783357;5.4693546;7.9618564;32.780994;26.900763;1.4220668;0.4815624;0.2354924;4.46822;16.562695;15.71133;13.673602;79.76325;23.507103;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0006748;0.22673392;0.6521889;4.1576777;3.352151;6.256178;15.525125;32.079338;1.3878335;0.9927832;0.20304875;4.085389;8.101541;15.254764;1.8692366;8.523059;16.183355;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8323197;0.22202675;0.8119991;0.8164871;16.903902;2.6263204;84.481514;88.43138;1.1769297;0.48024023;0.21663879;1.859216;15.634014;10.261228;78.158844;48.899277;88.129;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2036322;0.597528;0.70777464;3.0752256;13.1945715;4.981513;59.368294;62.760117;1.0830661;0.4640401;0.5615256;3.5981884;1.0904746;1.0298789;74.225494;7.384368;5.448025;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.71090096;0.34467345;0.6428635;4.659343;10.022969;11.614269;45.352997;92.73422;1.2889055;0.3641816;0.6987061;0.5074557;1.4728613;3.2163358;97.90728;80.10285;57.07228;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8074193;0.7396263;0.64736575;2.2837331;15.717464;6.1644845;41.8488;32.87258;0.77888954;0.80801207;0.5851775;1.9968847;4.960202;8.134048;48.391136;5.5978627;7.4932017;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.45370764;0.58620983;0.4431601;4.8204527;18.387985;14.784898;11.03199;87.41894;0.91154474;0.67773914;0.7417043;4.2781787;11.947004;19.9748;18.814463;66.47927;16.659218;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3614654;0.27478153;0.22465427;1.4930829;5.254605;15.587963;65.04862;79.3752;1.3678161;0.28956917;0.55968213;1.1804054;18.87343;1.4412979;43.944317;32.971043;38.03402;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.23317954;0.20466547;0.5493739;0.97535217;7.135298;10.056125;52.559784;94.94097;0.27381188;0.8356127;0.23405105;2.0902786;16.458906;11.37678;3.358598;92.476555;48.099564;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1509615;0.2293798;0.37166774;2.8614304;18.75212;18.205517;96.16658;24.936018;0.9322305;0.8741136;0.38093337;0.50469494;4.3635077;7.779719;29.121893;29.275784;67.263435;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.80864716;0.6266694;0.5268229;4.582611;11.336823;16.490309;67.83134;94.77018;0.6955571;0.5962484;0.9940994;0.60409725;4.526095;13.807163;18.623335;52.9013;99.90451;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4211593;0.66928345;0.88272244;1.9007565;6.343546;2.4776008;96.5975;66.28499;0.92223585;0.31702098;0.47669107;1.1570854;17.864407;19.379835;2.2325175;59.613785;81.02085;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.42986086;0.48241153;0.3871516;4.1007214;4.006219;16.247358;14.844247;73.7175;1.4444485;0.72647685;0.45981258;0.95838374;15.092674;13.567331;64.612366;82.95865;71.32762;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5171785;0.26312038;0.24664219;1.2613877;19.785496;16.765888;68.566925;19.402588;1.2213749;0.79771775;0.32223365;2.703782;11.987157;3.6436827;85.42283;81.870926;11.423808;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0303438;0.9477511;0.42510712;3.8550668;11.165454;7.5854497;81.61416;22.389273;0.819522;0.9395465;0.989715;4.5500197;1.9227583;4.7443275;59.830334;37.583138;93.58521;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.270977;0.52457094;0.434875;3.0066211;17.382895;10.366805;61.503624;99.43786;1.0850573;0.5251024;0.38436747;0.8808877;3.800982;15.042538;61.174995;4.8679247;32.647537;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.85443723;0.5434469;0.7295332;1.2875764;13.083936;2.3321624;61.87034;78.614586;0.9317843;0.5034494;0.7174612;4.414266;11.840106;9.741497;69.737274;75.21957;28.823915;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36065596;0.5051661;0.6456257;3.7313926;9.429617;6.0524755;16.420156;89.015495;0.45633546;0.586704;0.23363797;3.5067103;17.056559;12.781176;87.3068;80.952835;55.34909;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.40981668;0.2475739;0.8271186;3.7119026;17.307665;19.077806;32.80036;26.957273;0.79286796;0.68757737;0.25317785;1.2600269;13.306893;4.434508;72.161064;68.27666;17.903135;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8657298;0.768358;0.73145086;2.8194585;7.7736564;18.727903;63.62253;50.011135;0.34416044;0.58964545;0.7734014;1.8038142;10.39741;4.3815627;37.382004;35.307964;32.81186;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.93979204;0.7318481;0.52510947;1.5146043;15.60097;13.9753895;47.827858;53.427853;0.7932457;0.76990277;0.70813453;1.3738257;18.448765;19.372562;82.29926;86.67248;7.046693;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.47564515;0.3315716;0.8512163;1.0953225;9.614904;1.347843;86.440414;27.372765;0.7712236;0.66400987;0.7441299;4.051843;1.9514908;5.681068;56.42071;99.94791;85.035805;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5526102;0.41486585;0.33357835;4.8076477;18.050407;1.4546001;77.95168;15.307501;1.107823;0.9527897;0.38477632;3.7629516;3.702029;7.2179403;88.03847;36.586636;60.245228;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5693399;0.63753587;0.21816966;3.4511564;10.561141;12.306026;53.958893;19.408287;0.55025595;0.31381917;0.98791116;1.869842;5.420261;7.2514515;68.994095;69.85948;37.048203;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.38435277;0.501413;0.27203828;4.141587;7.1905227;5.374791;61.575962;32.561443;0.71092016;0.51806986;0.64670014;0.7445045;1.1742067;6.174156;52.557076;69.12113;75.863716;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4554371;0.99834335;0.77788746;3.6363673;14.789142;13.382298;65.98006;42.77778;0.73506194;0.20498142;0.9756385;1.2593334;9.449131;18.810942;64.721146;24.990095;86.691444;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.09986;0.5971821;0.56950176;4.2326317;17.342543;2.8218277;65.86643;2.853387;0.4232151;0.8557539;0.33133644;3.3344436;8.428067;1.9101841;71.60736;37.293682;39.451744;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3440944;0.9057835;0.32901743;1.2312087;17.169348;19.76181;69.91178;48.231117;1.152273;0.7826229;0.5240796;0.9066776;3.6368086;5.874937;15.045326;82.81856;26.498804;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.66430825;0.36369023;0.6008358;2.736276;10.089698;3.1791234;50.220592;53.351086;1.0700654;0.91340506;0.46854842;2.9140947;2.0900922;2.0790029;73.635056;69.80005;58.56178;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.42438364;0.6449768;0.32184967;3.5020614;9.363249;7.397425;13.257262;48.044903;0.7210045;0.7757944;0.8040599;3.2581806;2.5359747;12.464128;40.961113;88.36507;76.51397;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.504702;0.45743632;0.7570563;0.96525455;3.8365722;2.856036;95.55919;59.655605;0.40592232;0.6439968;0.79805714;3.5948913;9.615975;2.7418141;77.09533;98.16483;76.52419;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4213212;0.9476013;0.556925;1.1748062;1.7456234;8.29695;2.6290994;9.872164;1.2235833;0.8032903;0.589235;1.0641009;14.682855;6.5451965;73.57628;42.38855;48.999397;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.37777883;0.6409444;0.504817;3.3529217;18.69889;7.3921285;2.6416092;88.26343;1.1008122;0.50936747;0.2129184;2.5686765;3.7087104;19.074684;2.2175145;71.59425;85.44739;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3437552;0.7231568;0.44120967;4.4091763;14.779367;13.268317;93.90242;24.139664;1.0634475;0.45915762;0.34016457;2.5852847;15.080125;3.6334293;55.72657;90.17602;2.425664;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2943856;0.26081663;0.7042261;3.4718728;11.958852;17.326063;49.943905;44.323776;1.4292333;0.9564704;0.24021253;4.258772;4.2059546;11.503715;36.857212;87.73558;19.900417;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1667687;0.59014976;0.4894501;0.66292167;12.084736;16.394125;81.937836;85.78423;1.2446316;0.37964228;0.87761164;2.6092265;11.939014;4.209198;4.479075;50.738758;97.11324;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.84573865;0.66357845;0.27011994;4.866948;1.4435899;14.924739;39.185753;71.85101;1.368344;0.32816637;0.43181726;2.330581;7.0721393;2.6240036;25.840103;37.874443;54.31954;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.53587794;0.43232232;0.29440472;1.127781;9.621279;19.958559;43.66337;72.485756;1.188622;0.54814774;0.2943381;1.055572;3.1859164;3.0628722;97.104225;91.37765;22.381048;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2802738;0.7886133;0.9695181;1.54653;18.505169;1.8284632;70.83218;80.25284;1.169131;0.2546189;0.48333788;3.6250896;15.180738;18.272045;55.32409;93.296326;77.69322;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2842975;0.573264;0.92686456;4.887353;9.7787075;16.001434;51.37634;96.733025;1.1859236;0.54578435;0.26183146;3.2890527;10.422984;6.1344643;66.005905;90.334785;52.32042;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.8829108;0.6490483;0.7597657;3.9696486;12.035443;3.475885;90.16113;5.0712023;1.4290192;0.8101531;0.9830857;3.7262743;10.158449;14.614309;6.7904997;61.344727;4.133192;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.26189741;0.48874426;0.41269597;4.714595;8.164923;12.554044;69.457794;99.74182;0.88248134;0.47470102;0.4520063;3.4532747;9.943944;7.721324;87.12292;45.85537;18.008448;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.45084953;0.7412042;0.9753411;4.1297884;2.9956548;16.412113;53.199528;93.55612;0.73364663;0.45060527;0.94645333;4.4387774;5.5574007;3.992311;17.127783;74.22951;25.668018;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.2729085;0.2825372;0.8230007;3.432805;7.1478066;13.566456;83.14376;15.036926;1.4495531;0.50205415;0.746183;4.4480577;8.137112;5.0572586;22.470709;52.669857;47.155827;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.43378943;0.60498196;0.7735121;1.7804885;2.6166933;3.1765404;54.944954;30.185144;1.4595889;0.64208335;0.6528856;1.8845747;12.188863;14.537751;30.55451;38.820454;79.67102;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.86094767;0.91651237;0.5594892;1.9709665;11.993011;4.4932427;30.6625;66.240654;1.334147;0.97488546;0.5803976;1.3208543;1.2228904;6.77855;76.613655;50.305927;42.47556;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.3104255;0.3881471;0.41779324;4.7627196;19.653328;17.853058;12.917866;88.166885;0.9470753;0.37958825;0.7499041;4.669149;19.859472;6.3758044;54.573742;59.323627;39.590652;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.0492079;0.8947584;0.27711278;4.372815;7.8912754;18.303112;35.704506;54.67773;1.0147487;0.70182097;0.7490203;3.7086797;2.6682146;16.718653;18.12657;35.060013;90.71174;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.9811739;0.9080413;0.9220819;2.117707;17.310349;15.182627;63.821636;51.785896;0.7833594;0.7037514;0.20841685;4.869398;18.838408;4.8547177;82.72511;5.097016;41.80204;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.1723396;0.38434544;0.56462103;2.1797035;1.8128365;6.578012;98.18705;12.8470745;0.47373343;0.7142978;0.926227;2.7363007;19.624556;7.930269;58.761017;76.432335;65.67055;40.0;54.537224564043015;91;0.1036780622088487;3;1350
