[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
0.49541035;0.282532;5.259304;12.570736;60.908165;99.142136;0.6813627;0.37430885;13.323241;5.3770247;55.711647;71.04178;6.7421527;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.92096025;0.7080742;9.809447;10.303528;25.35609;86.67291;1.01771;0.8266886;10.626005;1.2030818;72.27958;6.6326127;72.19729;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.28296244;0.8338605;8.580395;3.7348676;5.9125113;42.00866;1.0557353;0.56556517;11.171719;18.32933;47.873104;62.600445;77.70007;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2759205;0.41235125;14.578443;11.4481735;53.984695;96.82379;1.0725795;0.3562841;5.2719703;13.781236;7.75853;4.243639;40.55118;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0211637;0.7800624;12.62572;7.7190003;51.854027;33.79531;1.0886779;0.6999187;14.460845;3.2259812;6.717871;50.25171;72.41146;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1855141;0.33591613;17.725368;4.5903764;65.707565;34.659126;0.74257064;0.7115546;12.840559;8.21033;3.9882934;9.236181;57.57405;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6608838;0.4278002;17.240643;17.719496;22.079945;51.11961;1.0120854;0.46340108;18.22511;6.2945886;96.46797;2.4983716;25.402008;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4619074;0.44945762;5.583177;9.75088;18.784693;78.17799;1.378771;0.3152816;12.408563;16.509525;95.69187;88.989075;42.18303;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3610574;0.997148;1.3351358;2.5153646;97.813675;20.024643;0.28855065;0.65104973;14.19286;14.237266;39.454803;74.604065;61.4284;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2118986;0.37165785;17.234945;6.740635;12.255161;74.50419;1.2181484;0.6510368;7.5503416;3.0872695;67.48446;24.65596;85.11199;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.45303032;0.30336598;7.2532964;4.4485927;99.94145;1.2673141;0.36740053;0.5655624;4.5703597;1.1259127;6.2422366;74.75801;24.723198;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8067373;0.9405531;7.5950847;18.845657;72.2777;26.985493;0.8052606;0.9759034;18.993061;16.577194;70.9916;1.8470278;13.88483;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.2569449;0.32954454;4.009501;5.6181774;63.302902;97.472404;0.4133006;0.45640954;12.463387;18.731098;46.164776;96.61321;86.97348;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.40057635;0.90342396;14.167138;10.621537;34.638565;65.99015;1.2171464;0.6022428;10.089817;19.275154;50.364445;36.457645;95.28111;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0879636;0.7203653;6.3220696;15.1649275;86.912506;46.793495;0.24831326;0.70830184;19.97237;3.2604723;11.045988;69.803955;6.1739645;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1681908;0.6614892;4.358119;4.011707;91.0961;73.444534;1.1114808;0.7524343;6.032461;8.430624;39.68782;38.132664;96.26583;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4577626;0.801071;10.5644245;9.312264;72.466515;44.09037;0.7219633;0.8762737;14.4147215;3.3241043;19.080679;54.6561;74.464005;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.62357295;0.78079915;15.257902;13.412347;71.27897;11.562163;0.5445666;0.37667644;5.2807536;18.752523;1.6420617;22.769808;92.37654;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6815976;0.28842095;6.1223736;17.75712;49.822308;50.259373;1.4485993;0.8898781;9.362537;9.59236;41.88093;91.84599;3.4551892;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.81042254;0.9995729;14.718741;13.42796;8.705651;95.58479;0.5796803;0.28101656;8.205305;18.287855;11.316733;69.18524;94.26634;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.44631276;0.9535118;9.777527;2.521593;99.90388;27.987577;0.4752145;0.25189957;15.332061;9.627826;19.35104;7.991039;18.932957;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36889794;0.9172736;8.671681;7.109668;2.5399828;6.234615;0.7609038;0.8968712;9.881855;2.7251306;31.461666;22.820963;8.836628;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8184164;0.69783133;7.8308964;7.6677117;50.044342;74.393295;0.5929184;0.4600756;7.58052;7.7896156;45.879227;9.154616;86.23927;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.49498215;0.6182331;3.7660384;8.377195;37.3463;45.986076;1.1461515;0.8371107;6.546764;19.457127;24.83958;15.189941;79.77744;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0707582;0.6290229;7.3200417;18.890753;77.837105;34.135784;0.23920697;0.8192368;16.924458;17.653765;95.31288;6.5022907;45.298855;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7682975;0.21194956;17.70578;1.6783637;73.842255;49.26637;1.0996758;0.74037594;4.960799;10.762841;92.01033;97.535;84.93512;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2824817;0.5995756;2.9411716;6.7412987;63.17692;93.069954;0.7487432;0.36364362;9.7268505;7.24782;25.589567;66.339676;88.48006;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1103446;0.6990157;19.2077;10.356663;8.399116;25.774677;1.2191164;0.5397294;9.045494;4.1163936;45.424458;56.76874;1.9121438;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.60607666;0.72696495;3.042434;2.6415246;24.448095;20.85148;0.6340662;0.84748816;9.954318;3.6195095;61.133022;66.515076;7.082969;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2819377;0.46571156;7.878601;10.187222;10.321685;53.85724;0.2235745;0.27851653;13.678992;3.9587626;19.45197;70.26253;58.977997;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2461936;0.5770259;12.519817;3.0354495;97.91866;46.867527;1.192261;0.60478324;17.848005;11.108875;63.20367;57.038868;5.1841283;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7037219;0.7090485;16.918987;16.917862;13.650507;15.829964;0.3722999;0.32291308;3.995571;14.29242;42.63297;79.45806;64.311005;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.57482654;0.5426444;3.7280736;6.1316032;96.75208;58.485073;0.821109;0.28178376;14.615715;6.6316996;4.075381;58.470577;35.066902;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0872442;0.96970814;3.6809423;10.937213;12.158505;57.874546;1.2828943;0.5531714;3.7152755;19.700544;26.435112;15.182587;50.825768;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.38167822;0.7643537;12.939184;12.748039;86.3608;60.937653;1.4024935;0.44762534;1.1264906;9.869244;19.146866;15.079117;91.78138;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.45988065;0.201019;6.5621862;6.808787;57.888386;41.941994;0.51981115;0.85663223;1.1505821;12.316079;82.45732;9.50555;74.612335;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.20957094;0.21862358;13.24554;7.674979;83.34084;29.714825;1.2896152;0.590371;18.025269;11.1836195;50.25471;20.517956;36.624607;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2230017;0.7522402;16.591082;10.699805;63.769363;33.504517;1.2089407;0.7928535;17.080261;15.649592;18.826221;5.129845;90.25305;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0643061;0.5301161;2.4605398;16.303259;77.114876;83.60136;1.4006358;0.7290653;7.193868;18.776915;57.325382;43.73407;48.742634;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.116715;0.8715768;17.04539;9.601146;73.35035;62.884583;1.2596984;0.96104324;13.331786;17.099684;44.186195;20.741877;38.69043;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2149477;0.3384123;1.7141218;10.327023;26.75851;40.40434;0.31634372;0.4080172;3.8494987;10.781969;43.324905;62.351894;94.074844;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7965905;0.21106154;18.077698;12.321434;93.56978;61.71343;1.4276991;0.82463735;15.327673;18.830658;20.940948;96.96697;3.0592272;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.93936354;0.51046586;19.536745;9.079018;64.72096;35.61178;0.23211677;0.3500988;19.969471;8.956211;64.275185;28.991816;55.4276;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3817361;0.78885126;13.681649;14.795488;21.006329;86.402145;0.6466229;0.8898262;18.948704;2.4021077;82.20936;8.775966;93.69023;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.34888908;0.9773822;19.700851;1.0932446;31.29816;73.03557;0.70600575;0.89881057;13.044714;3.5204976;49.02033;60.51231;93.55044;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0689238;0.9069231;16.617846;10.177375;53.77205;10.993917;0.83084434;0.85394394;9.492712;19.09025;15.728946;31.275074;16.435886;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8124251;0.5872597;1.8429445;18.537308;88.30085;6.560831;0.5057979;0.45681614;7.9618564;18.860977;26.900763;35.843346;82.08983;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.93480694;0.8502538;1.072408;12.702171;79.878555;4.3083234;0.36093664;0.31737474;6.256178;18.360643;32.079338;99.106926;38.002766;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1944985;0.25626436;1.3951713;10.241595;30.902752;3.7258103;1.2881618;0.87459815;2.6263204;15.278204;88.43138;35.67973;77.250916;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0251338;0.6578179;9.586232;15.668472;69.16015;50.194088;1.0343654;0.671663;4.981513;13.906351;62.760117;33.674965;1.4714203;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.91965324;0.9394387;12.84427;8.467014;1.1640261;18.903341;0.81736106;0.558408;11.614269;16.914774;92.73422;21.317474;3.463856;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.9269693;0.51710814;10.1479645;9.877666;33.931465;67.778755;1.2069844;0.53009135;6.1644845;9.460693;32.87258;76.24149;21.634739;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.59513515;0.9680805;13.865477;4.7080345;84.11993;48.79347;1.3897042;0.2810666;14.784898;11.3995;87.41894;60.12022;58.039654;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.24006319;0.37654808;9.54245;3.3598788;15.968919;10.254212;0.49110454;0.7175646;15.587963;18.06808;79.3752;12.084183;94.129974;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7677326;0.28450704;1.8087122;1.4849317;35.98613;1.5773522;0.6197835;0.61664474;10.056125;2.0787892;94.94097;79.657074;81.549034;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.47896007;0.61980987;5.2971673;14.898669;1.1032884;4.63575;1.4146187;0.96902287;18.205517;11.70183;24.936018;84.42156;18.525644;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7310872;0.9257975;19.859861;9.895612;3.29014;53.80034;0.90725636;0.7400512;16.490309;8.242758;94.77018;50.035736;19.37281;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.309424;0.44902337;7.571413;18.847712;15.45588;59.073826;0.56561106;0.9725051;2.4776008;11.555755;66.28499;15.481348;88.87244;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5041213;0.84012824;7.170549;4.359505;11.084442;35.948425;0.40568864;0.3118727;16.247358;19.188093;73.7175;66.15151;74.43025;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.27579355;0.33535782;3.903049;5.635685;49.483204;8.811149;1.4853233;0.74599534;16.765888;15.927787;19.402588;74.967575;58.248867;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.56579906;0.79645634;19.755732;13.135793;90.10043;93.534195;0.89553106;0.85142756;7.5854497;10.054553;22.389273;92.51888;5.808057;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.5816719;0.64562154;5.378727;2.0373561;9.379529;41.16565;1.3209348;0.6889182;10.366805;13.935452;99.43786;41.231415;15.59459;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0604914;0.3400136;13.289704;10.564852;87.11385;43.501553;1.0267956;0.69188154;2.3321624;11.695309;78.614586;38.55186;57.48266;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.9241418;0.7744698;1.7989017;3.348049;67.14763;38.76431;0.77676326;0.3246073;6.0524755;4.7464414;89.015495;48.85462;84.66312;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2190677;0.7710049;2.2629743;4.0665517;17.720592;6.8872695;1.3157876;0.45697263;19.077806;9.664993;26.957273;61.3377;65.12539;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0636076;0.6123482;14.618282;10.7298975;29.683912;71.3343;0.6634607;0.7060406;18.727903;3.1069603;50.011135;49.218624;49.965454;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7283029;0.3803741;13.068195;11.8123455;20.224165;66.81621;1.1990137;0.57840693;13.9753895;9.670514;53.427853;71.52547;91.91725;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2582265;0.30583513;13.923085;5.0286603;79.14055;17.281986;0.7894409;0.8904276;1.347843;9.348652;27.372765;58.42122;5.9577675;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.4170648;0.96580404;5.3884377;6.153534;72.784935;27.58965;1.3666068;0.82183176;1.4546001;14.268183;15.307501;94.15773;15.078993;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.2295257;0.72465;19.71289;6.398044;31.136526;55.14506;0.8541834;0.6279506;12.306026;6.1191254;19.408287;15.085123;24.031887;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.31706223;0.8473932;11.609128;3.6943867;6.3790984;38.29986;0.62356204;0.6895027;5.374791;8.467295;32.561443;40.36115;1.9077088;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1390672;0.7575764;19.421415;19.348696;17.705336;99.79499;1.1434675;0.72509134;13.382298;8.820136;42.77778;1.6164497;45.024418;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8004404;0.8635789;4.1192403;14.151798;63.35776;50.151287;1.318174;0.7241732;2.8218277;4.2623744;2.853387;82.14954;39.70414;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.4096533;0.32999265;8.696891;3.1059947;9.946908;88.340706;1.3063238;0.7568629;19.76181;14.917836;48.231117;73.09958;14.739161;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.85135823;0.59756017;7.378025;7.7860436;54.110085;21.256664;0.82192665;0.59774214;3.1791234;13.71634;53.351086;89.283875;6.679954;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.39800572;0.7336998;15.346423;4.2794533;61.679974;56.06588;0.7722223;0.29904857;7.397425;8.614681;48.044903;72.254555;9.003237;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1052165;0.28271192;15.203857;5.4533367;69.08761;32.857746;0.39408126;0.96411467;2.856036;4.009634;59.655605;55.944603;45.89377;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.78000313;0.31996557;10.244332;18.850079;13.410219;93.51566;0.25101635;0.21316443;8.29695;15.960063;9.872164;75.65717;72.294876;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6953276;0.7071861;1.306812;3.5983062;46.510883;55.56687;1.4109768;0.21326552;7.3921285;14.165717;88.26343;39.28422;15.113807;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.59196573;0.89496464;4.3289084;17.716423;46.876266;65.740654;1.1427988;0.9507266;13.268317;13.6196165;24.139664;33.070755;74.36486;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0193673;0.72833294;1.9550477;16.994865;83.69298;8.526058;0.94981617;0.5955063;17.326063;18.965717;44.323776;94.61321;17.70471;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6703564;0.22896385;17.093277;15.129697;47.402985;49.28103;0.9584293;0.8540431;16.394125;16.267693;85.78423;23.230734;57.998024;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3139449;0.9763463;6.5056596;10.437718;41.27278;58.367832;0.2303509;0.50857174;14.924739;18.075796;71.85101;16.860588;32.63904;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.35340768;0.3116055;3.24053;5.9089856;13.222585;29.749887;0.78987694;0.5447545;19.958559;15.44909;72.485756;44.083282;12.389774;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.450467;0.38604978;7.7292747;16.788618;69.75197;73.8409;1.3977221;0.7643004;1.8284632;15.164224;80.25284;7.759091;74.88911;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3811549;0.97997385;2.468497;16.847424;62.359158;47.19142;0.80064845;0.60708153;16.001434;15.409652;96.733025;43.790817;50.098705;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.1096193;0.8168264;19.598286;10.981004;71.978035;56.56973;0.95505667;0.920494;3.475885;18.962587;5.0712023;76.50645;48.72034;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.54563093;0.94926137;6.9851503;1.9046544;65.972046;36.7321;0.6902315;0.7531943;12.554044;10.974728;99.74182;34.99425;47.602654;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.4599293;0.8452957;18.728268;4.6662626;87.6531;67.97402;0.3365448;0.62181437;16.412113;8.799451;93.55612;32.0124;24.746458;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.2123761;0.72138757;13.971845;2.0655856;87.85726;11.213978;0.6206394;0.863788;13.566456;19.2627;15.036926;38.379204;38.188107;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.1319573;0.4276424;11.756033;4.4169226;31.460642;51.116516;0.31061587;0.6359188;3.1765404;19.409376;30.185144;55.707817;59.299862;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.78417;0.46150514;10.034443;10.660005;19.058794;89.6684;0.9521534;0.43969697;4.4932427;17.575994;66.240654;96.892075;2.1613762;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.553914;0.95781684;14.060222;17.229296;92.721275;24.283203;1.4762803;0.29630598;17.853058;11.918793;88.166885;23.224045;99.26777;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.32530826;0.8885005;14.039231;13.4115;71.59095;86.97636;0.6715083;0.48044047;18.303112;12.9078665;54.67773;63.100346;9.692275;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.3733832;0.48759237;1.1999002;12.417156;97.12676;88.62011;1.3159711;0.7076496;15.182627;9.526022;51.785896;63.339233;93.94749;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.7925092;0.49861392;18.24789;15.211118;50.198616;23.812746;0.25561512;0.9853499;6.578012;5.000719;12.8470745;64.64435;98.04374;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.46307236;0.4381555;7.991305;13.158318;96.26209;8.991735;0.85652405;0.79643166;5.7588253;2.9208622;72.66371;82.18929;97.2209;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.59774363;0.46090412;7.712189;9.425118;13.14916;76.67742;1.0508087;0.69517237;2.3695693;1.2347324;50.433678;31.332542;90.90409;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.95298547;0.88853395;8.725221;16.491905;59.44609;95.89962;0.6149951;0.3619096;9.889678;5.0459065;11.327645;15.155452;63.14752;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.42980462;0.20840548;14.020373;6.893505;50.176796;26.315948;0.32785136;0.76559985;8.497722;11.22983;91.31951;47.332016;29.280756;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.3135985;0.5488421;8.144337;18.634184;1.2618473;91.38739;0.48327053;0.6183649;5.656291;18.127914;24.502089;91.26671;37.572945;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.1860753;0.95427173;8.10279;3.207621;20.096973;21.608574;0.29101267;0.79117405;13.354053;8.893278;53.738773;45.698658;85.15229;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.1353018;0.6341091;2.2058327;13.115918;16.193743;36.57116;1.3546855;0.49238437;4.934553;13.176245;83.57023;50.136143;21.04732;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.76172096;0.5603566;8.916192;10.50981;7.0201197;88.7047;0.20595665;0.5825044;2.6892889;9.789365;67.81173;33.542534;11.281559;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.0155015;0.44989583;3.840091;9.089472;94.86676;31.101986;0.2901837;0.6208212;9.214308;1.2597973;24.226192;95.3493;14.399882;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.95932734;0.2591301;17.256195;9.164611;96.57135;75.81387;1.2343967;0.48967782;14.814165;9.124342;99.96236;50.074726;91.87164;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.0448006;0.37958917;7.3557105;1.801943;89.28325;15.549865;0.5896491;0.6629729;4.4950275;8.045914;10.194834;97.99558;47.396088;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.30977762;0.27236673;19.256481;15.278762;98.89921;38.49786;0.67418784;0.42109594;12.16899;7.014408;80.73799;53.38515;93.353645;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.7405496;0.30135953;14.006032;7.6945944;83.235756;94.13302;0.59869313;0.261074;2.6608741;6.8091245;46.951706;95.20049;59.648327;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.25409842;0.33081323;15.366879;10.05609;93.28593;23.401955;1.3579187;0.34270504;6.104885;3.8944075;8.144645;46.794735;43.48841;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.84218806;0.44162354;19.007273;17.104288;20.565481;70.46847;1.4073606;0.5953347;16.863495;12.087702;25.021057;2.6274354;27.612513;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.6288196;0.20881334;5.5397606;11.965061;26.431501;92.03583;1.4074578;0.25369185;3.7899077;16.261448;9.248899;36.254402;34.591198;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.38788146;0.96011513;11.778528;17.177296;86.34454;78.71052;0.5995463;0.509341;13.657499;16.825384;21.48912;35.672928;33.743763;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.33442387;0.29905528;1.7737902;3.6045084;48.466908;94.850914;0.4604926;0.7405513;1.2713437;6.1007013;88.587;83.234886;28.77648;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.96393794;0.5065191;2.9144151;6.3545337;71.98027;94.43109;1.2763951;0.60970604;11.430398;6.4526997;29.954733;84.80743;16.16953;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.42177087;0.90362203;7.9651513;5.3307157;56.629;12.249992;1.3036543;0.64285636;5.605949;6.3991685;61.470074;89.857956;17.044039;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.4026562;0.2852544;13.967535;17.840351;31.258236;60.56461;0.66055816;0.77955306;5.2273893;4.055328;20.756195;22.867617;54.709877;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.9553795;0.5868834;16.80218;15.8495865;29.19865;43.262604;0.95140725;0.29671887;10.5811205;12.858244;25.24946;72.72685;70.10333;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.65093076;0.8758269;5.87168;16.847916;75.06978;68.59109;0.707946;0.41104725;19.766409;3.7833998;35.921623;47.98545;3.0751595;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.96819013;0.6455701;15.232467;11.804988;53.677418;74.51237;0.21947332;0.5380207;5.4520936;8.564774;94.836205;11.922523;36.30739;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.22964503;0.36827487;5.261532;5.194229;36.57918;25.278505;0.73387873;0.41451344;11.483931;11.310637;21.931381;54.79284;29.513838;40.0;54.537224564043015;91;0.1036780622088487;3;1350
1.4461269;0.7884076;1.1150565;8.16297;62.08693;80.18691;1.3634225;0.5510409;8.203099;13.868278;66.050865;2.9453719;59.0437;40.0;54.537224564043015;91;0.1036780622088487;3;1350
0.8269945;0.74507284;2.0338476;11.455716;42.573822;41.511066;1.3153157;0.9149198;14.202557;19.379343;37.859097;68.878586;69.03862;40.0;54.537224564043015;91;0.1036780622088487;3;1350
