[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
0.28015438;0.7058605;1.070903;2.5540016;0.17317158;0.25194398;1.7363148;1.5576591;0.7025766;0.97221845;12.095963;12.146571;26.121319;95.78406;1.182434;0.21696684;19.679056;9.303129;42.452843;41.23462;63.01964;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.24831921;1.4777172;1.440616;2.2709706;0.21554728;1.5842812;1.2750348;1.1225973;0.5447071;0.43973133;9.337563;16.67678;93.83223;30.753649;0.7942133;0.8859304;11.201048;5.884787;63.23197;16.792345;66.026825;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.470706;1.0674473;1.8600538;1.4653397;0.3189111;1.8938352;1.6869191;2.9445298;1.1046562;0.21883498;18.656069;1.392539;73.45785;3.309211;1.2092382;0.7335991;18.30823;2.1340082;98.99554;95.38287;5.985082;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.35754606;0.18346347;1.3627619;2.5504403;0.4359178;0.30204007;1.5785419;2.4387622;1.1913704;0.7475071;8.769205;5.0280905;88.45176;28.212212;1.1241802;0.49517712;12.666858;5.093484;12.945932;52.287376;58.049183;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.42910466;0.40721104;1.5037888;0.39237466;0.15183547;0.9240007;1.2498375;1.2359798;1.3170657;0.6116407;2.2049565;17.128355;33.194294;68.37943;1.2002244;0.48121953;1.508822;2.641012;60.478302;82.18691;83.5437;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.27736568;1.8769741;1.0215787;1.7851871;0.4433343;1.211405;1.6856674;0.4472514;0.52263176;0.68669164;10.305749;5.4523683;91.65992;50.561646;1.1304471;0.5406558;10.176689;19.159742;15.305456;45.93894;60.69737;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.19089548;0.29601347;1.2241739;1.8548856;0.34359443;1.9835359;1.370279;0.7318695;1.0431691;0.64211434;5.3770247;2.1020293;71.04178;74.004166;1.436277;0.59590745;10.016134;14.934122;85.806854;6.8608313;48.364304;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3218339;1.3066763;1.4636551;0.81346124;0.29586375;1.7442276;1.6290077;2.371746;0.8586214;0.77599657;1.2030818;14.664126;6.6326127;76.34313;0.7946892;0.50193363;13.779138;10.872773;65.009964;75.85324;82.86981;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.1255269;1.6054187;1.3989681;0.24390185;0.15757616;0.8870349;1.658258;1.4251738;0.8959597;0.57877254;18.32933;15.720217;62.600445;76.150894;1.0386748;0.9863236;5.232041;11.958332;26.444496;16.489784;52.23796;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.43105248;0.60433424;1.7146549;1.652077;0.31996155;1.9390424;1.6712149;0.6665299;0.4922927;0.25461438;13.781236;8.590631;4.243639;17.969883;1.3157115;0.22776656;15.891668;7.1922727;31.434835;26.398903;34.666832;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.35266575;1.4776483;1.61188;1.5896634;0.24145265;0.729405;1.6835984;1.9122052;1.1210052;0.24620502;3.2259812;14.70523;50.25171;20.109756;1.144364;0.74758565;6.6552563;18.506083;57.891926;97.97865;16.789276;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.4032351;0.42280084;1.8802825;1.9954741;0.17558686;0.74598324;1.417362;1.9543854;1.0101435;0.22414783;8.21033;11.857646;9.236181;80.08472;1.2014593;0.6728538;8.265013;12.775705;6.1283555;90.906746;31.82363;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.24181038;0.64102554;1.8547707;0.71749336;0.45198938;1.0618914;1.6246811;1.0548289;1.3785601;0.9714584;6.2945886;5.6832137;2.4983716;57.891575;1.447065;0.5097438;6.097553;9.3912115;76.074066;34.858524;34.192326;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.48827922;0.69246185;1.2412199;0.6209658;0.28422907;1.5811939;1.9067469;0.5178958;0.9805859;0.96518683;16.509525;8.903814;88.989075;78.74638;1.43262;0.22145538;4.919414;3.0677574;18.77698;6.297928;40.382427;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.45724845;1.9932265;1.0176387;2.935956;0.13190241;0.4651194;1.0681158;1.7350552;1.1026694;0.5107459;14.237266;12.597369;74.604065;81.86504;1.0995501;0.78565323;19.649174;15.342239;94.3777;14.222939;30.421736;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.4113534;0.5076874;1.8544707;0.42969665;0.22085547;1.5106865;1.7831911;1.7350084;0.64818126;0.7372482;3.0872695;17.142706;24.65596;1.6501082;1.2785896;0.22442433;16.215874;5.2802424;57.400547;25.007902;73.37753;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.17785548;0.34549418;1.3291209;2.9982848;0.17260195;0.10513027;1.1287696;1.4251637;0.44428775;0.24236152;1.1259127;5.552937;74.75801;30.517262;1.3770026;0.7740719;8.817092;2.1062536;35.278618;84.66889;23.152868;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.2866884;1.8588138;1.3471097;2.1879327;0.47569805;0.5987115;1.4655851;2.9126499;1.4311042;0.7655887;16.577194;3.4728463;1.8470278;92.98982;0.30772865;0.72426295;13.944165;9.410855;28.266468;93.69002;72.47194;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.11752151;0.40766832;1.1583948;1.9250345;0.1972248;1.9514905;1.1640774;1.0294846;0.984337;0.5649679;18.731098;17.49996;96.61321;94.632256;0.9251449;0.42633134;4.038832;6.897346;25.302465;55.236908;21.994446;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.16171579;1.7706318;1.6930072;1.0853721;0.3025587;1.3472857;1.7824203;1.5581303;0.8219349;0.5989046;19.275154;19.094355;36.457645;64.94258;0.7169147;0.3445852;3.0265563;3.8634367;55.15198;59.927265;96.35296;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.37321958;1.3358676;1.2801089;2.616629;0.398209;0.9788651;1.0371641;1.9425943;1.4981095;0.2811797;3.2604723;1.9929831;69.803955;44.639248;0.35169518;0.6319856;3.4057806;5.7593403;18.097853;13.904765;52.604397;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.39790487;1.1960368;1.1767431;2.7391787;0.16340435;1.4903497;1.7011391;2.1025743;0.5443263;0.51262885;8.430624;19.28334;38.132664;53.96102;0.6571794;0.44421905;6.266879;8.476845;15.265654;12.220447;40.783745;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.4870039;1.5275435;1.5033908;2.1934636;0.27499503;0.92698693;1.4015102;2.5514922;1.1178493;0.3461065;3.3241043;15.099153;54.6561;81.64441;0.90781873;0.8382048;15.764197;10.360972;78.818535;10.897151;40.648697;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.23033014;1.479398;1.7504159;2.1586769;0.36131257;0.30270818;1.2650512;0.7404521;0.49289367;0.20518838;18.752523;18.536911;22.769808;24.869085;0.36509874;0.38643584;7.686926;7.43174;10.95558;22.811258;54.58487;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.24818388;0.30999976;1.2695986;1.5301484;0.4527815;1.0453819;1.960461;2.6008081;0.77217364;0.530351;9.59236;1.471198;91.84599;92.00479;0.27773023;0.95717585;11.272331;5.502313;90.3668;41.53617;70.76213;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.28782234;1.9989856;1.722039;0.3257211;0.36164126;1.9152637;1.2920618;0.393685;0.6929946;0.28336754;18.287855;18.899601;69.18524;13.670155;0.92312294;0.27536252;16.257154;10.893235;15.834497;23.520494;26.86116;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.17578854;1.8895905;1.4619751;2.9971843;0.13203354;0.6179434;1.2117034;0.2881359;1.1806147;0.34829125;9.627826;4.4416785;7.991039;99.53036;0.37014017;0.39633602;19.299513;15.865664;4.096408;76.97534;75.053375;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.1519686;1.8035247;1.4037727;0.1451106;0.22862458;0.2004623;1.4314644;2.6261582;0.8077059;0.4461549;2.7251306;2.5039992;22.820963;60.073174;0.6398095;0.59028816;19.370558;3.4995825;27.67793;67.56145;28.379938;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.29028198;1.2823493;1.3595209;1.5366524;0.24037288;1.5085582;1.3022449;1.042774;0.65024614;0.5626604;7.7896156;17.359053;9.154616;33.849773;0.596666;0.57329315;9.654102;3.350479;59.01586;94.70634;71.21393;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.19076374;1.0933036;1.145581;1.1646895;0.25530937;0.96336913;1.7278088;2.4095263;0.57951546;0.39264306;19.457127;16.118902;15.189941;2.161499;0.24014065;0.9090318;3.9495847;6.6060686;92.7678;78.69927;6.1867766;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36792558;1.1189293;1.3326337;2.3507838;0.4766474;0.73593926;1.0301592;2.3447335;1.2895682;0.9621243;17.653765;9.501801;6.5022907;63.216766;0.2242577;0.21588317;17.873814;8.212443;4.093266;79.35298;50.254707;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.27486077;0.1283802;1.8792515;2.233763;0.11428134;1.0263243;1.6920583;2.0588627;0.47100207;0.93543696;10.762841;17.10876;97.535;95.426765;0.34552938;0.8353482;10.785862;11.219583;64.32561;65.137184;22.098026;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.4330713;1.048992;1.1021669;1.9213442;0.22086945;1.8669991;1.4221101;0.69320816;0.7971003;0.39870358;7.24782;17.789103;66.339676;78.03512;0.63778776;0.32000887;9.199859;19.261118;31.871992;4.91128;78.6605;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.38010603;1.2851622;1.9583;0.31674176;0.29698238;0.5754736;1.7839357;1.3315191;0.7504812;0.55898553;4.1163936;1.1750579;56.76874;25.765036;1.43056;0.37873998;14.343347;3.8854115;4.79421;69.04424;6.0171037;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.22494666;1.3515418;1.1074965;0.7868634;0.13455841;0.480988;1.3338971;2.4471445;0.81266385;0.6859234;3.6195095;2.1674385;66.515076;76.25014;0.79298705;0.2551767;15.786908;14.831555;98.00343;73.56162;48.242973;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.43290392;0.731065;1.3620317;0.37305945;0.2934152;1.1144319;1.0181342;0.3846224;1.06751;0.34910682;3.9587626;12.12709;70.26253;71.99036;1.4319485;0.72630334;1.569732;7.596345;46.40595;2.67027;94.4358;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.42190576;0.9954365;1.6063062;2.9390314;0.14285156;0.9802858;1.7632776;1.5673392;1.3527583;0.7026559;11.108875;1.8030145;57.038868;1.2633117;0.4573248;0.53001326;11.393176;10.5318575;73.61539;83.00158;53.604126;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.25499135;1.3089901;1.8378414;0.4705704;0.4351129;0.38461545;1.1325384;0.5455599;0.40496013;0.53642803;14.29242;13.150597;79.45806;17.750381;0.4199882;0.40589562;14.354388;15.19972;39.9807;16.959171;31.403831;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.21533124;0.91378045;1.1435828;2.9048588;0.20803376;1.2032489;1.4777762;0.39646617;1.1316016;0.22485156;6.6316996;7.5380926;58.470577;72.93754;0.6578228;0.8702101;3.2791781;16.774563;14.303759;67.71054;81.77548;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3729982;1.9280568;1.1411022;0.4268653;0.30920446;1.1915318;1.8329955;1.3802463;0.385782;0.40553626;19.700544;10.562521;15.182587;87.504395;0.43721634;0.95580035;13.238743;15.905798;85.79211;36.441372;72.1739;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.155901;1.44034;1.6283782;2.600468;0.34732714;1.2503185;1.924995;0.99764186;0.20865461;0.34664133;9.869244;18.42269;15.079117;46.66798;1.3633941;0.6219821;5.080575;15.646715;25.232222;97.65234;1.1054418;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.17996328;0.10242012;1.2927467;1.7664275;0.22229025;0.8857554;1.2460086;2.4802918;0.21030298;0.85824096;12.316079;15.12762;9.50555;79.644066;1.4669755;0.84052694;3.448812;1.7077051;52.242012;72.12029;3.9924142;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.10294491;0.14423102;1.644502;2.5120044;0.24052589;0.6510926;1.8381655;1.5150949;1.3648868;0.5980179;11.1836195;7.8370457;20.517956;60.162796;0.7838934;0.26190528;14.173326;8.939643;14.33629;77.983185;14.771773;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.41476974;1.4115704;1.8205832;1.9386985;0.30420643;0.7238241;1.7761083;2.2490938;1.3002285;0.3440503;15.649592;18.129374;5.129845;25.491478;0.65573186;0.7501891;2.894608;11.211595;15.847297;31.103943;36.627304;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36594033;0.8840257;1.0768706;2.3296278;0.4221739;1.6852785;1.923566;2.0178618;0.623791;0.6551546;18.776915;10.162728;43.73407;27.23955;0.21396706;0.56691647;2.5805361;11.424674;97.181564;43.118706;27.045444;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.38206616;1.6949948;1.8444941;2.2193537;0.28107676;1.2876838;1.8151526;2.8587818;1.0437539;0.54897934;17.099684;8.233517;20.741877;29.416819;0.55321336;0.7891299;14.46025;8.930342;38.833786;56.457985;7.7992883;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.41229162;0.42872927;1.0375854;0.85454226;0.29635838;0.8562449;1.0894952;0.85406226;0.3949657;0.5420194;10.781969;18.86285;62.351894;85.268166;0.4936632;0.3033808;19.2536;14.547423;95.07437;44.47892;39.304207;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.2835663;0.12627114;1.8988262;2.81164;0.33834597;1.2652072;1.944384;2.3643103;1.1803144;0.36113897;18.830658;1.3952053;96.96697;29.806295;0.62746483;0.93580544;12.161836;16.967459;14.017077;93.70751;11.225814;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.32749647;0.83735645;1.9756181;1.9665737;0.2700846;0.7642665;1.0247052;0.64410806;1.4979111;0.7113146;8.956211;11.445702;28.991816;82.42449;0.6090285;0.904023;5.0988407;1.8744718;45.963257;65.31906;70.7094;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.15591879;1.4985218;1.6674552;0.6860439;0.39043134;1.7390311;1.343556;2.60062;1.4280691;0.85623723;2.4021077;18.789034;8.775966;49.541462;1.3937192;0.5024634;19.975876;11.324151;24.132496;76.78096;60.808277;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.14581203;1.9462827;1.9842553;0.9875219;0.10196304;1.4825008;1.3892351;2.6331882;1.024112;0.5880431;3.5204976;18.762205;60.51231;52.371292;0.74362034;0.2927263;18.862019;12.444108;36.312218;74.5348;39.20711;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3673612;1.7789423;1.8219918;1.6458479;0.29320788;0.29180244;1.4852649;2.4705467;0.7810803;0.3190218;19.09025;3.9624429;31.275074;53.461548;1.3208858;0.45701316;17.135763;15.573809;55.317993;94.34504;31.336132;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.28843847;1.0197418;1.0443655;2.6572976;0.46920648;0.20672302;1.2352291;1.0309584;0.67633754;0.4092991;18.860977;16.562695;35.843346;13.673602;1.2065647;0.8364707;5.3195453;16.242079;80.24988;9.676094;25.819496;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.32609445;1.6443528;1.003811;2.410584;0.34636152;0.16349308;1.1237974;0.5254834;0.5596332;0.4511462;18.360643;8.101541;99.106926;1.8692366;1.1753259;0.2607924;3.9139774;6.074327;32.344055;32.28807;13.108711;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.40599954;0.23362787;1.0207984;0.9759392;0.2945599;0.15231353;1.8370475;2.5454183;0.31127456;0.90651625;15.278204;15.634014;35.67973;78.158844;0.833663;0.58706486;17.721725;11.168422;62.63641;15.001153;32.441998;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.35388732;1.1873175;1.4519069;2.0966103;0.40880993;1.044129;1.6418196;1.8097783;0.47241932;0.69907165;13.906351;1.0904746;33.674965;74.225494;0.20204435;0.25159085;1.8536614;2.9381516;26.221357;20.922386;8.042118;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.32143176;1.856167;1.6233826;0.10480481;0.2572003;0.44359946;1.4748931;1.3992292;0.92623943;0.9412866;16.914774;1.4728613;21.317474;97.90728;0.35164404;0.8392149;11.761347;11.535474;61.50516;34.927036;48.827557;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.32368287;0.8531318;1.4814718;1.064659;0.28689826;1.3816124;1.7746034;1.296581;0.55335945;0.45755622;9.460693;4.960202;76.24149;48.391136;0.6881191;0.23715444;2.24617;3.9224;45.090958;19.105803;95.79798;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.22158004;1.9241912;1.6771303;2.534826;0.17806388;1.0172484;1.9151571;0.39386636;1.1431772;0.89833486;11.3995;11.947004;60.12022;18.814463;1.4982758;0.72912544;4.0053043;8.679975;1.9889127;94.865715;81.7143;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.112327136;0.5193017;1.4496026;0.5384835;0.14968166;0.2776061;1.2239265;1.9761717;1.1981238;0.8333349;18.06808;18.87343;12.084183;43.944317;0.23019406;0.45835185;8.107539;5.2603617;9.547701;28.804237;94.424255;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.27468696;0.30070424;1.0425638;1.1248462;0.11020909;0.1110805;1.3229104;1.6103371;0.81962955;0.95911896;2.0787892;16.458906;79.657074;3.358598;0.9099902;0.93920445;10.03931;13.1113615;37.42123;49.843338;27.831844;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.18583387;1.0970484;1.2261667;0.10302562;0.39260358;0.16977702;1.9343221;2.887708;1.3772196;0.39342237;11.70183;4.3635077;84.42156;29.121893;0.6638755;0.42849118;13.717225;4.168112;81.990685;83.7598;42.33914;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.26341146;1.8237691;1.9926243;0.1670849;0.28727606;1.1133398;1.5440433;2.0576856;1.2598633;0.9577388;8.242758;4.526095;50.035736;18.623335;1.0762796;0.61940444;19.981674;19.611391;78.40658;13.276287;73.31113;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.44136122;0.6914305;1.3458638;0.5234551;0.4757413;1.2145482;1.2812393;2.900331;0.301099;0.72755545;11.555755;17.864407;15.481348;2.2325175;1.4575677;0.67364675;16.357536;7.5870504;81.013626;15.339383;34.044136;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.1935758;1.6203046;1.3247657;0.39540285;0.17072642;0.7707274;1.1582221;0.5055386;1.2432402;0.7876162;19.188093;15.092674;66.15151;64.612366;1.05987;0.8622921;14.49722;19.127428;90.38413;20.974865;13.770715;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.12332109;0.4214748;1.1527921;1.5202152;0.19759338;0.24991092;1.9887103;2.0792332;1.2787187;0.3487078;15.927787;11.987157;74.967575;85.42283;0.38088357;0.85350245;3.0005288;18.148844;23.228352;6.80095;51.69104;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.21255356;1.5165838;1.9871438;2.7100127;0.3554904;1.8759089;1.5350239;2.4614248;0.6505834;0.3728426;10.054553;1.9227583;92.51888;59.830334;0.45619085;0.4956213;18.768879;14.650543;10.903562;63.54092;95.833984;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.2174375;1.1583512;1.2304593;0.34546095;0.12183908;0.8708559;1.8622576;1.8723284;0.84088665;0.9954575;13.935452;3.800982;41.231415;61.174995;1.1608052;0.23125596;7.07377;18.151594;59.37636;88.679276;77.08685;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3647666;0.43253225;1.6468266;2.622527;0.30136532;0.91568637;1.6359967;1.8830705;0.29114795;0.82718855;11.695309;11.840106;38.55186;69.737274;0.79810244;0.7997541;6.3399434;5.4146686;72.57867;67.1228;30.447998;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.32281286;1.4643657;1.0420475;2.0376577;0.1494326;0.82476956;1.4436641;0.55170155;0.54569566;0.91123635;4.7464414;17.056559;48.85462;87.3068;1.0060804;0.8460835;11.430634;9.954061;72.55433;45.405357;30.324312;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.4135593;1.4561366;1.0664723;0.5897951;0.16455898;0.212988;1.8582982;1.0315257;1.4369025;0.40975574;9.664993;13.306893;61.3377;72.161064;0.43499264;0.7436497;4.2440357;7.240253;84.43827;94.083244;4.3700814;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36572543;1.079327;1.7167517;0.94023585;0.30483994;1.4498502;1.3565083;1.9343973;1.4129617;0.59604955;3.1069603;10.39741;49.218624;37.382004;0.43137008;0.47723606;7.1053066;1.2093903;48.25846;66.84488;68.69968;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.26255473;0.5283885;1.6351682;0.6631321;0.3276283;1.3631393;1.7684721;1.4717251;1.0877898;0.62365943;9.670514;18.448765;71.52547;82.29926;1.45707;0.8923028;2.1604764;9.580369;88.91059;75.26872;4.654135;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.42560816;0.35135838;1.6801624;2.3889656;0.1848139;0.4124826;1.453416;2.6028;0.22379978;0.41311327;9.348652;1.9514908;58.42122;56.42071;0.5202836;0.9995791;17.128084;12.938699;59.99015;60.966923;49.834423;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.16678917;1.9187846;1.2309704;2.202791;0.20849545;0.6103064;1.8973899;2.3541403;0.23110421;0.31561616;14.268183;3.702029;94.15773;88.03847;0.62543803;0.48756877;12.3702965;7.9550533;90.27257;13.391454;86.40225;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.10908483;1.3460438;1.984889;0.98278713;0.21364303;1.1391476;1.5032179;1.651321;0.9735702;0.34875384;6.1191254;5.420261;15.085123;68.994095;0.6277309;0.7564402;7.9183416;2.1327167;76.467255;40.332134;62.546326;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.13601914;1.6375588;1.5583751;0.25756955;0.15672393;0.81585586;1.325817;1.8744475;0.4993278;0.45504197;8.467295;1.1742067;40.36115;52.557076;0.55402124;0.7504738;15.3677845;6.649;80.100334;44.163452;58.6944;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.38894373;1.424244;1.9695482;0.5893482;0.48628834;1.9960655;1.7257442;2.003456;1.0472099;0.5375982;8.820136;9.449131;1.6164497;64.721146;1.4186435;0.39385936;17.445833;12.584988;38.471252;20.466967;14.285455;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.28475088;1.676;1.1641705;1.9266415;0.37687996;1.0433075;1.8601339;2.0001278;0.32465136;0.21497686;4.2623744;8.428067;82.14954;71.60736;0.26227576;0.4932823;8.379628;11.705705;75.42793;11.80752;10.791973;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.16450872;0.40873256;1.4050995;0.36208114;0.14433673;1.7762358;1.8510183;2.1186278;1.4837028;0.5816656;14.917836;3.6368086;73.09958;15.045326;0.5335483;0.86116004;5.8937097;10.011017;53.33996;32.924656;51.840405;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.3004179;1.0442054;1.3356855;1.6557499;0.24286407;0.48876426;1.4784051;1.5418153;0.34909794;0.62303907;13.71634;2.0900922;89.283875;73.635056;0.2738265;0.75596005;12.04721;10.416415;15.151547;53.37378;96.48562;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.16092484;1.367537;1.755075;1.8774941;0.16904111;1.1568199;1.440171;0.4590511;0.63771856;0.58016086;8.614681;2.5359747;72.254555;40.961113;0.98438764;0.9059803;15.492579;13.196955;64.4578;56.26806;33.897594;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.37852815;0.2964408;1.7475715;2.0944855;0.19375445;0.7114113;1.1492933;2.8699157;0.32699195;0.6739847;4.009634;9.615975;55.944603;77.09533;0.31917676;0.98517036;15.494542;4.9748077;91.67982;95.27439;43.56269;40.0;44.6636575032666;91;0.1537041353167826;3;1350
