[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-];[-]
169;10;0.056552645;0.13002755;0.21330726;9.202854;2500;1.3734288;1.1085241;0.32964305156893586
84;31;0.06950306;0.11455295;0.16264544;8.861867;2500;1.3833178;1.2345388;0.2344226527758325
129;40;0.09370915;0.11151688;0.17379472;2.443478;2500;1.3863924;0.887983;0.2599687574909389
140;38;0.1021261;0.10694532;0.18090184;7.097037;2500;1.4411304;1.2133235;0.27856273826735944
180;80;0.060274392;0.121847875;0.2194851;8.538291;2500;1.2252368;1.023015;0.34937371334073264
140;14;0.07475481;0.113283716;0.22377062;2.9011939;2500;1.3121204;0.7920112;0.36587862607461913
111;45;0.08066583;0.120824896;0.22615084;8.843589;2500;1.480955;1.1974423;0.36461947506881853
106;13;0.068635836;0.113876835;0.16537718;4.7760167;2500;1.4895307;0.8401426;0.24058731412332
113;93;0.08035881;0.116603315;0.16577253;3.769544;2500;1.367661;1.1561624;0.23949098842786112
147;81;0.09665324;0.10262997;0.18395546;9.856552;2500;1.2900077;1.0221357;0.2885725789778805
180;98;0.08408269;0.1327897;0.21449947;7.1920443;2500;1.4554627;1.0089308;0.33005538879813695
118;91;0.06309614;0.12953092;0.22737479;3.6145675;2500;1.4672623;1.0209535;0.3600984872900084
87;38;0.08087813;0.105868615;0.22955005;5.767212;2500;1.2891841;1.2852839;0.38514149152366134
85;72;0.05522146;0.12507886;0.17660123;6.7911873;2500;1.4202421;1.0507878;0.25608262970453083
161;37;0.09021805;0.094646275;0.22139323;7.407444;2500;1.4853525;0.7265075;0.3775729351797657
172;89;0.10249218;0.10754246;0.21126199;2.8845162;2500;1.3296545;1.2735388;0.3435918062259549
65;46;0.06298417;0.13481271;0.2341384;6.5493975;2500;1.2244548;0.86899793;0.3703662528527836
59;43;0.07709243;0.11085658;0.22182888;8.625359;2500;1.450056;0.9821148;0.3637545448343334
139;92;0.09985429;0.11746682;0.2022897;8.232938;2500;1.4020867;1.1938701;0.31597568778446117
71;85;0.08310227;0.12839925;0.22265555;3.6484668;2500;1.4274656;0.7507501;0.3508830989730965
173;96;0.07304619;0.1115284;0.18466222;9.731734;2500;1.3980051;0.83954567;0.2830002125704175
96;15;0.09424223;0.09651606;0.22289161;1.1132993;2500;1.3259157;1.2261231;0.3791223654902983
71;31;0.07405801;0.13991964;0.22249348;8.011142;2500;1.4893594;0.77032715;0.3415811274952277
188;37;0.08417182;0.12352546;0.22841668;3.8540046;2500;1.386723;1.0100176;0.36726423527822505
74;48;0.07035506;0.14746675;0.17939168;9.470848;2500;1.3575863;0.81153005;0.24709089393839767
92;52;0.065987326;0.11706264;0.22792007;8.74951;2500;1.3669502;0.9124095;0.3716539993567893
73;36;0.0992159;0.11180055;0.17352402;8.930448;2500;1.4290873;1.1742623;0.25918655188001893
67;81;0.081147045;0.10190941;0.22175197;3.266808;2500;1.3827224;1.2754351;0.3715856118623486
53;30;0.08172039;0.1117461;0.2343934;8.16774;2500;1.2220668;1.0443447;0.39046804349624337
