[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[day of year];[-];;[mm]
0.7855017;0.45509917;0.30317163;0.8881755;2.3471556;4.4756503;84.774536;8.91708;14.989982;8.345349;50.761467;96.562035;12.095963;12.146571;26.121319;95.78406;15.35865;19.679056;3.0996456;42.452843;12.90276;8.193923;22.971607;45.52015;5.2964635;12.279075;5.164577;70.038315;3.822649;18.8667;21.323513;94.20893;3.321675;6.6751456;67.77221;29.09679;85.40525;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6820374;0.78009146;0.3775758;0.5388478;9.371705;6.4884953;75.11244;78.33886;6.2256618;6.038027;35.909355;30.666752;9.337563;16.67678;93.83223;30.753649;9.684656;11.201048;85.88389;63.23197;13.479897;8.525639;13.538164;79.262955;15.764209;9.592972;87.26405;60.257614;7.1221185;12.787705;24.863134;47.638306;1.5823449;2.864846;36.822964;18.565332;66.93226;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4047945;0.60734624;1.2541095;0.8408584;17.341022;11.398277;47.60987;94.468254;14.051464;14.221898;98.10636;3.3308299;18.656069;1.392539;73.45785;3.309211;15.750403;18.30823;67.03289;98.99554;1.956733;17.980677;17.521824;27.418259;9.623719;13.148845;23.32222;50.094105;2.946413;6.5935016;58.63132;6.4658933;13.487273;8.489042;50.31388;94.41517;33.051456;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0370246;0.23514251;1.1060915;0.37922192;7.892476;16.956095;84.65296;11.52735;11.992296;15.489259;80.84051;68.754005;8.769205;5.0280905;88.45176;28.212212;14.507249;12.666858;37.528168;12.945932;11.9488325;7.6386557;11.566983;89.279175;12.037818;15.442644;30.127274;34.611652;2.606181;9.127905;92.23459;28.324318;3.24973;18.090216;7.222873;40.135822;56.031048;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2695901;0.32935202;0.48469833;0.75673085;10.571987;3.4621847;10.981066;43.934772;5.7469134;17.326345;39.78;51.94054;2.2049565;17.128355;33.194294;68.37943;15.618664;1.508822;35.800915;60.478302;16.84172;5.522013;63.566673;97.93948;13.977325;7.108397;31.68812;74.63895;5.0731616;13.255904;38.1866;11.0869465;17.010054;18.908936;24.406584;46.70326;80.48361;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7764385;0.9481996;0.88310397;0.41064125;1.4099939;17.308378;58.5288;58.910053;14.027681;5.715388;12.8544445;61.22809;10.305749;5.4523683;91.65992;50.561646;14.598844;10.176689;43.15615;15.305456;12.457071;3.8480222;57.86182;53.457397;10.758694;9.0551195;88.97162;30.402706;7.4903483;15.965488;48.838158;30.32626;14.484718;18.717628;3.9092324;94.94605;56.426395;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.49541035;0.282532;0.699189;0.96280473;5.259304;12.570736;60.908165;99.142136;8.035301;13.323241;22.570719;55.711647;5.3770247;2.1020293;71.04178;74.004166;19.068665;10.016134;49.993546;85.806854;10.090118;10.733933;31.383638;23.943092;14.54961;12.201134;77.13567;43.455235;12.246647;13.750302;27.591213;38.44614;16.652063;14.349069;19.73507;34.691532;63.865902;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.92096025;0.7080742;0.43171653;0.8285205;9.809447;10.303528;25.35609;86.67291;12.951146;10.626005;78.55271;72.27958;1.2030818;14.664126;6.6326127;76.34313;9.691611;13.779138;38.36429;65.009964;16.712389;8.70669;25.757273;17.961977;4.371811;10.052935;75.60902;34.781963;1.0796667;4.0530195;10.400684;87.23444;18.755737;2.3130796;34.312443;30.798162;42.962906;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.28296244;0.8338605;1.2993884;0.22137599;8.580395;3.7348676;5.9125113;42.00866;13.506902;11.171719;46.23869;47.873104;18.32933;15.720217;62.600445;76.150894;13.257556;5.232041;98.30755;26.444496;10.833549;17.859583;49.483044;73.33025;5.1601596;13.401456;19.8585;96.35075;5.550696;10.860431;60.023895;97.37021;1.0249028;16.317785;33.39221;12.718222;61.74272;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2759205;0.41235125;0.5762948;0.29669532;14.578443;11.4481735;53.984695;96.82379;13.753084;5.2719703;20.340158;7.75853;13.781236;8.590631;4.243639;17.969883;17.306553;15.891668;4.4361115;31.434835;7.461311;18.784353;38.056297;49.49519;2.2362854;7.000447;30.477798;92.21418;12.848255;19.097252;5.2870126;92.28204;16.320086;19.965397;25.652359;4.6627984;53.82929;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0211637;0.7800624;1.4126924;0.69982266;12.62572;7.7190003;51.854027;33.79531;13.988369;14.460845;62.864937;6.717871;3.2259812;14.70523;50.25171;20.109756;14.802243;6.6552563;68.763725;57.891926;4.0302653;18.160814;80.8852;28.175196;16.384035;11.130941;60.111095;25.108734;3.2081072;3.144812;10.135057;95.04081;17.84893;10.840119;68.652145;38.488525;55.763046;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1855141;0.33591613;1.4257861;0.7820865;17.725368;4.5903764;65.707565;34.659126;8.929878;12.840559;64.30488;3.9882934;8.21033;11.857646;9.236181;80.08472;15.636713;8.265013;59.51566;6.1283555;6.915646;9.158825;86.29399;68.72252;11.066202;3.6945953;24.956423;91.96294;15.497101;11.661391;73.4252;78.3223;16.644573;5.106856;97.187996;59.574894;41.21103;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6608838;0.4278002;0.9564644;0.39298794;17.240643;17.719496;22.079945;51.11961;12.868941;18.22511;33.595882;96.46797;6.2945886;5.6832137;2.4983716;57.891575;19.226336;6.097553;39.33079;76.074066;7.370244;1.2822062;78.03884;75.6809;3.7822244;15.7715;87.063705;18.673288;2.2849197;15.622366;5.487069;36.533108;4.654283;4.8644304;55.224083;65.41868;35.606537;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4619074;0.44945762;0.44967392;0.65193796;5.583177;9.75088;18.784693;78.17799;18.22819;12.408563;15.266098;95.69187;16.509525;8.903814;88.989075;78.74638;19.015217;4.919414;3.6551042;18.77698;8.558244;4.859286;11.955961;76.844604;18.629232;13.64855;1.4786228;78.565155;11.028657;2.5045033;14.718038;5.1043024;9.192568;6.963319;39.431347;26.084314;65.99442;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.3610574;0.997148;1.3842314;0.5378818;1.3351358;2.5153646;97.813675;20.024643;2.2942019;14.19286;56.8174;39.454803;14.237266;12.597369;74.604065;81.86504;14.14727;19.649174;73.47459;94.3777;6.646596;8.394439;58.540134;22.568632;18.163237;18.283445;8.503884;62.426994;5.25963;11.465853;2.8573706;23.473425;15.39908;8.61595;89.78715;53.89244;84.48144;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2118986;0.37165785;0.35466796;0.8162579;17.234945;6.740635;12.255161;74.50419;15.8806305;7.5503416;56.815804;67.48446;3.0872695;17.142706;24.65596;1.6501082;16.764002;16.215874;4.022511;57.400547;14.890638;2.6546316;79.38518;91.21891;13.632981;6.298682;33.16098;25.147545;13.3145895;15.147126;86.33402;4.350776;18.864523;10.251836;56.273216;93.80575;81.90485;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.45303032;0.30336598;0.8935481;0.3222786;7.2532964;4.4485927;99.94145;1.2673141;3.446623;4.5703597;46.23835;6.2422366;1.1259127;5.552937;74.75801;30.517262;18.202347;8.817092;72.0414;35.278618;5.25156;6.5018373;91.04783;17.176132;12.74282;15.90645;88.24914;18.959461;9.760238;13.988332;96.16984;84.02588;1.1038011;6.587299;3.2565064;7.9261746;16.748165;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8067373;0.9405531;0.91212904;0.615161;7.5950847;18.845657;72.2777;26.985493;9.846116;18.993061;97.01805;70.9916;16.577194;3.4728463;1.8470278;92.98982;2.5744956;13.944165;65.87754;28.266468;14.716837;15.74614;72.548615;68.79314;14.038504;16.780977;83.347565;63.20359;1.4309072;8.131049;90.271126;46.522854;9.975608;1.263791;77.70457;2.2051826;94.10664;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.2569449;0.32954454;0.28634068;0.9350951;4.009501;5.6181774;63.302902;97.472404;4.1174703;12.463387;32.730682;46.164776;18.731098;17.49996;96.61321;94.632256;11.598271;4.038832;29.008505;25.302465;5.0292373;12.345272;99.524025;72.39195;10.221285;1.950604;82.75026;61.091206;1.1879722;13.980254;42.301224;88.66569;17.719786;17.987343;41.367165;65.18296;20.223364;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.40057635;0.90342396;1.3963286;0.9644377;14.167138;10.621537;34.638565;65.99015;15.865985;10.089817;50.77755;50.364445;19.275154;19.094355;36.457645;64.94258;8.554907;3.0265563;18.89242;55.15198;19.300062;3.2616065;11.60689;83.416435;16.053812;15.102975;5.6246924;95.53242;7.0905485;7.4050956;34.882076;54.29902;12.345575;17.395151;20.930363;38.47038;18.493221;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0879636;0.7203653;1.1627891;0.51486796;6.3220696;15.1649275;86.912506;46.793495;1.706117;19.97237;63.902355;11.045988;3.2604723;1.9929831;69.803955;44.639248;3.2170832;3.4057806;54.45822;18.097853;10.903874;6.3847313;94.121025;12.456825;15.540677;3.1442354;88.35621;96.883705;9.007039;8.504507;2.106848;40.233776;6.552725;14.225412;34.509583;81.748245;38.920925;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1681908;0.6614892;0.4474098;0.5791456;4.358119;4.011707;91.0961;73.444534;14.321642;6.032461;69.36375;39.68782;8.430624;19.28334;38.132664;53.96102;7.6818533;6.266879;31.222105;15.265654;8.635264;14.606385;41.079674;39.25548;2.761302;15.723205;26.066446;88.9421;11.728274;4.033801;6.375842;98.838936;15.063296;6.574864;76.45659;95.14076;59.324417;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.4577626;0.801071;1.1345481;0.92862505;10.5644245;9.312264;72.466515;44.09037;8.628694;14.4147215;84.68887;19.080679;3.3241043;15.099153;54.6561;81.64441;11.345043;15.764197;79.977844;78.818535;8.609345;14.401186;35.162632;45.01841;19.414045;5.807687;2.1966126;24.355032;11.4499655;7.746918;89.62716;16.65361;6.7931805;6.567988;76.356224;69.80579;37.69126;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.62357295;0.78079915;0.82690424;0.8063424;15.257902;13.412347;71.27897;11.562163;6.035973;5.2807536;22.86371;1.6420617;18.752523;18.536911;22.769808;24.869085;3.4129815;7.686926;24.071436;10.95558;11.283965;2.4037623;94.77794;42.821865;9.967102;2.991561;71.367065;29.009;17.830902;5.7677298;95.34326;21.237906;3.3738964;1.2040495;32.16545;66.01877;32.396584;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.6815976;0.28842095;0.57857865;0.73505497;6.1223736;17.75712;49.822308;50.259373;19.24876;9.362537;86.37241;41.88093;9.59236;1.471198;91.84599;92.00479;2.136057;11.272331;94.700516;90.3668;14.388692;17.418179;23.484184;61.355824;1.24935;8.524696;66.620255;10.162897;3.101991;4.9409947;66.12279;83.13293;17.964573;12.148412;31.50808;80.59442;16.123964;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.81042254;0.9995729;0.5494702;0.46144563;14.718741;13.42796;8.705651;95.58479;6.549174;8.205305;11.025799;11.316733;18.287855;18.899601;69.18524;13.670155;11.56872;16.257154;10.326112;15.834497;5.963253;11.407133;33.37737;63.365715;8.117603;14.1902685;99.591385;7.8131285;3.7985165;3.6174717;95.707726;28.451693;2.6575372;14.090235;76.79866;84.12263;38.088726;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.44631276;0.9535118;0.35141367;0.30257156;9.777527;2.521593;99.90388;27.987577;5.022366;15.332061;7.42257;19.35104;9.627826;4.4416785;7.991039;99.53036;3.4866638;19.299513;25.296581;4.096408;15.212264;9.87901;41.190506;33.75552;17.180428;15.101413;11.353754;19.275583;14.672158;1.2249955;53.28425;48.304916;2.8035483;17.53261;59.47898;62.78401;76.82031;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.36889794;0.9172736;0.64711154;0.45018718;8.671681;7.109668;2.5399828;6.234615;9.1978245;9.881855;87.23781;31.461666;2.7251306;2.5039992;22.820963;60.073174;7.4279847;19.370558;49.298164;27.67793;6.2547355;9.509122;70.81255;63.773365;9.172553;10.522446;47.429443;33.115643;8.765544;12.229887;9.022977;95.6083;19.289755;3.9339268;68.597374;99.76033;55.146614;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.8184164;0.69783133;1.4277115;0.69529134;7.8308964;7.6677117;50.044342;74.393295;6.7426534;7.58052;33.184353;45.879227;7.7896156;17.359053;9.154616;33.849773;6.7974257;9.654102;47.195026;59.01586;14.475401;3.8517663;14.462446;38.48467;10.823572;5.9290366;86.9886;48.997204;15.62563;13.896271;20.703485;50.037685;1.7439506;11.647097;89.399574;1.1068705;93.09645;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.49498215;0.6182331;1.3467187;0.4263005;3.7660384;8.377195;37.3463;45.986076;14.828368;6.546764;79.84245;24.83958;19.457127;16.118902;15.189941;2.161499;1.586671;3.9495847;88.74268;92.7678;1.995442;1.4727825;89.50782;66.631035;11.463124;9.933659;4.9932446;97.264626;10.450388;8.647134;51.325085;54.41996;14.851407;13.708812;97.94121;69.7275;91.05861;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0707582;0.6290229;1.3253369;0.78484696;7.3200417;18.890753;77.837105;34.135784;1.573025;16.924458;77.630554;95.31288;17.653765;9.501801;6.5022907;63.216766;1.3545356;17.873814;2.9655414;4.093266;10.452924;11.675544;35.307236;10.422362;7.9369607;6.79248;3.4017057;58.453133;18.38634;16.799603;15.343606;8.346691;2.9769797;6.8375206;19.751131;56.45791;88.80265;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7682975;0.21194956;0.4163922;0.31654298;17.70578;1.6783637;73.842255;49.26637;14.149108;4.960799;67.87152;92.01033;10.762841;17.10876;97.535;95.426765;3.126968;10.785862;79.62434;64.32561;5.049116;11.631991;55.657528;18.775543;14.554701;4.8262367;27.826796;2.466892;11.959476;7.648349;6.4034457;49.954853;3.2382486;10.449717;26.876135;13.89002;87.905426;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2824817;0.5995756;1.2593291;0.6578612;2.9411716;6.7412987;63.17692;93.069954;9.020093;9.7268505;21.250898;25.589567;7.24782;17.789103;66.339676;78.03512;7.398436;9.199859;15.851099;31.871992;15.904541;2.7936394;59.735336;95.61292;4.6455417;11.201067;91.302124;50.51687;4.2632213;3.7244089;5.4943132;93.74969;15.668146;9.1651745;92.43536;98.99339;58.96236;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.1103446;0.6990157;0.5733804;0.4066543;19.2077;10.356663;8.399116;25.774677;15.894778;9.045494;43.041515;45.424458;4.1163936;1.1750579;56.76874;25.765036;18.985107;14.343347;23.119074;4.79421;1.9628785;4.5920086;78.34488;43.827084;17.251732;10.287583;50.199184;41.790573;19.310013;16.365398;13.213932;54.98261;2.4254327;4.4603043;68.80307;15.382351;84.81893;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.60607666;0.72696495;1.1155216;0.4846968;3.042434;2.6415246;24.448095;20.85148;7.344045;9.954318;81.12666;61.133022;3.6195095;2.1674385;66.515076;76.25014;9.666734;15.786908;7.828117;98.00343;10.066833;19.790533;77.276634;60.704132;12.730336;15.458759;39.35777;16.373283;16.078205;12.582402;65.4273;34.57565;7.741261;15.46904;74.01417;85.993675;32.035896;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2819377;0.46571156;0.8636928;0.2644082;7.878601;10.187222;10.321685;53.85724;1.3445505;13.678992;10.716419;19.45197;3.9587626;12.12709;70.26253;71.99036;19.005402;1.569732;66.13004;46.40595;18.932123;8.204863;11.976918;16.986843;14.317813;17.36222;91.11787;68.40129;8.720091;5.0820584;74.96262;67.14935;17.115355;17.543882;12.910054;44.227432;92.99945;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2461936;0.5770259;1.1723748;0.24207877;12.519817;3.0354495;97.91866;46.867527;15.502275;17.848005;51.091927;63.20367;11.108875;1.8030145;57.038868;1.2633117;4.760901;11.393176;41.839146;73.61539;11.095741;11.411338;44.022503;63.015038;4.471991;3.819596;60.556618;23.617075;16.972198;19.391224;43.979366;66.341095;19.313723;7.445016;78.83127;73.17128;89.65312;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7037219;0.7090485;0.9815655;0.9492289;16.918987;16.917862;13.650507;15.829964;3.5182297;3.995571;16.210493;42.63297;14.29242;13.150597;79.45806;17.750381;4.215212;14.354388;26.479584;39.9807;6.8350787;19.131882;38.736946;77.71702;19.879019;5.8905396;95.97443;84.56696;18.643639;16.0159;90.42877;5.0507283;9.579414;9.24222;90.30399;51.12224;38.30023;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.57482654;0.5426444;1.2068566;0.21474065;3.7280736;6.1316032;96.75208;58.485073;10.077747;14.615715;11.120742;4.075381;6.6316996;7.5380926;58.470577;72.93754;7.6912565;3.2791781;83.9385;14.303759;16.502365;16.625145;58.127327;2.544908;16.984121;9.795066;56.16012;23.04017;12.363031;4.722126;49.529366;30.352402;4.166228;3.6528869;2.8809593;95.42069;53.679256;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0872442;0.96970814;1.2886337;0.32030362;3.6809423;10.937213;12.158505;57.874546;16.826916;3.7152755;44.70496;26.435112;19.700544;10.562521;15.182587;87.504395;4.467008;13.238743;94.53029;85.79211;14.6596365;6.975229;41.36939;68.57059;18.773945;5.5324583;23.627737;66.89006;14.136367;1.1202633;51.416084;28.538507;13.222746;1.1338222;93.82849;73.26264;52.397114;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.38167822;0.7643537;1.1310128;0.29008135;12.939184;12.748039;86.3608;60.937653;18.574905;1.1264906;31.643637;19.146866;9.869244;18.42269;15.079117;46.66798;18.003452;5.080575;53.220287;25.232222;1.0202363;14.817014;52.850613;53.369377;12.788408;19.187847;3.7591743;18.790098;15.436444;4.8385587;68.6533;26.60684;10.635874;7.9697;51.121986;75.51911;69.44501;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.45988065;0.201019;0.43868434;0.4668264;6.5621862;6.808787;57.888386;41.941994;5.674163;1.1505821;82.25824;82.45732;12.316079;15.12762;9.50555;79.644066;19.517332;3.448812;80.265205;52.242012;1.5743017;12.735432;52.758263;45.49612;3.1921241;12.679866;7.681632;56.434746;10.639949;19.094091;29.665499;84.996376;14.925298;12.660293;82.5159;52.042324;55.573437;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.20957094;0.21862358;0.6706307;0.4106171;13.24554;7.674979;83.34084;29.714825;16.925144;18.025269;49.30841;50.25471;11.1836195;7.8370457;20.517956;60.162796;9.533827;14.173326;8.660777;14.33629;3.6430676;13.191;98.24326;42.799366;8.340891;9.899983;80.262375;61.480232;7.5200415;2.730623;89.5569;94.94093;7.356422;11.782668;80.25201;21.237116;9.898811;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2230017;0.7522402;0.36142617;0.43997735;16.591082;10.699805;63.769363;33.504517;15.746057;17.080261;74.365616;18.826221;15.649592;18.129374;5.129845;25.491478;7.6606965;2.894608;69.08591;15.847297;7.837563;3.327083;46.68939;2.6823545;14.574497;1.6127973;62.714684;89.15292;14.775211;11.241352;99.83025;54.763237;7.2175384;15.218912;38.83592;27.61524;44.60741;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.0643061;0.5301161;0.43911085;0.6503309;2.4605398;16.303259;77.114876;83.60136;18.547754;7.193868;66.47183;57.325382;18.776915;10.162728;43.73407;27.23955;1.204134;2.5805361;46.40591;97.181564;5.9986205;6.3631167;10.916147;25.374361;15.546173;18.1549;50.881733;56.48109;18.611235;2.0552225;81.84896;17.374044;5.1851897;7.0841146;88.33179;3.7134356;35.379013;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.116715;0.8715768;1.0450792;0.3991115;17.04539;9.601146;73.35035;62.884583;16.4879;13.331786;95.1791;44.186195;17.099684;8.233517;20.741877;29.416819;6.162349;14.46025;73.90482;38.833786;2.304914;17.079285;59.065784;44.238472;12.387642;7.3750567;40.576656;25.289017;14.154782;19.33472;56.319283;7.594608;3.0993087;5.6326876;82.5164;52.279613;27.933506;40.0;44.6636575032666;91;0.1537041353167826;3;1350
1.2149477;0.3384123;0.55083907;0.6699088;1.7141218;10.327023;26.75851;40.40434;2.7004082;3.8494987;26.742126;43.324905;10.781969;18.86285;62.351894;85.268166;5.292001;19.2536;13.793372;95.07437;8.351313;11.806002;36.284885;32.829643;1.0157046;17.64313;31.326902;47.991158;18.721794;5.197391;82.61756;69.80819;3.2091396;8.863745;44.445522;57.0004;91.21304;40.0;44.6636575032666;91;0.1537041353167826;3;1350
0.7965905;0.21106154;0.44670412;0.55487096;18.077698;12.321434;93.56978;61.71343;18.943295;15.327673;78.298874;20.940948;18.830658;1.3952053;96.96697;29.806295;7.2475634;12.161836;92.05592;14.017077;2.96253;1.6345657;71.03042;79.002335;5.6324625;6.2055345;69.957794;89.936935;15.097677;6.0104737;71.47943;6.25966;16.53488;12.42391;8.378613;14.827095;10.278293;40.0;44.6636575032666;91;0.1537041353167826;3;1350
