[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year]
0.8168521;0.45923576;13.943405;13.262071;22.657429;45.89268;37.04067;69.82005;25.219374
0.8168521;0.45923576;13.943405;13.262071;22.657429;45.89268;13.584406;77.87606;25.219374
0.8168521;0.45923576;13.943405;13.262071;22.657429;45.89268;13.584406;69.82005;8.799763
0.8065369;0.5817951;17.724129;12.807006;13.774462;36.815845;37.04067;77.87606;8.799763
0.89272076;0.9992575;17.67351;15.334063;22.002424;37.19364;47.88899;14.2511;7.850645
0.102193624;0.9992575;17.67351;15.334063;22.002424;37.19364;47.88899;14.2511;7.850645
0.89272076;0.37661308;17.67351;15.334063;22.002424;37.19364;47.88899;14.2511;7.850645
0.89272076;0.9992575;19.305758;15.334063;22.002424;37.19364;47.88899;14.2511;7.850645
0.89272076;0.9992575;17.67351;10.831736;22.002424;37.19364;47.88899;14.2511;7.850645
0.89272076;0.9992575;17.67351;15.334063;16.865356;37.19364;47.88899;14.2511;7.850645
0.89272076;0.9992575;17.67351;15.334063;22.002424;31.732975;47.88899;14.2511;7.850645
0.89272076;0.9992575;17.67351;15.334063;22.002424;37.19364;30.617716;14.2511;7.850645
0.89272076;0.9992575;17.67351;15.334063;22.002424;37.19364;47.88899;95.35284;7.850645
0.89272076;0.9992575;17.67351;15.334063;22.002424;37.19364;47.88899;14.2511;12.254824
0.102193624;0.37661308;19.305758;10.831736;16.865356;31.732975;30.617716;95.35284;12.254824
0.4388603;0.39734685;5.2182484;4.081513;18.34317;20.206337;15.316901;61.66602;28.01161
0.7667126;0.39734685;5.2182484;4.081513;18.34317;20.206337;15.316901;61.66602;28.01161
0.4388603;0.67727655;5.2182484;4.081513;18.34317;20.206337;15.316901;61.66602;28.01161
0.4388603;0.39734685;8.627831;4.081513;18.34317;20.206337;15.316901;61.66602;28.01161
0.4388603;0.39734685;5.2182484;13.742245;18.34317;20.206337;15.316901;61.66602;28.01161
0.4388603;0.39734685;5.2182484;4.081513;27.543818;20.206337;15.316901;61.66602;28.01161
0.4388603;0.39734685;5.2182484;4.081513;18.34317;11.233138;15.316901;61.66602;28.01161
0.4388603;0.39734685;5.2182484;4.081513;18.34317;20.206337;23.796728;61.66602;28.01161
0.4388603;0.39734685;5.2182484;4.081513;18.34317;20.206337;15.316901;48.78301;28.01161
0.4388603;0.39734685;5.2182484;4.081513;18.34317;20.206337;15.316901;61.66602;29.428268
0.7667126;0.67727655;8.627831;13.742245;27.543818;11.233138;23.796728;48.78301;29.428268
0.28208405;0.5880016;12.090897;18.26783;14.20949;17.895758;38.16511;98.63358;21.982948
0.90561223;0.5880016;12.090897;18.26783;14.20949;17.895758;38.16511;98.63358;21.982948
0.28208405;0.8684991;12.090897;18.26783;14.20949;17.895758;38.16511;98.63358;21.982948
0.28208405;0.5880016;5.6656632;18.26783;14.20949;17.895758;38.16511;98.63358;21.982948
0.28208405;0.5880016;12.090897;5.318394;14.20949;17.895758;38.16511;98.63358;21.982948
0.28208405;0.5880016;12.090897;18.26783;11.908591;17.895758;38.16511;98.63358;21.982948
0.28208405;0.5880016;12.090897;18.26783;14.20949;29.98041;38.16511;98.63358;21.982948
0.28208405;0.5880016;12.090897;18.26783;14.20949;17.895758;44.49169;98.63358;21.982948
0.28208405;0.5880016;12.090897;18.26783;14.20949;17.895758;38.16511;31.413675;21.982948
0.28208405;0.5880016;12.090897;18.26783;14.20949;17.895758;38.16511;98.63358;5.383918
0.90561223;0.8684991;5.6656632;5.318394;11.908591;29.98041;44.49169;31.413675;5.383918
0.72871757;0.2180342;10.59897;7.573008;25.511106;44.65849;25.661537;44.799908;2.623812
0.40978524;0.2180342;10.59897;7.573008;25.511106;44.65849;25.661537;44.799908;2.623812
0.72871757;0.26882908;10.59897;7.573008;25.511106;44.65849;25.661537;44.799908;2.623812
0.72871757;0.2180342;11.400352;7.573008;25.511106;44.65849;25.661537;44.799908;2.623812
0.72871757;0.2180342;10.59897;19.22621;25.511106;44.65849;25.661537;44.799908;2.623812
0.72871757;0.2180342;10.59897;7.573008;23.67245;44.65849;25.661537;44.799908;2.623812
0.72871757;0.2180342;10.59897;7.573008;25.511106;47.996193;25.661537;44.799908;2.623812
0.72871757;0.2180342;10.59897;7.573008;25.511106;44.65849;11.098442;44.799908;2.623812
0.72871757;0.2180342;10.59897;7.573008;25.511106;44.65849;25.661537;66.40389;2.623812
0.72871757;0.2180342;10.59897;7.573008;25.511106;44.65849;25.661537;44.799908;22.322964
0.40978524;0.26882908;11.400352;19.22621;23.67245;47.996193;11.098442;66.40389;22.322964
0.6908818;0.8794039;13.23523;2.6862118;11.364804;49.807697;46.011303;17.63868;9.53544
0.87633395;0.8794039;13.23523;2.6862118;11.364804;49.807697;46.011303;17.63868;9.53544
0.6908818;0.2560743;13.23523;2.6862118;11.364804;49.807697;46.011303;17.63868;9.53544
0.6908818;0.8794039;14.930369;2.6862118;11.364804;49.807697;46.011303;17.63868;9.53544
0.6908818;0.8794039;13.23523;14.880144;11.364804;49.807697;46.011303;17.63868;9.53544
0.6908818;0.8794039;13.23523;2.6862118;10.440556;49.807697;46.011303;17.63868;9.53544
0.6908818;0.8794039;13.23523;2.6862118;11.364804;18.834734;46.011303;17.63868;9.53544
0.6908818;0.8794039;13.23523;2.6862118;11.364804;49.807697;34.529785;17.63868;9.53544
0.6908818;0.8794039;13.23523;2.6862118;11.364804;49.807697;46.011303;34.94031;9.53544
0.6908818;0.8794039;13.23523;2.6862118;11.364804;49.807697;46.011303;17.63868;9.732889
0.87633395;0.2560743;14.930369;14.880144;10.440556;18.834734;34.529785;34.94031;9.732889
0.24432725;0.51813585;9.557674;14.404561;27.662159;12.752044;18.43906;58.993298;29.609886
0.4442267;0.51813585;9.557674;14.404561;27.662159;12.752044;18.43906;58.993298;29.609886
0.24432725;0.79951817;9.557674;14.404561;27.662159;12.752044;18.43906;58.993298;29.609886
0.24432725;0.51813585;4.254521;14.404561;27.662159;12.752044;18.43906;58.993298;29.609886
0.24432725;0.51813585;9.557674;9.647303;27.662159;12.752044;18.43906;58.993298;29.609886
0.24432725;0.51813585;9.557674;14.404561;23.96864;12.752044;18.43906;58.993298;29.609886
0.24432725;0.51813585;9.557674;14.404561;27.662159;38.19932;18.43906;58.993298;29.609886
0.24432725;0.51813585;9.557674;14.404561;27.662159;12.752044;21.135881;58.993298;29.609886
0.24432725;0.51813585;9.557674;14.404561;27.662159;12.752044;18.43906;86.7836;29.609886
0.24432725;0.51813585;9.557674;14.404561;27.662159;12.752044;18.43906;58.993298;22.559412
0.4442267;0.79951817;4.254521;9.647303;23.96864;38.19932;21.135881;86.7836;22.559412
0.53116447;0.6931061;16.492556;9.0406065;24.782751;25.355555;35.04151;90.75071;19.712206
0.30186957;0.6931061;16.492556;9.0406065;24.782751;25.355555;35.04151;90.75071;19.712206
0.53116447;0.74801147;16.492556;9.0406065;24.782751;25.355555;35.04151;90.75071;19.712206
0.53116447;0.6931061;10.037046;9.0406065;24.782751;25.355555;35.04151;90.75071;19.712206
0.53116447;0.6931061;16.492556;18.205988;24.782751;25.355555;35.04151;90.75071;19.712206
0.53116447;0.6931061;16.492556;9.0406065;15.79526;25.355555;35.04151;90.75071;19.712206
0.53116447;0.6931061;16.492556;9.0406065;24.782751;41.915585;35.04151;90.75071;19.712206
0.53116447;0.6931061;16.492556;9.0406065;24.782751;25.355555;40.58023;90.75071;19.712206
0.53116447;0.6931061;16.492556;9.0406065;24.782751;25.355555;35.04151;58.09818;19.712206
0.53116447;0.6931061;16.492556;9.0406065;24.782751;25.355555;35.04151;90.75071;2.629211
0.30186957;0.74801147;10.037046;18.205988;15.79526;41.915585;40.58023;58.09818;2.629211
0.984994;0.11375217;6.226665;19.124903;16.119215;32.049915;27.538088;53.35391;0.67396736
0.56516856;0.11375217;6.226665;19.124903;16.119215;32.049915;27.538088;53.35391;0.67396736
0.984994;0.39112952;6.226665;19.124903;16.119215;32.049915;27.538088;53.35391;0.67396736
0.984994;0.11375217;15.778202;19.124903;16.119215;32.049915;27.538088;53.35391;0.67396736
0.984994;0.11375217;6.226665;6.350838;16.119215;32.049915;27.538088;53.35391;0.67396736
0.984994;0.11375217;6.226665;19.124903;29.785799;32.049915;27.538088;53.35391;0.67396736
0.984994;0.11375217;6.226665;19.124903;16.119215;20.108292;27.538088;53.35391;0.67396736
0.984994;0.11375217;6.226665;19.124903;16.119215;32.049915;13.758681;53.35391;0.67396736
0.984994;0.11375217;6.226665;19.124903;16.119215;32.049915;27.538088;17.131332;0.67396736
0.984994;0.11375217;6.226665;19.124903;16.119215;32.049915;27.538088;53.35391;15.690083
0.56516856;0.39112952;15.778202;6.350838;29.785799;20.108292;13.758681;17.131332;15.690083
0.8352181;0.64160144;7.7011595;17.121342;19.214218;41.036404;33.234573;87.82916;16.879229
0.3679465;0.64160144;7.7011595;17.121342;19.214218;41.036404;33.234573;87.82916;16.879229
0.8352181;0.6252839;7.7011595;17.121342;19.214218;41.036404;33.234573;87.82916;16.879229
0.8352181;0.64160144;18.449274;17.121342;19.214218;41.036404;33.234573;87.82916;16.879229
0.8352181;0.64160144;7.7011595;17.22783;19.214218;41.036404;33.234573;87.82916;16.879229
0.8352181;0.64160144;7.7011595;17.121342;22.105204;41.036404;33.234573;87.82916;16.879229
0.8352181;0.64160144;7.7011595;17.121342;19.214218;25.03492;33.234573;87.82916;16.879229
0.8352181;0.64160144;7.7011595;17.121342;19.214218;41.036404;18.587208;87.82916;16.879229
0.8352181;0.64160144;7.7011595;17.121342;19.214218;41.036404;33.234573;23.910397;16.879229
0.8352181;0.64160144;7.7011595;17.121342;19.214218;41.036404;33.234573;87.82916;19.500647
0.3679465;0.6252839;18.449274;17.22783;22.105204;25.03492;18.587208;23.910397;19.500647
0.38212666;0.27341896;14.950222;10.805527;20.515837;16.55889;20.748219;33.731773;7.2640395
0.9474373;0.27341896;14.950222;10.805527;20.515837;16.55889;20.748219;33.731773;7.2640395
0.38212666;0.54988533;14.950222;10.805527;20.515837;16.55889;20.748219;33.731773;7.2640395
0.38212666;0.27341896;7.228684;10.805527;20.515837;16.55889;20.748219;33.731773;7.2640395
0.38212666;0.27341896;14.950222;3.245256;20.515837;16.55889;20.748219;33.731773;7.2640395
0.38212666;0.27341896;14.950222;10.805527;13.563737;16.55889;20.748219;33.731773;7.2640395
0.38212666;0.27341896;14.950222;10.805527;20.515837;46.998386;20.748219;33.731773;7.2640395
0.38212666;0.27341896;14.950222;10.805527;20.515837;16.55889;47.078762;33.731773;7.2640395
0.38212666;0.27341896;14.950222;10.805527;20.515837;16.55889;20.748219;75.75572;7.2640395
0.38212666;0.27341896;14.950222;10.805527;20.515837;16.55889;20.748219;33.731773;6.3188925
0.9474373;0.54988533;7.228684;3.245256;13.563737;46.998386;47.078762;75.75572;6.3188925
0.11260922;0.9403568;4.5292993;11.862282;27.007154;24.082293;42.900047;25.968588;12.34988
0.69609225;0.9403568;4.5292993;11.862282;27.007154;24.082293;42.900047;25.968588;12.34988
0.11260922;0.104782365;4.5292993;11.862282;27.007154;24.082293;42.900047;25.968588;12.34988
0.11260922;0.9403568;5.9712625;11.862282;27.007154;24.082293;42.900047;25.968588;12.34988
0.11260922;0.9403568;4.5292993;11.773761;27.007154;24.082293;42.900047;25.968588;12.34988
0.11260922;0.9403568;4.5292993;11.862282;26.678507;24.082293;42.900047;25.968588;12.34988
0.11260922;0.9403568;4.5292993;11.862282;27.007154;33.272476;42.900047;25.968588;12.34988
0.11260922;0.9403568;4.5292993;11.862282;27.007154;24.082293;26.522503;25.968588;12.34988
0.11260922;0.9403568;4.5292993;11.862282;27.007154;24.082293;42.900047;92.15817;12.34988
0.11260922;0.9403568;4.5292993;11.862282;27.007154;24.082293;42.900047;25.968588;26.60409
0.69609225;0.104782365;5.9712625;11.773761;26.678507;33.272476;26.522503;92.15817;26.60409
0.5589131;0.34023175;18.332518;4.988749;13.347902;38.354763;10.462063;73.11987;23.037893
0.1728003;0.34023175;18.332518;4.988749;13.347902;38.354763;10.462063;73.11987;23.037893
0.5589131;0.9288306;18.332518;4.988749;13.347902;38.354763;10.462063;73.11987;23.037893
0.5589131;0.34023175;13.350909;4.988749;13.347902;38.354763;10.462063;73.11987;23.037893
0.5589131;0.34023175;18.332518;8.6688795;13.347902;38.354763;10.462063;73.11987;23.037893
0.5589131;0.34023175;18.332518;4.988749;17.6623;38.354763;10.462063;73.11987;23.037893
0.5589131;0.34023175;18.332518;4.988749;13.347902;13.75156;10.462063;73.11987;23.037893
0.5589131;0.34023175;18.332518;4.988749;13.347902;38.354763;37.81671;73.11987;23.037893
0.5589131;0.34023175;18.332518;4.988749;13.347902;38.354763;10.462063;51.18933;23.037893
0.5589131;0.34023175;18.332518;4.988749;13.347902;38.354763;10.462063;73.11987;13.187999
0.1728003;0.9288306;13.350909;8.6688795;17.6623;13.75156;37.81671;51.18933;13.187999
0.5857941;0.9059721;9.769531;18.478903;23.69328;15.398656;24.519722;23.690893;28.761766
0.7445958;0.9059721;9.769531;18.478903;23.69328;15.398656;24.519722;23.690893;28.761766
0.5857941;0.9041989;9.769531;18.478903;23.69328;15.398656;24.519722;23.690893;28.761766
0.5857941;0.9059721;19.509865;18.478903;23.69328;15.398656;24.519722;23.690893;28.761766
0.5857941;0.9059721;9.769531;19.845833;23.69328;15.398656;24.519722;23.690893;28.761766
0.5857941;0.9059721;9.769531;18.478903;17.031956;15.398656;24.519722;23.690893;28.761766
0.5857941;0.9059721;9.769531;18.478903;23.69328;39.496807;24.519722;23.690893;28.761766
0.5857941;0.9059721;9.769531;18.478903;23.69328;15.398656;15.414157;23.690893;28.761766
0.5857941;0.9059721;9.769531;18.478903;23.69328;15.398656;24.519722;39.81732;28.761766
0.5857941;0.9059721;9.769531;18.478903;23.69328;15.398656;24.519722;23.690893;2.9845536
0.7445958;0.9041989;19.509865;19.845833;17.031956;39.496807;15.414157;39.81732;2.9845536
0.13934946;0.3746147;12.370222;7.2262187;17.201328;42.16139;31.96745;74.710686;10.383332
0.13649112;0.3746147;12.370222;7.2262187;17.201328;42.16139;31.96745;74.710686;10.383332
0.13934946;0.14969075;12.370222;7.2262187;17.201328;42.16139;31.96745;74.710686;10.383332
0.13934946;0.3746147;8.287133;7.2262187;17.201328;42.16139;31.96745;74.710686;10.383332
0.13934946;0.3746147;12.370222;4.69877;17.201328;42.16139;31.96745;74.710686;10.383332
0.13934946;0.3746147;12.370222;7.2262187;28.549114;42.16139;31.96745;74.710686;10.383332
0.13934946;0.3746147;12.370222;7.2262187;17.201328;17.532045;31.96745;74.710686;10.383332
0.13934946;0.3746147;12.370222;7.2262187;17.201328;42.16139;48.924606;74.710686;10.383332
0.13934946;0.3746147;12.370222;7.2262187;17.201328;42.16139;31.96745;80.412285;10.383332
0.13934946;0.3746147;12.370222;7.2262187;17.201328;42.16139;31.96745;74.710686;16.287117
0.13649112;0.14969075;8.287133;4.69877;28.549114;17.532045;48.924606;80.412285;16.287117
0.41147184;0.6072357;6.59667;14.849754;10.236223;39.696846;14.19065;85.58032;1.4083325
0.39140296;0.6072357;6.59667;14.849754;10.236223;39.696846;14.19065;85.58032;1.4083325
0.41147184;0.495642;6.59667;14.849754;10.236223;39.696846;14.19065;85.58032;1.4083325
0.41147184;0.6072357;4.9105372;14.849754;10.236223;39.696846;14.19065;85.58032;1.4083325
0.41147184;0.6072357;6.59667;14.353325;10.236223;39.696846;14.19065;85.58032;1.4083325
0.41147184;0.6072357;6.59667;14.849754;11.683421;39.696846;14.19065;85.58032;1.4083325
0.41147184;0.6072357;6.59667;14.849754;10.236223;21.25929;14.19065;85.58032;1.4083325
0.41147184;0.6072357;6.59667;14.849754;10.236223;39.696846;29.676329;85.58032;1.4083325
0.41147184;0.6072357;6.59667;14.849754;10.236223;39.696846;14.19065;64.471176;1.4083325
0.41147184;0.6072357;6.59667;14.849754;10.236223;39.696846;14.19065;85.58032;10.791121
0.39140296;0.495642;4.9105372;14.353325;11.683421;21.25929;29.676329;64.471176;10.791121
0.86475205;0.30777952;15.751384;4.1545296;28.78338;22.709543;41.667217;35.348785;18.977612
0.9432064;0.30777952;15.751384;4.1545296;28.78338;22.709543;41.667217;35.348785;18.977612
0.86475205;0.6416862;15.751384;4.1545296;28.78338;22.709543;41.667217;35.348785;18.977612
0.86475205;0.30777952;12.292326;4.1545296;28.78338;22.709543;41.667217;35.348785;18.977612
0.86475205;0.30777952;15.751384;10.220657;28.78338;22.709543;41.667217;35.348785;18.977612
0.86475205;0.30777952;15.751384;4.1545296;22.725763;22.709543;41.667217;35.348785;18.977612
0.86475205;0.30777952;15.751384;4.1545296;28.78338;40.778908;41.667217;35.348785;18.977612
0.86475205;0.30777952;15.751384;4.1545296;28.78338;22.709543;35.989487;35.348785;18.977612
0.86475205;0.30777952;15.751384;4.1545296;28.78338;22.709543;41.667217;12.252657;18.977612
0.86475205;0.30777952;15.751384;4.1545296;28.78338;22.709543;41.667217;35.348785;24.3281
0.9432064;0.6416862;12.292326;10.220657;22.725763;40.778908;35.989487;12.252657;24.3281
0.9546841;0.6730106;15.302601;6.799544;25.92261;14.206427;17.210962;93.7299;6.119514
0.23974125;0.6730106;15.302601;6.799544;25.92261;14.206427;17.210962;93.7299;6.119514
0.9546841;0.4293841;15.302601;6.799544;25.92261;14.206427;17.210962;93.7299;6.119514
0.9546841;0.6730106;13.732966;6.799544;25.92261;14.206427;17.210962;93.7299;6.119514
0.9546841;0.6730106;15.302601;13.426364;25.92261;14.206427;17.210962;93.7299;6.119514
0.9546841;0.6730106;15.302601;6.799544;25.416115;14.206427;17.210962;93.7299;6.119514
0.9546841;0.6730106;15.302601;6.799544;25.92261;45.696075;17.210962;93.7299;6.119514
0.9546841;0.6730106;15.302601;6.799544;25.92261;14.206427;31.356401;93.7299;6.119514
0.9546841;0.6730106;15.302601;6.799544;25.92261;14.206427;17.210962;28.87662;6.119514
0.9546841;0.6730106;15.302601;6.799544;25.92261;14.206427;17.210962;93.7299;27.66988
0.23974125;0.4293841;13.732966;13.426364;25.416115;45.696075;31.356401;28.87662;27.66988
0.5008236;0.13384594;6.9765406;12.512975;14.425155;48.391;49.743702;49.65484;18.023983
0.6432275;0.13384594;6.9765406;12.512975;14.425155;48.391;49.743702;49.65484;18.023983
0.5008236;0.7439724;6.9765406;12.512975;14.425155;48.391;49.743702;49.65484;18.023983
0.5008236;0.13384594;3.0592442;12.512975;14.425155;48.391;49.743702;49.65484;18.023983
0.5008236;0.13384594;6.9765406;7.0295672;14.425155;48.391;49.743702;49.65484;18.023983
0.5008236;0.13384594;6.9765406;12.512975;18.924702;48.391;49.743702;49.65484;18.023983
0.5008236;0.13384594;6.9765406;12.512975;14.425155;26.332632;49.743702;49.65484;18.023983
0.5008236;0.13384594;6.9765406;12.512975;14.425155;48.391;22.982666;49.65484;18.023983
0.5008236;0.13384594;6.9765406;12.512975;14.425155;48.391;49.743702;69.47096;18.023983
0.5008236;0.13384594;6.9765406;12.512975;14.425155;48.391;49.743702;49.65484;14.949585
0.6432275;0.7439724;3.0592442;7.0295672;18.924702;26.332632;22.982666;69.47096;14.949585
0.21836293;0.8593134;18.560928;9.332256;18.090544;31.00199;26.266235;20.591927;24.061798
0.78212726;0.8593134;18.560928;9.332256;18.090544;31.00199;26.266235;20.591927;24.061798
0.21836293;0.8084976;18.560928;9.332256;18.090544;31.00199;26.266235;20.591927;24.061798
0.21836293;0.8593134;11.234315;9.332256;18.090544;31.00199;26.266235;20.591927;24.061798
0.21836293;0.8593134;18.560928;16.653942;18.090544;31.00199;26.266235;20.591927;24.061798
0.21836293;0.8593134;18.560928;9.332256;20.848982;31.00199;26.266235;20.591927;24.061798
0.21836293;0.8593134;18.560928;9.332256;18.090544;12.615268;26.266235;20.591927;24.061798
0.21836293;0.8593134;18.560928;9.332256;18.090544;31.00199;43.73378;20.591927;24.061798
0.21836293;0.8593134;18.560928;9.332256;18.090544;31.00199;26.266235;98.44194;24.061798
0.21836293;0.8593134;18.560928;9.332256;18.090544;31.00199;26.266235;20.591927;19.863077
0.78212726;0.8084976;11.234315;16.653942;20.848982;12.615268;43.73378;98.44194;19.863077
0.66499645;0.5382211;3.6466656;16.679998;21.63222;26.436596;38.809196;55.265453;11.326205
0.54733276;0.5382211;3.6466656;16.679998;21.63222;26.436596;38.809196;55.265453;11.326205
0.66499645;0.22341247;3.6466656;16.679998;21.63222;26.436596;38.809196;55.265453;11.326205
0.66499645;0.5382211;16.973345;16.679998;21.63222;26.436596;38.809196;55.265453;11.326205
0.66499645;0.5382211;3.6466656;3.771542;21.63222;26.436596;38.809196;55.265453;11.326205
0.66499645;0.5382211;3.6466656;16.679998;14.819948;26.436596;38.809196;55.265453;11.326205
0.66499645;0.5382211;3.6466656;16.679998;21.63222;34.423702;38.809196;55.265453;11.326205
0.66499645;0.5382211;3.6466656;16.679998;21.63222;26.436596;11.932343;55.265453;11.326205
0.66499645;0.5382211;3.6466656;16.679998;21.63222;26.436596;38.809196;46.224087;11.326205
0.66499645;0.5382211;3.6466656;16.679998;21.63222;26.436596;38.809196;55.265453;6.9083815
0.54733276;0.22341247;16.973345;3.771542;14.819948;34.423702;11.932343;46.224087;6.9083815
0.75548095;0.5518505;19.706633;11.788934;15.24126;21.585192;19.084347;97.02219;4.6416306
0.9857581;0.5518505;19.706633;11.788934;15.24126;21.585192;19.084347;97.02219;4.6416306
0.75548095;0.32318217;19.706633;11.788934;15.24126;21.585192;19.084347;97.02219;4.6416306
0.75548095;0.5518505;18.110716;11.788934;15.24126;21.585192;19.084347;97.02219;4.6416306
0.75548095;0.5518505;19.706633;8.185975;15.24126;21.585192;19.084347;97.02219;4.6416306
0.75548095;0.5518505;19.706633;11.788934;21.801907;21.585192;19.084347;97.02219;4.6416306
0.75548095;0.5518505;19.706633;11.788934;15.24126;23.736519;19.084347;97.02219;4.6416306
0.75548095;0.5518505;19.706633;11.788934;15.24126;21.585192;33.6962;97.02219;4.6416306
0.75548095;0.5518505;19.706633;11.788934;15.24126;21.585192;19.084347;55.540348;4.6416306
0.75548095;0.5518505;19.706633;11.788934;15.24126;21.585192;19.084347;97.02219;25.255291
0.9857581;0.32318217;18.110716;8.185975;21.801907;23.736519;33.6962;55.540348;25.255291
0.3089264;0.25418013;2.603002;5.4732547;23.788418;35.857666;46.61724;47.05428;16.222454
0.34886494;0.25418013;2.603002;5.4732547;23.788418;35.857666;46.61724;47.05428;16.222454
0.3089264;0.851987;2.603002;5.4732547;23.788418;35.857666;46.61724;47.05428;16.222454
0.3089264;0.25418013;7.43066;5.4732547;23.788418;35.857666;46.61724;47.05428;16.222454
0.3089264;0.25418013;2.603002;12.256667;23.788418;35.857666;46.61724;47.05428;16.222454
0.3089264;0.25418013;2.603002;5.4732547;12.538928;35.857666;46.61724;47.05428;16.222454
0.3089264;0.25418013;2.603002;5.4732547;23.788418;44.23521;46.61724;47.05428;16.222454
0.3089264;0.25418013;2.603002;5.4732547;23.788418;35.857666;21.894087;47.05428;16.222454
0.3089264;0.25418013;2.603002;5.4732547;23.788418;35.857666;46.61724;20.21951;16.222454
0.3089264;0.25418013;2.603002;5.4732547;23.788418;35.857666;46.61724;47.05428;7.97567
0.34886494;0.851987;7.43066;12.256667;12.538928;44.23521;21.894087;20.21951;7.97567
0.46832305;0.9630877;14.1251545;17.467793;28.698313;43.539608;29.394003;12.654665;26.12563
0.20650774;0.9630877;14.1251545;17.467793;28.698313;43.539608;29.394003;12.654665;26.12563
0.46832305;0.7022378;14.1251545;17.467793;28.698313;43.539608;29.394003;12.654665;26.12563
0.46832305;0.9630877;6.861105;17.467793;28.698313;43.539608;29.394003;12.654665;26.12563
