YYYY	MM	DD	PET
2011	6	14	3.7
2011	6	15	3.7
2011	6	16	3.2
2011	6	17	3.1
2011	6	18	3.9
2011	6	19	3.6
2011	6	20	1.8
2011	6	21	3.7
2011	6	22	2.9
2011	6	23	2.6
2011	6	24	3.6
2011	6	25	3.6
2011	6	26	4.9
2011	6	27	5.8
2011	6	28	6.1
2011	6	29	3.2
2011	6	30	4.4
2011	7	1	3.9
2011	7	2	4.7
2011	7	3	5.2
2011	7	4	5.5
2011	7	5	6.8
2011	7	6	5.9
2011	7	7	4.1
2011	7	8	5.3
2011	7	9	5.3
2011	7	10	3.4
2011	7	11	4.9
2011	7	12	5.0
2011	7	13	2.6
2011	7	14	2.3
2011	7	15	3.4
2011	7	16	4.7
2011	7	17	2.3
2011	7	18	2.6
2011	7	19	2.2
2011	7	20	1.7
2011	7	21	2.0
2011	7	22	2.9
2011	7	23	2.5
2011	7	24	1.7
2011	7	25	2.7
2011	7	26	2.2
2011	7	27	2.0
2011	7	28	2.7
2011	7	29	3.3
2011	7	30	2.5
2011	7	31	2.6
2011	8	1	4.2
2011	8	2	4.3
2011	8	3	2.6
2011	8	4	3.7
2011	8	5	2.6
2011	8	6	2.3
2011	8	7	1.4
2011	8	8	3.9
2011	8	9	2.2
2011	8	10	3.2
2011	8	11	3.6
2011	8	12	2.8
2011	8	13	2.6
2011	8	14	3.2
2011	8	15	2.2
2011	8	16	2.8
2011	8	17	3.6
2011	8	18	3.6
2011	8	19	3.2
2011	8	20	3.3
2011	8	21	3.4
2011	8	22	3.8
2011	8	23	4.1
2011	8	24	3.3
2011	8	25	2.9
2011	8	26	3.4
2011	8	27	1.5
2011	8	28	3.1
2011	8	29	2.2
2011	8	30	2.6
2011	8	31	2.6
2011	9	1	2.2
2011	9	2	2.2
2011	9	3	2.6
2011	9	4	1.0
2011	9	5	2.8
2011	9	6	2.7
2011	9	7	2.9
2011	9	8	2.1
2011	9	9	2.0
2011	9	10	3.1
2011	9	11	2.6
2011	9	12	2.8
2011	9	13	2.2
2011	9	14	2.3
2011	9	15	2.1
2011	9	16	2.1
2011	9	17	1.6
2011	9	18	1.1
2011	9	19	0.9
2011	9	20	1.7
2011	9	21	2.0
2011	9	22	1.7
2011	9	23	1.8
2011	9	24	1.8
2011	9	25	2.1
2011	9	26	2.1
2011	9	27	1.6
2011	9	28	2.3
2011	9	29	1.8
2011	9	30	1.8
