-;-;-;-;kg N/ha/a;kg N/ha/a;-;-;kg N/ha/a;kg N/ha/a;-;-;-;-;-;-;-;-
0.86580783;0.46571156;7.878601;2.78901;48.87026;53.85724;1.3445505;2.8647673;67.064224;19.45197;16.41671;70.26253;0.33425453;1.4624412;1.9476527;2.0078497;1.0299859;2.3473651
0.8438115;0.5770259;12.519817;19.600552;11.6057625;46.867527;15.502275;10.613602;88.78697;63.20367;53.672558;57.038868;0.11690557;0.105053455;1.1979421;1.2962981;1.5470092;3.6940951
0.5099827;0.7090485;16.918987;3.427875;83.94044;15.829964;3.5182297;3.9191854;16.608501;42.63297;70.260506;79.45806;0.35580203;0.42147198;1.1692216;0.84637165;1.7028625;2.029348
0.43066248;0.5426444;3.7280736;19.376661;27.738356;58.485073;10.077747;2.9423645;71.94504;4.075381;30.344118;58.470577;0.23764405;1.4806194;1.3521714;2.5295115;1.1199567;0.75846887
0.7459964;0.96970814;3.6809423;3.1415312;52.778107;57.874546;16.826916;9.38782;15.148014;26.435112;98.439674;15.182587;0.30131623;1.7601852;1.1824741;2.8397763;1.6441444;4.296781
0.311802;0.7643537;12.939184;17.382376;62.213467;60.937653;18.574905;6.881102;1.6590823;19.146866;47.213425;15.079117;0.46679345;0.97645617;1.8949186;1.6296852;1.2147671;1.2993726
0.35992655;0.201019;6.5621862;11.9179735;31.266836;41.941994;5.674163;16.595015;1.7846116;82.45732;59.96273;9.50555;0.39742357;1.6093307;1.9745965;2.42191;1.1288848;2.6362207
0.20588982;0.21862358;13.24554;16.802788;35.780155;29.714825;16.925144;10.271311;89.71061;50.25471;54.062016;20.517956;0.2439378;1.2354476;1.4491488;0.3244066;1.6933329;0.760079
0.8295395;0.7522402;16.591082;13.046645;51.54109;33.504517;15.746057;15.08027;84.78663;18.826221;77.33209;5.129845;0.46061838;0.5700385;1.3505629;2.0944357;1.0997162;0.8348662
0.73188066;0.5301161;2.4605398;15.607906;80.73804;83.60136;18.547754;13.565302;33.27331;57.325382;93.627075;43.73407;0.29289955;0.6035873;1.0107439;1.4300721;1.0831861;4.860502
0.7641323;0.8715768;17.04539;14.885421;45.816494;62.884583;16.4879;19.074778;65.2551;44.186195;84.887825;20.741877;0.25228456;0.6453733;1.2717025;2.235596;1.7084342;1.9725813
0.82458323;0.3384123;1.7141218;5.9435525;49.598698;40.40434;2.7004082;5.9404078;15.847388;43.324905;51.969208;62.351894;0.47606;1.7172679;1.2258948;0.47475535;1.9607158;4.7562065
0.5671326;0.21106154;18.077698;18.765917;59.990627;61.71343;18.943295;15.835136;75.65472;20.940948;93.90711;96.96697;0.10832011;0.65284806;1.3288192;2.7672946;1.587465;0.7442796
0.65499294;0.51046586;19.536745;13.229276;43.095932;35.61178;1.4693991;4.564846;99.84093;64.275185;42.456047;28.991816;0.3199095;1.6626922;1.3146373;2.6520832;1.2157284;2.325454
0.31183758;0.78885126;13.681649;4.839598;72.88176;86.402145;7.5275655;17.383371;94.52219;82.20936;8.305718;8.775966;0.474506;1.0316038;1.9182456;1.1964297;1.9987303;1.2449417
0.29162407;0.9773822;19.700851;6.8147984;1.4858531;73.03557;8.395469;17.59675;63.7593;49.02033;14.133119;60.51231;0.47394115;1.0859137;1.4181695;0.43613285;1.9401063;1.8477764
0.7347224;0.9069231;16.617846;11.127969;48.818954;10.993917;10.220033;16.531168;45.2515;15.728946;95.25973;31.275074;0.16236722;1.1068377;1.8622198;1.0316727;1.8492507;2.7884665
0.57687694;0.5872597;1.8429445;17.754707;92.3786;6.560831;5.4693546;7.099383;37.274937;26.900763;94.06509;35.843346;0.42763567;0.34323075;1.7742805;2.4072063;1.2273445;4.0224686
0.6521889;0.8502538;1.072408;16.13831;61.974472;4.3083234;3.352151;3.78765;28.387453;32.079338;91.458084;99.106926;0.24950613;0.11668232;1.7502507;0.32037243;1.1533673;1.6513724
0.8119991;0.25626436;1.3951713;6.738912;49.153576;3.7258103;16.903902;17.021706;9.473985;88.43138;75.39696;35.67973;0.4080845;1.5808263;1.4874331;1.50311;1.8800908;3.150691
0.70777464;0.6578179;9.586232;14.08124;77.43046;50.194088;13.1945715;12.201996;21.745779;62.760117;68.248886;33.674965;0.10190473;1.5053377;1.0015726;0.28701684;1.0449295;1.3483298
0.6428635;0.9394387;12.84427;1.0314797;39.907074;18.903341;10.022969;9.512191;56.305927;92.73422;83.92435;21.317474;0.109954976;1.9598367;1.1166493;2.417154;1.5663867;3.0947
0.64736575;0.51710814;10.1479645;7.32018;47.257317;67.778755;15.717464;8.839669;27.909681;32.87258;45.084667;76.24149;0.18337268;1.0095268;1.3754762;0.23468487;1.0655879;2.2822797
0.4431601;0.9680805;13.865477;16.952309;20.320812;48.79347;18.387985;2.9253314;72.82657;87.41894;55.18687;60.12022;0.33046323;0.44189373;1.9986737;2.0180795;1.1581739;0.14894618
0.22465427;0.37654808;9.54245;3.8728228;13.296211;10.254212;5.254605;13.292159;77.01096;79.3752;89.933685;12.084183;0.47628272;0.92418385;1.0232263;1.0365255;1.374081;0.523068
0.5493739;0.28450704;1.8087122;7.71451;3.5267496;1.5773522;7.135298;10.895312;48.187172;94.94097;6.6210594;79.657074;0.42545065;0.14526603;1.5461463;2.7796164;1.4757532;1.902667
0.37166774;0.61980987;5.2971673;1.0198231;73.41938;4.63575;18.75212;19.264294;90.649796;24.936018;56.76217;84.42156;0.17081068;0.6397131;1.3568274;0.92828053;1.6693276;4.1086297
0.5268229;0.9257975;19.859861;1.4395218;47.350822;53.80034;11.336823;13.826217;81.71266;94.77018;38.738583;50.035736;0.17423359;0.43822563;1.6740612;1.6203411;1.9990355;3.9312346
0.88272244;0.44902337;7.571413;3.774361;93.99597;59.073826;6.343546;19.346996;8.699079;66.28499;56.001038;15.481348;0.45504013;0.12365437;1.9673598;1.8169695;1.8082914;4.0602703
0.3871516;0.84012824;7.170549;2.935398;18.50479;35.948425;4.006219;3.6569767;80.44676;73.7175;95.76954;66.15151;0.3966879;1.3208433;1.6614385;2.500809;1.71038;4.524063
0.24664219;0.33535782;3.903049;10.304857;25.15436;8.811149;19.785496;13.967389;83.14858;19.402588;78.78163;74.967575;0.33130854;1.7202361;1.1391412;2.4689462;1.105291;1.2001911
0.42510712;0.79645634;19.755732;18.100082;64.23387;93.534195;11.165454;16.471405;35.31366;22.389273;48.178986;92.51888;0.11942649;1.229067;1.1970699;1.1716272;1.9352041;0.5901763
0.434875;0.64562154;5.378727;2.6081924;6.405171;41.16565;17.382895;12.611807;49.805984;99.43786;68.40052;41.231415;0.15896805;1.2548736;1.7390809;0.21330285;1.3196721;2.989335
0.7295332;0.3400136;13.289704;17.526901;50.837914;43.501553;13.083936;12.682186;7.941267;78.614586;56.728188;38.55186;0.32821277;1.4192002;1.4600788;2.2741086;1.2810496;3.6427824
0.6456257;0.7744698;1.7989017;13.694999;13.2345705;38.76431;9.429617;3.959424;27.326056;89.015495;20.520931;48.85462;0.4380328;1.7563932;1.6200619;2.4420528;1.5489807;3.641578
0.8271186;0.7710049;2.2629743;4.2090025;16.978348;6.8872695;17.307665;7.1031;95.194885;26.957273;46.149174;61.3377;0.35909247;1.4657174;1.1807636;2.0707302;1.1707387;4.229773
0.73145086;0.6123482;14.618282;6.5049934;51.697887;71.3343;7.7736564;13.018465;93.371704;50.011135;11.978372;49.218624;0.2978402;0.7982405;1.177977;1.1049808;1.3213319;2.4390552
0.52510947;0.3803741;13.068195;4.689486;57.33801;66.81621;15.60097;9.9871645;68.60861;53.427853;46.17794;71.52547;0.46734244;1.6602889;1.966977;2.6095977;1.0610777;4.4511304
0.8512163;0.30583513;13.923085;15.996671;21.99144;17.281986;9.614904;17.397655;2.8124452;27.372765;44.500874;58.42122;0.12003139;1.1636299;1.246372;2.9984741;1.8488466;3.0197146
0.33357835;0.96580404;5.3884377;14.776907;27.852623;27.58965;18.050407;15.768505;3.3687057;15.307501;70.13422;94.15773;0.15688482;1.7704352;1.32726;1.1424369;1.5984366;4.5185413
0.21816966;0.72465;19.71289;6.7837777;29.126652;55.14506;10.561141;11.163828;59.910347;19.408287;27.673338;15.085123;0.19305813;1.4049371;1.3290237;2.117096;1.3641232;3.8352478
0.27203828;0.8473932;11.609128;2.0323522;15.039173;38.29986;7.1905227;12.62569;23.794964;32.561443;39.908535;40.36115;0.10366751;1.0894792;1.272324;2.0954676;1.7561991;4.015067
0.77788746;0.7575764;19.421415;4.206074;96.60636;99.79499;14.789142;13.47092;65.51829;42.77778;41.74703;1.6164497;0.27787644;1.322931;1.937418;0.80274016;1.8655702;1.9546376
0.56950176;0.8635789;4.1192403;12.96765;69.527794;50.151287;17.342543;13.449113;10.4926815;2.853387;17.998688;82.14954;0.25638038;1.4550909;1.0479044;1.1631483;1.3884015;3.7838066
0.32901743;0.32999265;8.696891;2.7170832;11.973341;88.340706;17.169348;14.2254925;98.7589;48.231117;73.51925;73.09958;0.15551175;0.36955678;1.2565756;2.4967053;1.2575637;2.6905637
0.6008358;0.59756017;7.378025;11.192844;36.358856;21.256664;10.089698;10.446376;12.354381;53.351086;67.25883;89.283875;0.12294931;1.4940062;1.0567896;2.115355;1.5814321;0.8004301
0.32184967;0.7336998;15.346423;12.645651;18.087677;56.06588;9.363249;3.3524039;34.33395;48.044903;40.676495;72.254555;0.1323363;0.8669305;1.6033751;2.6591787;1.7627673;3.240841
0.7570563;0.28271192;15.203857;14.067319;24.204227;32.857746;3.8365722;19.147724;10.670924;59.655605;16.681778;55.944603;0.28138897;1.5604155;1.0916744;2.9462426;1.7628707;4.588193
0.556925;0.31996557;10.244332;3.3817592;94.0083;93.51566;1.7456234;1.3126554;39.020954;9.872164;78.94981;75.65717;0.3880601;1.4928782;1.2918525;1.3123919;1.4848424;2.5446131
0.504817;0.7071861;1.306812;9.734412;14.538543;55.56687;18.69889;1.3150563;34.306355;88.26343;69.60032;39.28422;0.15702549;0.12336644;1.9512992;2.1679125;1.8530039;3.9340322
0.44120967;0.89496464;4.3289084;9.804536;88.101364;65.740654;14.779367;18.829758;64.92439;24.139664;66.754845;33.070755;0.3964237;1.1503079;1.1386015;2.7122266;1.0144006;0.99223673
0.7042261;0.72833294;1.9550477;16.870369;84.34167;8.526058;11.958852;10.393274;86.06738;44.323776;94.61085;94.61321;0.16749378;0.7881687;1.5528271;2.6407392;1.1909133;4.6316257
0.4894501;0.22896385;17.093277;9.905623;74.62315;49.28103;12.084736;16.533524;81.211494;85.78423;80.55272;23.230734;0.33029506;0.16677012;1.1689051;1.556994;1.9708408;2.644259
0.27011994;0.9763463;6.5056596;8.729119;50.17548;58.367832;1.4435899;8.328579;73.555214;71.85101;89.973885;16.860588;0.22783451;0.5767293;1.0854739;1.1801604;1.5385813;3.3868246
0.29440472;0.3116055;3.24053;3.3457484;26.578398;29.749887;9.621279;9.187919;99.78407;72.485756;76.28736;44.083282;0.1460193;1.9444245;1.1085722;2.747426;1.2159702;1.9484171
0.9695181;0.38604978;7.7292747;14.194822;83.267006;73.8409;18.505169;14.402135;5.3167295;80.25284;74.80306;7.759091;0.39854187;1.1425836;1.909055;2.8036299;1.7746791;3.7886257
0.92686456;0.97997385;2.468497;12.776;83.573425;47.19142;9.7787075;10.668186;79.16537;96.733025;76.08187;43.790817;0.29837862;1.3475881;1.270235;2.7168777;1.518388;2.7665033
0.7597657;0.8168264;19.598286;14.622047;53.006283;56.56973;12.035443;18.111732;13.900664;5.0712023;94.594536;76.50645;0.29280946;0.2111308;1.7165426;1.8676739;1.0316484;2.298807
0.41269597;0.94926137;6.9851503;13.469382;5.713725;36.7321;8.164923;14.138364;61.202652;99.74182;52.97358;34.99425;0.28829354;1.7528641;1.3537539;1.4139452;1.1718025;0.50173396
0.9753411;0.8452957;18.728268;17.630392;20.103157;67.97402;2.9956548;11.018091;81.30522;93.55612;41.639244;32.0124;0.19594528;0.4095231;1.15749;2.245107;1.2491719;4.0644298
0.8230007;0.72138757;13.971845;17.669577;6.5522623;11.213978;7.1478066;16.764965;66.477844;15.036926;96.15828;38.379204;0.25025496;0.5120641;1.21354;1.6135615;1.4662205;0.32944772
0.7735121;0.4276424;11.756033;6.845982;18.803965;51.116516;2.6166933;11.353072;12.34092;30.185144;96.92254;55.707817;0.335555;0.6672078;1.7125132;1.2078718;1.7946568;3.2689097
0.5594892;0.46150514;10.034443;4.465829;51.333706;89.6684;11.993011;6.692803;19.201633;66.240654;87.36965;96.892075;0.10469243;1.5511712;1.3041342;1.544315;1.4189451;4.799663
0.41779324;0.95781684;14.060222;18.603073;85.56317;24.283203;19.653328;3.2872672;88.8133;88.166885;57.89266;23.224045;0.4970415;1.1281829;1.282937;1.8084699;1.3898046;2.5825145
0.27711278;0.8885005;14.039231;14.547758;65.67045;86.97636;7.8912754;7.660461;91.158325;54.67773;63.04625;63.100346;0.1351203;0.42869174;1.8272976;1.0977175;1.9061792;0.71506476
0.9220819;0.48759237;1.1999002;19.44857;60.489395;88.62011;17.310349;13.056678;74.89895;51.785896;45.425064;63.339233;0.4755454;1.6684618;1.2028799;0.22001359;1.4121418;0.86513317
0.56462103;0.49861392;18.24789;10.442159;75.0474;23.812746;1.8128365;19.65206;30.064379;12.8470745;21.845852;64.64435;0.49209592;1.2085449;1.364751;2.3096342;1.6532378;2.8990111
0.3618907;0.4381555;7.991305;19.282623;64.351234;8.991735;10.595352;15.165252;25.795984;72.66371;11.008702;82.18929;0.48877132;0.15651277;1.8761976;1.6797199;1.8535327;1.2600275
0.4447653;0.46090412;7.712189;3.3316572;44.8993;76.67742;13.4348955;12.760344;8.136177;50.433678;2.2230794;31.332542;0.46324885;0.41234908;1.4243588;0.24545734;1.6533978;1.1906493
0.6633757;0.88853395;8.725221;12.216927;81.72098;95.89962;7.0653133;4.845353;47.319904;11.327645;22.081303;15.155452;0.35110107;1.7350051;1.1610612;1.5850089;1.8641376;4.8998966
0.34141824;0.20840548;14.020373;10.437971;31.708263;26.315948;2.8685968;14.432997;40.067078;91.31951;54.3028;47.332016;0.21426569;1.8146646;1.8587183;1.1461128;1.9346912;2.9252503
0.8852914;0.5488421;8.144337;1.0502535;92.88338;91.38739;5.1401076;10.936166;25.261726;24.502089;90.245445;91.26671;0.24776947;1.208812;1.2597864;1.5020807;1.114554;3.9284387
0.8068156;0.95427173;8.10279;4.665076;12.502868;21.608574;2.3301852;15.040383;65.37112;53.738773;42.12813;45.698658;0.44000924;1.838563;1.2476621;1.5395074;1.3692487;2.9058561
0.7755704;0.6341091;2.2058327;3.9159708;64.13031;36.57116;17.876173;7.944129;21.501093;83.57023;64.44464;50.136143;0.18099926;0.54238987;1.820328;2.982561;1.6218326;3.272715
0.54567444;0.5603566;8.916192;2.1553764;50.55112;88.7047;1.0870588;10.084479;9.802084;67.81173;46.79722;33.542534;0.14154166;1.3577933;1.4973956;1.1021236;1.6662074;0.43975174
0.7018471;0.44989583;3.840091;19.014832;43.150406;31.101986;2.3180695;10.994503;43.80087;24.226192;2.3536806;95.3493;0.15414093;1.8495852;1.7647841;0.21448398;1.5066963;4.486193
0.66727835;0.2591301;17.256195;19.341976;43.54192;75.81387;16.118105;7.879848;72.97907;99.96236;43.332096;50.074726;0.46715814;1.8315232;1.4454336;1.8280272;1.8629217;4.947882
0.7198773;0.37958917;7.3557105;17.94325;5.178545;15.549865;6.694871;11.995607;19.210932;10.194834;37.712917;97.99558;0.28745893;1.5251869;1.6278595;0.96900123;1.6191008;4.3122845
0.26755545;0.27236673;19.256481;19.788736;75.399864;38.49786;7.930437;6.2510285;59.196316;80.73799;32.33823;53.38515;0.47314605;1.0267569;1.3491969;2.2775526;1.9470558;2.392862
0.53264594;0.30135953;14.006032;16.78262;35.882362;94.13302;6.8270535;2.4505076;9.654029;46.951706;31.268595;95.20049;0.33696294;1.2615128;1.3410231;2.5495806;1.2709281;2.0024538
0.23329134;0.33081323;15.366879;18.711441;48.187;23.401955;17.92343;4.3892446;27.599138;8.144645;16.081387;46.794735;0.27167034;0.28431743;1.3730062;1.3727996;1.8942335;1.4853563
0.5951927;0.44162354;19.007273;4.7549915;84.91181;70.46847;18.646038;10.389198;83.65715;25.021057;58.77276;2.6274354;0.20752531;0.7740199;1.5875088;2.2447407;1.1126833;2.3603394
0.46388897;0.20881334;5.5397606;5.880793;58.133743;92.03583;18.64746;2.2751813;15.536887;9.248899;80.52018;36.254402;0.235722;1.0200784;1.4766043;2.6878934;1.9667472;1.7049474
0.31561935;0.96011513;11.778528;17.379255;85.29222;78.71052;6.8395233;8.3468485;66.95223;21.48912;83.45858;35.672928;0.23229805;0.52592576;1.0391722;2.9538333;1.8484249;3.413465
0.28272238;0.29905528;1.7737902;10.109811;14.57086;94.850914;4.8072;13.838093;2.4138434;88.587;27.57734;83.234886;0.2122282;0.6028496;1.1378387;2.0153327;1.205719;4.9477406
0.67011565;0.5065191;2.9144151;14.622477;28.899937;94.43109;16.731928;10.730518;55.347862;29.954733;29.411434;84.80743;0.16129103;1.0758777;1.1849272;2.7480776;1.493133;0.98367316
0.3364744;0.90362203;7.9651513;11.676272;23.56531;12.249992;17.130333;11.5178385;24.999418;61.470074;29.13251;89.857956;0.1648244;1.4062135;1.7378231;0.66544825;1.5018274;2.4721327
0.9400961;0.2852544;13.967535;6.807136;88.74709;60.56461;7.7312346;14.764384;23.026922;20.756195;16.919867;22.867617;0.3170096;1.4741141;1.4326086;0.89675456;1.7084186;3.9943626
0.6648489;0.5868834;16.80218;6.411862;78.37416;43.262604;11.982106;3.2970731;50.922684;25.24946;62.78769;72.72685;0.3792054;1.5120224;1.161717;0.6973706;1.7385262;2.5738719
0.47749585;0.8758269;5.87168;15.215412;83.57598;68.59109;8.423826;6.0123725;98.78287;35.921623;15.502977;47.98545;0.10838448;1.0591972;1.4833682;2.059094;1.1284546;2.8590107
0.6727324;0.6455701;15.232467;11.109807;57.29967;74.51237;1.28461;9.02799;24.197752;94.836205;40.416454;11.922523;0.24265613;0.8406465;1.7278455;2.1934357;1.2486416;4.4479694
0.21824309;0.36827487;5.261532;7.828328;22.854143;25.278505;8.802843;6.094694;55.626793;21.931381;54.723846;54.79284;0.21520743;1.3239933;1.6056502;2.7970233;1.1074371;3.8411872
0.96684736;0.7884076;1.1150565;12.723754;38.322838;80.18691;18.003868;9.337222;38.531937;66.050865;68.0505;2.9453719;0.33452;1.6775544;1.0590734;2.0901618;1.122888;0.39215058
0.5858427;0.74507284;2.0338476;8.978814;55.479786;41.511066;17.300768;17.979345;69.79227;37.859097;96.76605;68.878586;0.37490353;1.2013608;1.3653872;0.2881426;1.653978;0.29402718
0.8261882;0.48974872;12.125614;10.026422;2.878879;66.01711;2.9718623;3.1744752;93.03279;15.118836;81.89674;78.95576;0.3900828;0.9901358;1.9721463;2.5218859;1.46897;1.0237094
