;[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-]
5;1350;98;1152;0.10964359;0.14192595;0.12927395;10.172484;2500;0.15187790351039218
5;1350;18;272;0.03489494;0.18254545;0.118630625;2.7760608;2500;0.11595671906189944
5;1350;136;135;0.037744682;0.11863989;0.10382841;1.1108049;2500;0.11510940296606159
5;1350;72;634;0.018469257;0.16545574;0.20972633;1.6977701;2500;0.29725988259872965
5;1350;128;1089;0.032655053;0.26623857;0.17022851;11.133398;2500;0.17520502514991773
5;1350;257;380;0.03197926;0.16990033;0.24090299;12.145482;2500;0.3584431269808348
5;1350;77;962;0.027968168;0.1707467;0.1265224;7.707274;2500;0.13414973413532838
5;1350;26;211;0.051165245;0.12175356;0.13659751;2.4991093;2500;0.17681155863351586
5;1350;91;897;0.13711344;0.16095814;0.19580889;18.759089;2500;0.2718721280458933
5;1350;95;672;0.02470578;0.15986313;0.10818965;8.708559;2500;0.10601734756556572
5;1350;201;218;0.11065063;0.13637336;0.17551199;9.156863;2500;0.24625298461790657
5;1350;171;864;0.05740584;0.09890127;0.118537225;8.247695;2500;0.15434173136830828
5;1350;237;859;0.026804388;0.13316646;0.12420962;2.12988;2500;0.14657056584562245
5;1350;202;623;0.05559561;0.20191714;0.17681499;14.498502;2500;0.21271923798250839
5;1350;127;278;0.043578885;0.20169635;0.18536063;13.631393;2500;0.22891929970627303
5;1350;246;167;0.10477141;0.14725295;0.13180521;4.124826;2500;0.15408845878598804
5;1350;58;1149;0.07201918;0.11262638;0.1406858;6.103064;2500;0.190568644622366
5;1350;16;790;0.06602646;0.23170689;0.14261614;11.391477;2500;0.14004990467636075
5;1350;36;972;0.028456023;0.20530026;0.121271476;8.158559;2500;0.11289494226822616
5;1350;219;839;0.04948381;0.24594842;0.24485813;19.960655;2500;0.32038480408331316
5;1350;143;997;0.061459567;0.11316601;0.20382999;10.433075;2500;0.3227585529764814
5;1350;56;203;0.02869546;0.18206947;0.11662628;17.762358;2500;0.11269801481732264
5;1350;155;601;0.06302823;0.1373246;0.15357403;4.887643;2500;0.20147197567086056
5;1350;54;803;0.0908703;0.17239094;0.12589042;11.568199;2500;0.1323747459998216
5;1350;211;133;0.09832749;0.16380823;0.13515791;7.114113;2500;0.15272235972924225
5;1350;139;188;0.033478964;0.1895026;0.24092166;18.755531;2500;0.34535730025104017
5;1350;120;764;0.043269973;0.10915223;0.12051294;11.47243;2500;0.15220195505805512
5;1350;97;1043;0.050303265;0.12597759;0.23197176;13.424974;2500;0.37290819866339253
5;1350;192;795;0.0683901;0.08914974;0.22627525;2.4443948;2500;0.3937912092625357
5;1350;114;53;0.079648845;0.19740334;0.21155024;10.266056;2500;0.2817693987053052
5;1350;35;1164;0.05082699;0.14263874;0.1745083;12.009988;2500;0.24022686465887086
5;1350;44;176;0.025049996;0.1426384;0.13875514;6.517655;2500;0.16960011524202326
5;1350;288;286;0.07673805;0.1263878;0.22464699;14.979567;2500;0.35678070463234857
5;1350;273;1170;0.056220893;0.1053725;0.22511125;9.86502;2500;0.3758248026605314
5;1350;212;927;0.11480734;0.18202125;0.1787974;11.664898;2500;0.2262940551629032
5;1350;87;1124;0.07150618;0.12574501;0.10714201;7.8576765;2500;0.11800545954299545
5;1350;291;969;0.13051492;0.15944508;0.12894417;13.8536005;2500;0.14322524324534625
5;1350;235;785;0.11382106;0.13858825;0.10841252;2.9602582;2500;0.11471663364231141
5;1350;217;348;0.0524035;0.18251255;0.1269757;10.618321;2500;0.13041572661794443
5;1350;140;398;0.038281363;0.1830432;0.1762632;18.017168;2500;0.22089680201464706
5;1350;88;1137;0.119109884;0.13399713;0.22812602;5.4684935;2500;0.3581425820513387
5;1350;37;1034;0.09743703;0.15550427;0.19798553;17.500513;2500;0.2797365637288552
5;1350;271;437;0.0740294;0.077548765;0.19013545;17.81598;2500;0.32452166697925355
5;1350;142;454;0.0855018;0.20066576;0.21219303;5.378204;2500;0.2812148582407724
5;1350;68;364;0.09949828;0.10569623;0.19598672;2.5337675;2500;0.31200387498139903
5;1350;98;398;0.030263418;0.17272754;0.16651408;15.52395;2500;0.2074677990240362
5;1350;177;1034;0.070922926;0.14006566;0.22230452;19.213058;2500;0.34107092428792507
5;1350;61;22;0.07550761;0.1772848;0.14652768;5.8586164;2500;0.16769485403827936
5;1350;258;528;0.020858634;0.18554403;0.23921724;18.347075;2500;0.34443851147949117
5;1350;229;1131;0.03650808;0.16956657;0.117428586;4.9551806;2500;0.11854119542442336
5;1350;218;655;0.025744708;0.13377503;0.19565198;7.8267884;2500;0.2896377860030386
5;1350;135;546;0.026418325;0.18607792;0.17507745;17.832214;2500;0.21709697940111702
5;1350;191;381;0.08263479;0.08978698;0.16386425;6.7771487;2500;0.25581279750785657
5;1350;179;97;0.13531335;0.14302506;0.16445746;15.358217;2500;0.21979315941537636
5;1350;198;277;0.09142068;0.10875598;0.106331125;3.7923985;2500;0.12472229048560587
5;1350;34;117;0.14575687;0.14837325;0.21272707;8.196559;2500;0.31491096762897464
5;1350;130;160;0.10922455;0.14345464;0.15285206;18.874014;2500;0.19656060999847827
5;1350;22;204;0.12456535;0.13885738;0.17149545;5.299365;2500;0.23649657851853653
5;1350;153;369;0.05231245;0.23985024;0.22713912;14.332332;2500;0.2894735890348329
5;1350;105;23;0.03767976;0.14816046;0.18656628;18.471523;2500;0.2611956597348008
5;1350;51;1140;0.10457587;0.13051777;0.22771549;15.91414;2500;0.3600356448863364
5;1350;39;157;0.0455503;0.11055857;0.12056191;19.011791;2500;0.15149547661657387
5;1350;180;465;0.0638642;0.101249605;0.14227264;18.93122;2500;0.20136757212640954
5;1350;59;1056;0.06657266;0.13841537;0.13418986;3.1590896;2500;0.1629996308825059
5;1350;278;136;0.056091793;0.19628349;0.23295014;12.431592;2500;0.3249814574746211
5;1350;178;585;0.058779217;0.21597484;0.21723358;9.111005;2500;0.2827446286615949
5;1350;110;1015;0.07524703;0.113213606;0.22511514;13.972027;2500;0.3688710276477197
5;1350;181;672;0.08207668;0.18028489;0.18530254;15.108435;2500;0.23981666899732834
5;1350;16;260;0.044763926;0.13887975;0.13311234;5.659511;2500;0.16069580040295417
5;1350;287;885;0.052337408;0.09857093;0.15654975;16.197489;2500;0.23323548242755612
5;1350;149;820;0.042383455;0.1157785;0.18254513;8.774851;2500;0.2752621471168892
5;1350;236;441;0.06897892;0.16885488;0.10284679;13.478031;2500;0.09382242923117984
5;1350;33;65;0.083353065;0.14121908;0.19594634;9.126419;2500;0.28504171678978674
5;1350;151;19;0.05396501;0.13659877;0.22823043;7.5762024;2500;0.3563213789781644
5;1350;152;992;0.07246786;0.07851432;0.1488453;14.184041;2500;0.23274063452925792
5;1350;281;392;0.069167376;0.16603418;0.20196843;11.296233;2500;0.2811609245722732
5;1350;175;173;0.13215704;0.14048396;0.1725345;17.205557;2500;0.23758035172996986
5;1350;147;627;0.07037574;0.08990599;0.10059662;15.934167;2500;0.12383447501158126
5;1350;87;1105;0.11887147;0.14159968;0.14259882;17.498327;2500;0.17756287491561132
5;1350;106;20;0.0993745;0.1458069;0.17917904;15.549664;2500;0.2476959868152517
5;1350;160;76;0.075848795;0.14605443;0.20873627;18.419983;2500;0.30823287875411953
5;1350;137;506;0.049230177;0.108021036;0.16030507;3.97667;2500;0.23417224233808298
5;1350;16;814;0.09252246;0.19601327;0.12793681;13.16915;2500;0.1272066417709777
5;1350;249;576;0.040019866;0.18159628;0.10915746;2.5657673;2500;0.10026529401748806
5;1350;269;1078;0.038998216;0.17094283;0.20720382;10.493299;2500;0.2886875539563464
5;1350;50;62;0.031737614;0.24748369;0.1547562;17.365562;2500;0.1552915621287586
5;1350;170;414;0.11024306;0.16659367;0.19706564;14.786354;2500;0.27094207852712077
5;1350;41;428;0.038849227;0.22023992;0.13326277;12.075644;2500;0.12810102588960978
5;1350;204;414;0.09133802;0.18306598;0.21320283;14.185732;2500;0.2933583824255189
5;1350;91;590;0.026169179;0.14248009;0.15165792;4.2924924;2500;0.19475869842704502
5;1350;201;950;0.033444725;0.23069261;0.107855305;18.685244;2500;0.0846031934579943
5;1350;220;388;0.062438406;0.13676672;0.17653503;5.036973;2500;0.24808716399369765
5;1350;232;895;0.12584254;0.15428168;0.20971699;4.1724524;2500;0.3045990458089947
5;1350;41;184;0.049822804;0.15571192;0.23987457;3.6600614;2500;0.3664798828081942
5;1350;275;677;0.07396327;0.08418232;0.24562867;18.788153;2500;0.442408213466931
5;1350;76;456;0.022090396;0.19006664;0.16846295;9.756279;2500;0.2026417014465173
5;1350;20;651;0.075443625;0.18807292;0.191781;11.128239;2500;0.24822874354036725
5;1350;170;138;0.035730988;0.18940882;0.18358314;8.201475;2500;0.23168569127653624
5;1350;117;1144;0.059869777;0.20467532;0.18003124;1.5182948;2500;0.21744801571667038
5;1350;250;1088;0.017003236;0.13828783;0.11718087;2.2665887;2500;0.13093352567939903
5;1350;244;993;0.020154051;0.15642057;0.20062976;1.299435;2500;0.28453769665119294
5;1350;101;1072;0.09032779;0.1442134;0.24479054;11.240929;2500;0.3856957190273821
5;1350;286;184;0.07518431;0.13261275;0.11902043;4.676189;2500;0.13701737620715237
5;1350;94;609;0.046205048;0.2058213;0.14677818;8.640299;2500;0.15639447549233634
5;1350;159;388;0.13555154;0.1588316;0.11155748;9.746169;2500;0.11227587635972688
5;1350;84;1065;0.09341473;0.15556458;0.16041744;11.118985;2500;0.20470778261492573
5;1350;281;235;0.049849197;0.16275524;0.17225082;17.96331;2500;0.2239019328995162
5;1350;57;271;0.06086044;0.17049417;0.15370272;1.8214476;2500;0.18420575471159062
5;1350;23;827;0.062268905;0.22465508;0.17148732;10.39035;2500;0.19297265184856768
5;1350;136;115;0.10846976;0.14247864;0.22044504;3.505419;2500;0.33533825966334607
5;1350;297;881;0.0804896;0.18998735;0.13208854;18.603853;2500;0.1365731527592299
5;1350;268;329;0.030089095;0.16513866;0.21369575;18.431677;2500;0.30556329966157575
5;1350;227;796;0.047276035;0.21437214;0.2189932;3.6588223;2500;0.28701631245751225
5;1350;268;1048;0.037367363;0.13354735;0.18716997;3.2298253;2500;0.27214258541847103
5;1350;269;735;0.06857229;0.19389404;0.14729817;3.0875235;2500;0.16203511604879295
5;1350;160;263;0.09512857;0.18710521;0.24047512;2.863587;2500;0.34599412659877765
5;1350;101;68;0.13843174;0.14660311;0.15458554;4.0038476;2500;0.19821403047870498
5;1350;233;63;0.034296867;0.13319165;0.10748818;3.9580889;2500;0.11533440499693705
5;1350;201;115;0.063504614;0.2109777;0.12041318;4.106519;2500;0.10973497184714368
5;1350;118;699;0.01824416;0.14824632;0.2337385;3.8229425;2500;0.35909545217760847
5;1350;37;424;0.055222735;0.16653681;0.12249647;8.180372;2500;0.12864291619135426
5;1350;226;299;0.09338777;0.15899046;0.16710912;5.8240075;2500;0.2159078850574779
5;1350;86;270;0.108029105;0.114608265;0.20379573;8.924498;2500;0.32150780045486027
5;1350;281;1138;0.07960587;0.12138057;0.1860467;17.981142;2500;0.278480383873941
5;1350;79;151;0.037178416;0.21539474;0.19800575;7.6873484;2500;0.24618039709657188
5;1350;45;372;0.11360795;0.13552386;0.1523222;6.4430017;2500;0.200033001220749
5;1350;251;571;0.10339573;0.13403817;0.19933543;18.372734;2500;0.2971539969714266
5;1350;54;10;0.04026087;0.18900344;0.10136284;7.1105447;2500;0.08530641194228572
5;1350;61;1105;0.12121085;0.13465014;0.13948753;3.318104;2500;0.17524681092090527
5;1350;183;127;0.081159994;0.12929556;0.118539974;12.7607155;2500;0.13771369555754515
5;1350;263;822;0.06623054;0.09408469;0.16828945;6.3541017;2500;0.26182257224900857
5;1350;66;758;0.065416194;0.16520198;0.12187346;10.879222;2500;0.12806130903068524
5;1350;99;972;0.046604;0.21191435;0.18210566;15.59175;2500;0.2179576428050018
5;1350;235;785;0.08177733;0.11309666;0.12709975;11.745814;2500;0.16298345723604366
5;1350;291;925;0.04978987;0.121322796;0.1621397;16.366575;2500;0.22875517519061622
5;1350;155;511;0.13965201;0.14712417;0.111133225;7.549335;2500;0.11610129564218577
5;1350;51;591;0.045102876;0.23445958;0.16599704;4.204868;2500;0.17932726408064542
5;1350;14;844;0.058788344;0.18397678;0.22119749;8.498676;2500;0.30886330015096497
5;1350;76;686;0.105647124;0.16234395;0.14753519;8.826629;2500;0.1764961709378739
5;1350;48;618;0.09713475;0.19818607;0.2059475;14.603397;2500;0.2703580825765522
5;1350;206;254;0.06433413;0.1710547;0.16389792;14.049946;2500;0.20330604063979946
5;1350;45;317;0.07103858;0.11558867;0.13513178;6.8780413;2500;0.1775349219862787
5;1350;156;436;0.09669165;0.14913014;0.14552179;18.657187;2500;0.1792645392944593
5;1350;211;21;0.09503648;0.19215254;0.14538674;6.2361803;2500;0.15930987502409968
5;1350;178;506;0.05771214;0.19581008;0.21135683;19.932814;2500;0.2822837077955164
5;1350;67;13;0.053493362;0.10044269;0.1301404;1.6213197;2500;0.17691636483657094
5;1350;243;682;0.091475114;0.19609477;0.24666573;13.801072;2500;0.35282783357506253
5;1350;217;847;0.11023491;0.1528164;0.20312265;12.78401;2500;0.2920066406085357
5;1350;224;678;0.075989716;0.13428494;0.16017316;12.113653;2500;0.21647174999909202
5;1350;48;835;0.08905217;0.20907162;0.2497006;15.803625;2500;0.3508607452996146
5;1350;45;10;0.0277574;0.2304945;0.13242573;12.226646;2500;0.12350692584761458
5;1350;278;80;0.045665998;0.22815017;0.21443668;12.58843;2500;0.2711032375100399
5;1350;125;841;0.06839103;0.22308396;0.14064054;17.669806;2500;0.13958022732525094
5;1350;97;965;0.05310449;0.10283227;0.18153466;4.548117;2500;0.2832011344717591
5;1350;151;864;0.110974915;0.15518805;0.10816321;11.091993;2500;0.10769317945408148
5;1350;202;798;0.10064493;0.10730704;0.22696887;14.529922;2500;0.3781588648795361
5;1350;287;851;0.09530101;0.18506025;0.15492278;6.849669;2500;0.17972049108832736
5;1350;93;890;0.11034875;0.17148562;0.18767296;5.170208;2500;0.249350197237741
5;1350;278;872;0.09561201;0.17868076;0.23909257;3.4491332;2500;0.3487055856416671
5;1350;17;888;0.07262103;0.19425908;0.10453701;5.991079;2500;0.08890581550412135
5;1350;171;98;0.09255018;0.17659225;0.24520262;13.6554785;2500;0.36273021484421597
5;1350;193;85;0.050617903;0.14386497;0.1787769;12.684343;2500;0.2481022671225408
5;1350;40;439;0.05938132;0.15159792;0.21711199;4.263298;2500;0.32177318922139453
5;1350;50;637;0.077674985;0.08958325;0.17095672;10.331921;2500;0.27133449550902794
5;1350;131;917;0.08939067;0.18519805;0.22238617;5.061625;2500;0.3105072018779377
5;1350;290;408;0.03460672;0.21229425;0.23208383;18.783482;2500;0.31382674441898845
5;1350;182;337;0.07487189;0.16703561;0.1572511;14.758551;2500;0.19263042298940058
5;1350;280;939;0.089961365;0.096950345;0.20839484;4.293245;2500;0.3467015320687277
5;1350;243;306;0.033919916;0.2083355;0.2497927;6.5045333;2500;0.35149740967831833
5;1350;145;986;0.10657681;0.11160594;0.21356975;17.208508;2500;0.34512795656312567
5;1350;237;220;0.14816552;0.1511248;0.24353197;11.5853195;2500;0.3776554210732354
5;1350;15;437;0.09062484;0.18883541;0.21049258;7.763147;2500;0.2845579997768564
5;1350;41;487;0.053327493;0.17556995;0.14948304;12.369996;2500;0.17393200978622028
5;1350;250;366;0.02806376;0.24320458;0.22407275;8.400168;2500;0.2819728246106605
5;1350;241;13;0.018550916;0.15612483;0.19995111;18.317137;2500;0.28334423079573645
5;1350;77;290;0.042167917;0.12304215;0.104960196;17.597275;2500;0.11518538786004472
5;1350;163;411;0.10107476;0.14352284;0.1258651;4.0473423;2500;0.14470264619361498
5;1350;185;383;0.123538435;0.13547945;0.13919096;13.871523;2500;0.17421911536434845
5;1350;261;944;0.025575263;0.1323832;0.21153457;16.91417;2500;0.32407881890818435
5;1350;184;66;0.05316083;0.12698367;0.21956989;5.013632;2500;0.3454016432192327
5;1350;129;472;0.06933623;0.16125396;0.22403282;17.558687;2500;0.3294335039653337
5;1350;118;54;0.040193815;0.119228676;0.11008221;8.971591;2500;0.12661155211836328
5;1350;133;1117;0.06749635;0.14611156;0.110823505;6.8468146;2500;0.11595678642308034
5;1350;199;950;0.104488604;0.11782338;0.14491649;19.697165;2500;0.19587023065210682
5;1350;261;1178;0.07939332;0.20887813;0.20218651;14.072094;2500;0.25742040587266307
5;1350;141;1093;0.03061156;0.16673991;0.22632773;6.519643;2500;0.3304384702887207
5;1350;81;385;0.06419142;0.11110885;0.23040634;11.064115;2500;0.38229375006716154
5;1350;78;832;0.017009228;0.134117;0.1311273;13.22584;2500;0.15932657388622354
5;1350;226;374;0.080090575;0.08815064;0.2151123;14.526826;2500;0.3698568308765998
5;1350;246;1066;0.12500003;0.13762987;0.19611624;4.978423;2500;0.28788218724228704
5;1350;40;498;0.029662162;0.18707612;0.2390095;12.715394;2500;0.34302247827220156
5;1350;29;457;0.057602584;0.122206174;0.21592915;17.097979;2500;0.3414302825346196
5;1350;182;1097;0.12147808;0.16847607;0.17929319;16.269535;2500;0.23454195344109646
5;1350;52;1005;0.07664019;0.19149056;0.21747914;6.591208;2500;0.29689523934423456
5;1350;249;1160;0.04872704;0.11842766;0.14624165;19.43366;2500;0.1981746172641546
5;1350;99;89;0.092902906;0.09744069;0.21792178;1.2391872;2500;0.3672572060081902
5;1350;51;299;0.053320296;0.22409594;0.21717528;15.801299;2500;0.27839531074626134
5;1350;277;368;0.078831114;0.17503361;0.22828129;7.0251207;2500;0.32893400995381206
5;1350;58;514;0.042603724;0.24922806;0.13635941;18.882902;2500;0.12436222469501065
5;1350;92;573;0.035673805;0.12576361;0.22735013;17.360075;2500;0.36311084895324136
5;1350;54;356;0.11727348;0.14903821;0.12535754;17.742056;2500;0.14122348177813515
5;1350;43;950;0.06241778;0.09904393;0.21578494;5.7854834;2500;0.36106280286877757
5;1350;16;275;0.06913246;0.13136683;0.23948762;16.131895;2500;0.38467435728309113
5;1350;26;838;0.038222898;0.2243774;0.10536972;7.32041;2500;0.0823481736585278
5;1350;60;1023;0.112998374;0.14365312;0.1939019;9.49696;2500;0.27916549886491177
5;1350;25;728;0.032956205;0.11736146;0.19893876;18.182371;2500;0.30889118652346526
5;1350;181;431;0.056610275;0.12368117;0.22227144;14.688615;2500;0.35387486320615374
5;1350;207;233;0.05159372;0.21519232;0.11542351;13.170767;2500;0.10043089364795924
5;1350;124;169;0.052077785;0.11684434;0.2364146;3.4504945;2500;0.39036816778605354
5;1350;102;895;0.06463228;0.13432455;0.24906807;11.227382;2500;0.4029162509656933
5;1350;156;568;0.041942965;0.13564046;0.2008158;3.3467753;2500;0.29909940334177015
5;1350;263;65;0.050410356;0.11630783;0.16448995;2.425452;2500;0.23703184632910532
5;1350;256;1180;0.07229536;0.20319849;0.19525231;18.98503;2500;0.24702184414189918
5;1350;22;808;0.060336985;0.09886428;0.108205914;12.255575;2500;0.13375055166952915
5;1350;62;1014;0.073167406;0.1572401;0.21295513;1.1167767;2500;0.3092785468778919
5;1350;78;531;0.114567675;0.13933292;0.110494986;9.911547;2500;0.11818565043507558
5;1350;82;1146;0.019013904;0.13962464;0.14838865;6.448136;2500;0.18992996040109977
5;1350;175;247;0.02711214;0.21790187;0.12090981;3.9242837;2500;0.1084865523445986
5;1350;130;230;0.035103217;0.16500661;0.20890619;16.563307;2500;0.2958780283674532
5;1350;24;1069;0.04054811;0.23448366;0.18916424;3.9185703;2500;0.22091912232122574
5;1350;118;1071;0.08368779;0.18596116;0.20488057;4.1606507;2500;0.27509612895624375
5;1350;161;603;0.048449866;0.2206359;0.10968492;5.4195337;2500;0.08991313529946511
5;1350;39;159;0.02232675;0.18747278;0.15556096;14.536405;2500;0.17982124194806112
5;1350;251;373;0.05824376;0.21513847;0.16092545;4.623898;2500;0.17787643176342277
5;1350;25;907;0.07424924;0.17024805;0.19035979;7.1058383;2500;0.2553823028574783
5;1350;278;1016;0.079764165;0.12703836;0.115349606;18.144579;2500;0.13277604112942082
5;1350;38;423;0.044635657;0.11746483;0.19708554;11.737689;2500;0.30485305550086106
5;1350;254;82;0.0776248;0.08239804;0.15920478;4.2871637;2500;0.25193063412827293
5;1350;271;802;0.033746745;0.15396349;0.23588799;17.338156;2500;0.35937631565208983
5;1350;294;890;0.05957779;0.1353599;0.16747136;10.731086;2500;0.23054239586162323
5;1350;242;514;0.058194052;0.2309352;0.115310736;16.850328;2500;0.09600165395438558
5;1350;236;703;0.12679623;0.1731945;0.1155103;2.4961572;2500;0.11388735308083024
5;1350;196;1184;0.030039174;0.1415119;0.13814433;4.0746117;2500;0.16900649011520566
5;1350;235;301;0.14123161;0.15018362;0.13597174;2.7444756;2500;0.16053531509902716
5;1350;49;691;0.09897316;0.15700784;0.21950293;10.143482;2500;0.32297268845878047
5;1350;165;737;0.072550476;0.15224075;0.20835829;8.360201;2500;0.303178217767614
5;1350;159;663;0.09175472;0.20144828;0.11150091;8.904178;2500;0.09805582987424544
5;1350;258;1044;0.06297516;0.19407882;0.2277151;7.9642477;2500;0.31580883474552596
5;1350;144;729;0.025915315;0.21313287;0.114419505;9.058835;2500;0.09940426545709165
5;1350;121;614;0.0845549;0.09687411;0.21784417;8.243441;2500;0.367613061893838
5;1350;195;156;0.07802196;0.108644634;0.116742566;4.0335555;2500;0.14504933475509726
5;1350;87;846;0.04413941;0.24258584;0.15645376;11.812575;2500;0.15983628292870267
5;1350;50;167;0.02712547;0.15513036;0.2126396;17.51419;2500;0.3100564255472375
5;1350;148;41;0.034567844;0.12027807;0.13804525;19.887552;2500;0.1805606508071315
5;1350;130;591;0.07697187;0.11296218;0.11699949;3.2288575;2500;0.14316718732090752
