[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-]
1350;79;747;0.22463869;0.11462323;0.22419916;8.455609;2500;0.63149077;0.75579214
1350;79;747;0.22463869;0.11462323;0.22419916;8.455609;2500;0.9290606;1.2406898
1350;114;1127;0.07436353;0.10285711;0.16217436;36.438774;2500;0.9290606;0.75579214
1350;251;354;0.05791673;0.11504177;0.11987607;33.187878;2500;1.3570931;0.5627043
1350;224;354;0.05791673;0.11504177;0.11987607;33.187878;2500;1.3570931;0.5627043
1350;251;270;0.05791673;0.11504177;0.11987607;33.187878;2500;1.3570931;0.5627043
1350;251;354;0.0977583;0.1941803;0.11987607;33.187878;2500;1.3570931;0.5627043
1350;251;354;0.03506294;0.13789557;0.11987607;33.187878;2500;1.3570931;0.5627043
1350;251;354;0.05791673;0.11504177;0.22962378;33.187878;2500;1.3570931;0.5627043
1350;251;354;0.05791673;0.11504177;0.11987607;3.5237858;2500;1.3570931;0.5627043
1350;251;354;0.05791673;0.11504177;0.11987607;33.187878;2500;1.3570931;1.0508786
1350;251;354;0.05791673;0.11504177;0.11987607;33.187878;2500;1.0624084;0.5627043
1350;224;270;0.05918313;0.23275547;0.22962378;3.5237858;2500;1.0624084;1.0508786
1350;275;854;0.06106864;0.15986793;0.11808758;43.572758;2500;0.53979033;1.0231036
1350;149;854;0.06106864;0.15986793;0.11808758;43.572758;2500;0.53979033;1.0231036
1350;275;653;0.06106864;0.15986793;0.11808758;43.572758;2500;0.53979033;1.0231036
1350;275;854;0.044248696;0.11583601;0.11808758;43.572758;2500;0.53979033;1.0231036
1350;275;854;0.033510208;0.18742636;0.11808758;43.572758;2500;0.53979033;1.0231036
1350;275;854;0.06106864;0.15986793;0.14677094;43.572758;2500;0.53979033;1.0231036
1350;275;854;0.06106864;0.15986793;0.11808758;21.511251;2500;0.53979033;1.0231036
1350;275;854;0.06106864;0.15986793;0.11808758;43.572758;2500;0.53979033;1.1506814
1350;275;854;0.06106864;0.15986793;0.11808758;43.572758;2500;1.2333499;1.0231036
1350;149;653;0.024280598;0.13580412;0.14677094;21.511251;2500;1.2333499;1.1506814
1350;12;470;0.16112262;0.13101047;0.23872551;18.305893;2500;1.4411111;0.65812176
1350;184;470;0.16112262;0.13101047;0.23872551;18.305893;2500;1.4411111;0.65812176
1350;12;379;0.16112262;0.13101047;0.23872551;18.305893;2500;1.4411111;0.65812176
1350;12;470;0.14976324;0.12177404;0.23872551;18.305893;2500;1.4411111;0.65812176
1350;12;470;0.15349926;0.13863383;0.23872551;18.305893;2500;1.4411111;0.65812176
1350;12;470;0.16112262;0.13101047;0.24587919;18.305893;2500;1.4411111;0.65812176
1350;12;470;0.16112262;0.13101047;0.23872551;38.55837;2500;1.4411111;0.65812176
1350;12;470;0.16112262;0.13101047;0.23872551;18.305893;2500;1.4411111;0.9177088
1350;12;470;0.16112262;0.13101047;0.23872551;18.305893;2500;0.84985703;0.65812176
1350;184;379;0.14267734;0.12885994;0.24587919;38.55837;2500;0.84985703;0.9177088
1350;135;1147;0.03616364;0.14604165;0.19897121;4.5309424;2500;1.0884347;1.4951988
1350;287;1147;0.03616364;0.14604165;0.19897121;4.5309424;2500;1.0884347;1.4951988
1350;135;126;0.03616364;0.14604165;0.19897121;4.5309424;2500;1.0884347;1.4951988
1350;135;1147;0.06265801;0.25303534;0.19897121;4.5309424;2500;1.0884347;1.4951988
1350;135;1147;0.12670775;0.05549754;0.19897121;4.5309424;2500;1.0884347;1.4951988
1350;135;1147;0.03616364;0.14604165;0.10160608;4.5309424;2500;1.0884347;1.4951988
1350;135;1147;0.03616364;0.14604165;0.19897121;8.833886;2500;1.0884347;1.4951988
1350;135;1147;0.03616364;0.14604165;0.19897121;4.5309424;2500;1.0884347;0.564437
1350;135;1147;0.03616364;0.14604165;0.19897121;4.5309424;2500;1.3856765;1.4951988
1350;287;126;0.21953696;0.096156396;0.10160608;8.833886;2500;1.3856765;0.564437
1350;162;180;0.14612819;0.15864272;0.15329659;29.20436;2500;0.9233511;0.8255299
1350;33;180;0.14612819;0.15864272;0.15329659;29.20436;2500;0.9233511;0.8255299
1350;162;1048;0.14612819;0.15864272;0.15329659;29.20436;2500;0.9233511;0.8255299
1350;162;180;0.09718105;0.105503716;0.15329659;29.20436;2500;0.9233511;0.8255299
1350;162;180;0.09727445;0.20749646;0.15329659;29.20436;2500;0.9233511;0.8255299
1350;162;180;0.14612819;0.15864272;0.20640412;29.20436;2500;0.9233511;0.8255299
1350;162;180;0.14612819;0.15864272;0.15329659;26.24686;2500;0.9233511;0.8255299
1350;162;180;0.14612819;0.15864272;0.15329659;29.20436;2500;0.9233511;1.3594214
1350;162;180;0.14612819;0.15864272;0.15329659;29.20436;2500;0.5023095;0.8255299
1350;33;1048;0.06469137;0.13799338;0.20640412;26.24686;2500;0.5023095;1.3594214
1350;176;657;0.11472202;0.07385094;0.18130712;35.52864;2500;0.614258;1.1222976
1350;120;657;0.11472202;0.07385094;0.18130712;35.52864;2500;0.614258;1.1222976
1350;176;221;0.11472202;0.07385094;0.18130712;35.52864;2500;0.614258;1.1222976
1350;176;657;0.13100308;0.08433168;0.18130712;35.52864;2500;0.614258;1.1222976
1350;176;657;0.074558064;0.11401489;0.18130712;35.52864;2500;0.614258;1.1222976
1350;176;657;0.11472202;0.07385094;0.23772216;35.52864;2500;0.614258;1.1222976
1350;176;657;0.11472202;0.07385094;0.18130712;11.312587;2500;0.614258;1.1222976
1350;176;657;0.11472202;0.07385094;0.18130712;35.52864;2500;0.614258;0.86981213
1350;176;657;0.11472202;0.07385094;0.18130712;35.52864;2500;1.1329103;1.1222976
1350;120;221;0.085139155;0.13019559;0.23772216;11.312587;2500;1.1329103;0.86981213
1350;148;448;0.09540814;0.22841316;0.1708233;10.801793;2500;1.4043441;0.69870484
1350;156;448;0.09540814;0.22841316;0.1708233;10.801793;2500;1.4043441;0.69870484
1350;148;1107;0.09540814;0.22841316;0.1708233;10.801793;2500;1.4043441;0.69870484
1350;148;448;0.089505695;0.21428232;0.1708233;10.801793;2500;1.4043441;0.69870484
1350;148;448;0.2005347;0.123286605;0.1708233;10.801793;2500;1.4043441;0.69870484
1350;148;448;0.09540814;0.22841316;0.15401301;10.801793;2500;1.4043441;0.69870484
1350;148;448;0.09540814;0.22841316;0.1708233;28.63169;2500;1.4043441;0.69870484
1350;148;448;0.09540814;0.22841316;0.1708233;10.801793;2500;1.4043441;1.0735164
1350;148;448;0.09540814;0.22841316;0.1708233;10.801793;2500;0.75064933;0.69870484
1350;156;1107;0.18812856;0.115659446;0.15401301;28.63169;2500;0.75064933;1.0735164
1350;35;956;0.10814045;0.0939437;0.13571493;24.581326;2500;1.0070205;1.3921148
1350;281;956;0.10814045;0.0939437;0.13571493;24.581326;2500;1.0070205;1.3921148
1350;35;891;0.10814045;0.0939437;0.13571493;24.581326;2500;1.0070205;1.3921148
1350;35;956;0.13853379;0.12034698;0.13571493;24.581326;2500;1.0070205;1.3921148
1350;35;956;0.09125672;0.11082743;0.13571493;24.581326;2500;1.0070205;1.3921148
1350;35;956;0.10814045;0.0939437;0.19749571;24.581326;2500;1.0070205;1.3921148
1350;35;956;0.10814045;0.0939437;0.13571493;23.996052;2500;1.0070205;1.3921148
1350;35;956;0.10814045;0.0939437;0.13571493;24.581326;2500;1.0070205;1.4072571
1350;35;956;0.10814045;0.0939437;0.13571493;24.581326;2500;1.4804845;1.3921148
1350;281;891;0.11690482;0.14197595;0.19749571;23.996052;2500;1.4804845;1.4072571
1350;298;145;0.062219534;0.223354;0.22123545;49.892467;2500;0.9806984;0.7888349
1350;27;145;0.062219534;0.223354;0.22123545;49.892467;2500;0.9806984;0.7888349
1350;298;579;0.062219534;0.223354;0.22123545;49.892467;2500;0.9806984;0.7888349
1350;298;145;0.037473872;0.1345227;0.22123545;49.892467;2500;0.9806984;0.7888349
1350;298;145;0.06438657;0.22118698;0.22123545;49.892467;2500;0.9806984;0.7888349
1350;298;145;0.062219534;0.223354;0.11011107;49.892467;2500;0.9806984;0.7888349
1350;298;145;0.062219534;0.223354;0.22123545;40.949303;2500;0.9806984;0.7888349
1350;298;145;0.062219534;0.223354;0.22123545;49.892467;2500;0.9806984;0.6415409
1350;298;145;0.062219534;0.223354;0.22123545;49.892467;2500;0.5983571;0.7888349
1350;27;579;0.038779046;0.13321753;0.11011107;40.949303;2500;0.5983571;0.6415409
1350;228;1053;0.056104593;0.27682933;0.24171905;26.862083;2500;1.1652038;1.3597171
1350;238;1053;0.056104593;0.27682933;0.24171905;26.862083;2500;1.1652038;1.3597171
1350;228;925;0.056104593;0.27682933;0.24171905;26.862083;2500;1.1652038;1.3597171
1350;228;1053;0.047050055;0.23215275;0.24171905;26.862083;2500;1.1652038;1.3597171
1350;228;1053;0.0397808;0.2931531;0.24171905;26.862083;2500;1.1652038;1.3597171
1350;228;1053;0.056104593;0.27682933;0.17714788;26.862083;2500;1.1652038;1.3597171
1350;228;1053;0.056104593;0.27682933;0.24171905;34.039406;2500;1.1652038;1.3597171
1350;228;1053;0.056104593;0.27682933;0.24171905;26.862083;2500;1.1652038;0.56117874
1350;228;1053;0.056104593;0.27682933;0.24171905;26.862083;2500;0.6774176;1.3597171
1350;238;925;0.033360705;0.24584208;0.17714788;34.039406;2500;0.6774176;0.56117874
1350;57;270;0.06981006;0.084113285;0.10220058;2.1862712;2500;0.81460375;0.9434642
1350;57;270;0.06981006;0.084113285;0.10220058;2.1862712;2500;0.81460375;0.9434642
1350;57;31;0.06981006;0.084113285;0.10220058;2.1862712;2500;0.81460375;0.9434642
1350;57;270;0.085781515;0.10335709;0.10220058;2.1862712;2500;0.81460375;0.9434642
1350;57;270;0.077389054;0.07653429;0.10220058;2.1862712;2500;0.81460375;0.9434642
1350;57;270;0.06981006;0.084113285;0.13079707;2.1862712;2500;0.81460375;0.9434642
1350;57;270;0.06981006;0.084113285;0.10220058;1.023011;2500;0.81460375;0.9434642
1350;57;270;0.06981006;0.084113285;0.10220058;2.1862712;2500;0.81460375;1.2649622
1350;57;270;0.06981006;0.084113285;0.10220058;2.1862712;2500;1.3096899;0.9434642
1350;57;31;0.09509446;0.09404415;0.13079707;1.023011;2500;1.3096899;1.2649622
1350;88;763;0.10584251;0.16433173;0.14213778;12.838757;2500;0.7139712;1.1532161
1350;90;763;0.10584251;0.16433173;0.14213778;12.838757;2500;0.7139712;1.1532161
1350;88;409;0.10584251;0.16433173;0.14213778;12.838757;2500;0.7139712;1.1532161
1350;88;763;0.09721194;0.15093186;0.14213778;12.838757;2500;0.7139712;1.1532161
1350;88;763;0.1690731;0.10110113;0.14213778;12.838757;2500;0.7139712;1.1532161
1350;88;763;0.10584251;0.16433173;0.22115475;12.838757;2500;0.7139712;1.1532161
1350;88;763;0.10584251;0.16433173;0.14213778;46.381165;2500;0.7139712;1.1532161
1350;88;763;0.10584251;0.16433173;0.14213778;12.838757;2500;0.7139712;1.2237029
1350;88;763;0.10584251;0.16433173;0.14213778;12.838757;2500;0.9547785;1.1532161
1350;90;409;0.15528663;0.09285718;0.22115475;46.381165;2500;0.9547785;1.2237029
1350;206;564;0.16525955;0.07766308;0.20661955;38.104965;2500;1.296963;0.54165035
1350;199;564;0.16525955;0.07766308;0.20661955;38.104965;2500;1.296963;0.54165035
1350;206;691;0.16525955;0.07766308;0.20661955;38.104965;2500;1.296963;0.54165035
1350;206;564;0.22688907;0.106625624;0.20661955;38.104965;2500;1.296963;0.54165035
1350;206;564;0.06293509;0.17998755;0.20661955;38.104965;2500;1.296963;0.54165035
1350;206;564;0.16525955;0.07766308;0.17141184;38.104965;2500;1.296963;0.54165035
1350;206;564;0.16525955;0.07766308;0.20661955;13.682379;2500;1.296963;0.54165035
1350;206;564;0.16525955;0.07766308;0.20661955;38.104965;2500;1.296963;0.9579076
1350;206;564;0.16525955;0.07766308;0.20661955;38.104965;2500;1.0869249;0.54165035
1350;199;691;0.086405195;0.2471095;0.17141184;13.682379;2500;1.0869249;0.9579076
1350;193;802;0.058232095;0.25961027;0.12674373;0.7680164;2500;0.74870485;0.87543994
1350;164;802;0.058232095;0.25961027;0.12674373;0.7680164;2500;0.74870485;0.87543994
1350;193;317;0.058232095;0.25961027;0.12674373;0.7680164;2500;0.74870485;0.87543994
1350;193;802;0.060430504;0.26941124;0.12674373;0.7680164;2500;0.74870485;0.87543994
1350;193;802;0.053670876;0.26417148;0.12674373;0.7680164;2500;0.74870485;0.87543994
1350;193;802;0.058232095;0.25961027;0.20998484;0.7680164;2500;0.74870485;0.87543994
1350;193;802;0.058232095;0.25961027;0.12674373;18.989113;2500;0.74870485;0.87543994
1350;193;802;0.058232095;0.25961027;0.12674373;0.7680164;2500;0.74870485;1.1197956
1350;193;802;0.058232095;0.25961027;0.12674373;0.7680164;2500;0.7353659;0.87543994
1350;164;317;0.05569709;0.27414462;0.20998484;18.989113;2500;0.7353659;1.1197956
1350;93;594;0.09661294;0.09866531;0.23108529;25.253794;2500;1.2711188;1.3029233
1350;128;594;0.09661294;0.09866531;0.23108529;25.253794;2500;1.2711188;1.3029233
1350;93;635;0.09661294;0.09866531;0.23108529;25.253794;2500;1.2711188;1.3029233
1350;93;594;0.11800218;0.12050893;0.23108529;25.253794;2500;1.2711188;1.3029233
1350;93;594;0.10690414;0.088374116;0.23108529;25.253794;2500;1.2711188;1.3029233
1350;93;594;0.09661294;0.09866531;0.107360855;25.253794;2500;1.2711188;1.3029233
1350;93;594;0.09661294;0.09866531;0.23108529;39.506138;2500;1.2711188;1.3029233
1350;93;594;0.09661294;0.09866531;0.23108529;25.253794;2500;1.2711188;0.8235942
1350;93;594;0.09661294;0.09866531;0.23108529;25.253794;2500;1.3688371;1.3029233
1350;128;635;0.13057175;0.107939355;0.107360855;39.506138;2500;1.3688371;0.8235942
1350;52;1106;0.0715548;0.20746107;0.19115731;39.81022;2500;1.1373142;0.6062557
1350;17;1106;0.0715548;0.20746107;0.19115731;39.81022;2500;1.1373142;0.6062557
1350;52;980;0.0715548;0.20746107;0.19115731;39.81022;2500;1.1373142;0.6062557
1350;52;1106;0.051050093;0.14801113;0.19115731;39.81022;2500;1.1373142;0.6062557
1350;52;1106;0.1883824;0.090633474;0.19115731;39.81022;2500;1.1373142;0.6062557
1350;52;1106;0.0715548;0.20746107;0.24463989;39.81022;2500;1.1373142;0.6062557
1350;52;1106;0.0715548;0.20746107;0.19115731;6.653455;2500;1.1373142;0.6062557
1350;52;1106;0.0715548;0.20746107;0.19115731;39.81022;2500;1.1373142;0.6573347
1350;52;1106;0.0715548;0.20746107;0.19115731;39.81022;2500;0.89562327;0.6062557
1350;17;980;0.13439964;0.06466159;0.24463989;6.653455;2500;0.89562327;0.6573347
1350;242;296;0.11876817;0.08904965;0.16185232;14.355702;2500;0.85113627;1.213427
1350;271;296;0.11876817;0.08904965;0.16185232;14.355702;2500;0.85113627;1.213427
1350;242;125;0.11876817;0.08904965;0.16185232;14.355702;2500;0.85113627;1.213427
1350;242;296;0.16149819;0.12108764;0.16185232;14.355702;2500;0.85113627;1.213427
1350;242;296;0.06312327;0.14469455;0.16185232;14.355702;2500;0.85113627;1.213427
1350;242;296;0.11876817;0.08904965;0.13867015;14.355702;2500;0.85113627;1.213427
1350;242;296;0.11876817;0.08904965;0.16185232;26.852877;2500;0.85113627;1.213427
1350;242;296;0.11876817;0.08904965;0.16185232;14.355702;2500;0.85113627;1.3915241
1350;242;296;0.11876817;0.08904965;0.16185232;14.355702;2500;1.0289838;1.213427
1350;271;125;0.08583355;0.19675228;0.13867015;26.852877;2500;1.0289838;1.3915241
1350;284;907;0.10282619;0.05786349;0.1508183;12.41552;2500;1.0337194;0.63776183
1350;46;907;0.10282619;0.05786349;0.1508183;12.41552;2500;1.0337194;0.63776183
1350;284;798;0.10282619;0.05786349;0.1508183;12.41552;2500;1.0337194;0.63776183
1350;284;907;0.1044597;0.05878271;0.1508183;12.41552;2500;1.0337194;0.63776183
1350;284;907;0.05644701;0.104242675;0.1508183;12.41552;2500;1.0337194;0.63776183
1350;284;907;0.10282619;0.05786349;0.2236804;12.41552;2500;1.0337194;0.63776183
1350;284;907;0.10282619;0.05786349;0.1508183;48.160004;2500;1.0337194;0.63776183
1350;284;907;0.10282619;0.05786349;0.1508183;12.41552;2500;1.0337194;1.3112719
1350;284;907;0.10282619;0.05786349;0.1508183;12.41552;2500;1.1999155;0.63776183
1350;46;798;0.057343733;0.10589868;0.2236804;48.160004;2500;1.1999155;1.3112719
1350;40;125;0.116763435;0.21022813;0.19647446;36.94184;2500;0.9468195;1.0579367
1350;228;125;0.116763435;0.21022813;0.19647446;36.94184;2500;0.9468195;1.0579367
1350;40;525;0.116763435;0.21022813;0.19647446;36.94184;2500;0.9468195;1.0579367
1350;40;125;0.091374844;0.16451694;0.19647446;36.94184;2500;0.9468195;1.0579367
1350;40;125;0.18655056;0.140441;0.19647446;36.94184;2500;0.9468195;1.0579367
1350;40;125;0.116763435;0.21022813;0.15870781;36.94184;2500;0.9468195;1.0579367
1350;40;125;0.116763435;0.21022813;0.19647446;18.341438;2500;0.9468195;1.0579367
1350;40;125;0.116763435;0.21022813;0.19647446;36.94184;2500;0.9468195;0.5149304
1350;40;125;0.116763435;0.21022813;0.19647446;36.94184;2500;0.8164253;1.0579367
1350;228;525;0.14598772;0.10990404;0.15870781;18.341438;2500;0.8164253;0.5149304
1350;144;612;0.10363172;0.14508563;0.23157361;48.38267;2500;0.57882386;0.84538436
1350;207;612;0.10363172;0.14508563;0.23157361;48.38267;2500;0.57882386;0.84538436
1350;144;277;0.10363172;0.14508563;0.23157361;48.38267;2500;0.57882386;0.84538436
1350;144;612;0.12762094;0.17867081;0.23157361;48.38267;2500;0.57882386;0.84538436
1350;144;612;0.10134659;0.14737074;0.23157361;48.38267;2500;0.57882386;0.84538436
1350;144;612;0.10363172;0.14508563;0.19286186;48.38267;2500;0.57882386;0.84538436
1350;144;612;0.10363172;0.14508563;0.23157361;35.48264;2500;0.57882386;0.84538436
1350;144;612;0.10363172;0.14508563;0.23157361;48.38267;2500;0.57882386;0.9736708
1350;144;612;0.10363172;0.14508563;0.23157361;48.38267;2500;1.4147154;0.84538436
1350;207;277;0.12480683;0.1814849;0.19286186;35.48264;2500;1.4147154;0.9736708
1350;189;414;0.03436052;0.22929266;0.11088089;22.8693;2500;1.4333321;1.4608712
1350;99;414;0.03436052;0.22929266;0.11088089;22.8693;2500;1.4333321;1.4608712
1350;189;1198;0.03436052;0.22929266;0.11088089;22.8693;2500;1.4333321;1.4608712
1350;189;414;0.029267559;0.1953066;0.11088089;22.8693;2500;1.4333321;1.4608712
1350;189;414;0.04658594;0.21706724;0.11088089;22.8693;2500;1.4333321;1.4608712
1350;189;414;0.03436052;0.22929266;0.12424066;22.8693;2500;1.4333321;1.4608712
1350;189;414;0.03436052;0.22929266;0.11088089;6.0299287;2500;1.4333321;1.4608712
1350;189;414;0.03436052;0.22929266;0.11088089;22.8693;2500;1.4333321;1.2080004
1350;189;414;0.03436052;0.22929266;0.11088089;22.8693;2500;0.53134346;1.4608712
1350;99;1198;0.03968091;0.18489325;0.12424066;6.0299287;2500;0.53134346;1.2080004
1350;167;1196;0.08656006;0.14331402;0.21405622;16.697598;2500;1.1242431;0.7260838
1350;77;1196;0.08656006;0.14331402;0.21405622;16.697598;2500;1.1242431;0.7260838
1350;167;72;0.08656006;0.14331402;0.21405622;16.697598;2500;1.1242431;0.7260838
1350;167;1196;0.07993871;0.1323513;0.21405622;16.697598;2500;1.1242431;0.7260838
1350;167;1196;0.024732322;0.20514175;0.21405622;16.697598;2500;1.1242431;0.7260838
1350;167;1196;0.08656006;0.14331402;0.17019801;16.697598;2500;1.1242431;0.7260838
1350;167;1196;0.08656006;0.14331402;0.21405622;31.529472;2500;1.1242431;0.7260838
1350;167;1196;0.08656006;0.14331402;0.21405622;16.697598;2500;1.1242431;0.71704936
1350;167;1196;0.08656006;0.14331402;0.21405622;16.697598;2500;1.1663682;0.7260838
1350;77;72;0.022840438;0.18944956;0.17019801;31.529472;2500;1.1663682;0.71704936
1350;121;200;0.17882943;0.07829777;0.12855387;42.154507;2500;0.89473647;1.0798352
1350;258;200;0.17882943;0.07829777;0.12855387;42.154507;2500;0.89473647;1.0798352
1350;121;955;0.17882943;0.07829777;0.12855387;42.154507;2500;0.89473647;1.0798352
1350;121;200;0.22210127;0.0972437;0.12855387;42.154507;2500;0.89473647;1.0798352
1350;121;200;0.122560814;0.13456638;0.12855387;42.154507;2500;0.89473647;1.0798352
1350;121;200;0.17882943;0.07829777;0.21303308;42.154507;2500;0.89473647;1.0798352
1350;121;200;0.17882943;0.07829777;0.12855387;1.9829848;2500;0.89473647;1.0798352
1350;121;200;0.17882943;0.07829777;0.12855387;42.154507;2500;0.89473647;1.4840921
1350;121;200;0.17882943;0.07829777;0.12855387;42.154507;2500;0.7841181;1.0798352
1350;258;955;0.1522172;0.16712777;0.21303308;1.9829848;2500;0.7841181;1.4840921
1350;26;898;0.024823079;0.14219461;0.1682991;30.721312;2500;0.5127333;0.76098484
1350;215;898;0.024823079;0.14219461;0.1682991;30.721312;2500;0.5127333;0.76098484
1350;26;744;0.024823079;0.14219461;0.1682991;30.721312;2500;0.5127333;0.76098484
1350;26;898;0.039858628;0.22832309;0.1682991;30.721312;2500;0.5127333;0.76098484
1350;26;898;0.10878352;0.058234166;0.1682991;30.721312;2500;0.5127333;0.76098484
1350;26;898;0.024823079;0.14219461;0.13435692;30.721312;2500;0.5127333;0.76098484
1350;26;898;0.024823079;0.14219461;0.1682991;44.212936;2500;0.5127333;0.76098484
1350;26;898;0.024823079;0.14219461;0.1682991;30.721312;2500;0.5127333;1.0058204
1350;26;898;0.024823079;0.14219461;0.1682991;30.721312;2500;1.4514234;0.76098484
1350;215;744;0.17467462;0.093507096;0.13435692;44.212936;2500;1.4514234;1.0058204
1350;270;504;0.1638156;0.18221112;0.178838;6.23619;2500;1.474631;1.4350483
1350;107;504;0.1638156;0.18221112;0.178838;6.23619;2500;1.474631;1.4350483
1350;270;436;0.1638156;0.18221112;0.178838;6.23619;2500;1.474631;1.4350483
1350;270;504;0.07109968;0.079083756;0.178838;6.23619;2500;1.474631;1.4350483
1350;270;504;0.09356003;0.25246668;0.178838;6.23619;2500;1.474631;1.4350483
1350;270;504;0.1638156;0.18221112;0.18292813;6.23619;2500;1.474631;1.4350483
1350;270;504;0.1638156;0.18221112;0.178838;14.300599;2500;1.474631;1.4350483
1350;270;504;0.1638156;0.18221112;0.178838;6.23619;2500;1.474631;0.8007896
1350;270;504;0.1638156;0.18221112;0.178838;6.23619;2500;0.5692839;1.4350483
1350;107;436;0.040607173;0.10957626;0.18292813;14.300599;2500;0.5692839;0.8007896
1350;256;708;0.15275529;0.14511302;0.20882346;20.528921;2500;0.65925115;0.97937286
1350;177;708;0.15275529;0.14511302;0.20882346;20.528921;2500;0.65925115;0.97937286
1350;256;1071;0.15275529;0.14511302;0.20882346;20.528921;2500;0.65925115;0.97937286
1350;256;708;0.15123625;0.14366998;0.20882346;20.528921;2500;0.65925115;0.97937286
1350;256;708;0.11175741;0.1861109;0.20882346;20.528921;2500;0.65925115;0.97937286
1350;256;708;0.15275529;0.14511302;0.118411675;20.528921;2500;0.65925115;0.97937286
1350;256;708;0.15275529;0.14511302;0.20882346;10.7103615;2500;0.65925115;0.97937286
1350;256;708;0.15275529;0.14511302;0.20882346;20.528921;2500;0.65925115;0.9007247
1350;256;708;0.15275529;0.14511302;0.20882346;20.528921;2500;0.64835024;0.97937286
1350;177;1071;0.11064607;0.18426016;0.118411675;10.7103615;2500;0.64835024;0.9007247
1350;66;324;0.051489674;0.16288772;0.14432353;46.03687;2500;1.3204304;1.3404633
1350;140;324;0.051489674;0.16288772;0.14432353;46.03687;2500;1.3204304;1.3404633
1350;66;178;0.051489674;0.16288772;0.14432353;46.03687;2500;1.3204304;1.3404633
1350;66;324;0.04466128;0.14128609;0.14432353;46.03687;2500;1.3204304;1.3404633
1350;66;324;0.12940791;0.08496948;0.14432353;46.03687;2500;1.3204304;1.3404633
1350;66;324;0.051489674;0.16288772;0.19860502;46.03687;2500;1.3204304;1.3404633
1350;66;324;0.051489674;0.16288772;0.14432353;30.808283;2500;1.3204304;1.3404633
1350;66;324;0.051489674;0.16288772;0.14432353;46.03687;2500;1.3204304;1.1676043
1350;66;324;0.051489674;0.16288772;0.14432353;46.03687;2500;1.2806195;1.3404633
1350;140;178;0.11224626;0.07370111;0.19860502;30.808283;2500;1.2806195;1.1676043
1350;115;997;0.18400641;0.12746824;0.10911417;31.475863;2500;1.2042345;0.50621665
1350;43;997;0.18400641;0.12746824;0.10911417;31.475863;2500;1.2042345;0.50621665
1350;115;560;0.18400641;0.12746824;0.10911417;31.475863;2500;1.2042345;0.50621665
1350;115;997;0.1336203;0.09256387;0.10911417;31.475863;2500;1.2042345;0.50621665
1350;115;997;0.14607097;0.16540366;0.10911417;31.475863;2500;1.2042345;0.50621665
1350;115;997;0.18400641;0.12746824;0.14805391;31.475863;2500;1.2042345;0.50621665
1350;115;997;0.18400641;0.12746824;0.10911417;23.05212;2500;1.2042345;0.50621665
