[1/m2];[mm];[-];[-];[-];[mm/hour];[-];[-];[-];[-];[-];[-];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[kg N/ha/year];[-];[-];[-]
286;292;0.09864695;0.20510559;0.2152964;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.28484312605042267;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;39.28365;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;0.7674121;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.3052936;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;0.89655703;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;0.7369851;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;1.1479574;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.99102163;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;13.632438;8.319419;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;21.55749;26.325212;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;21.02079;69.95065;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;79.16974;25.00966;0.32878743669613636;0.3247609;0.30375254
286;292;0.09864695;0.20510559;0.23750217;6.920862;1.4788551;1.3979788;0.2694885;0.8590656;1.071594;2.4369726;38.494175;8.319419;26.325212;69.95065;3.7698872;0.32878743669613636;0.3247609;0.30375254
124;212;0.05144207;0.104918726;0.2152964;39.28365;1.3052936;0.7674121;1.1479574;0.99102163;0.89655703;0.7369851;13.632438;21.55749;21.02079;79.16974;3.7698872;0.3546968279443493;0.32899597;0.15636079
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
264;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;567;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.1336548;0.12945035;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.28675639607695574;0.50799006;0.26310515
207;669;0.10085196;0.14721441;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.2745149731241671;0.4065523;0.24806638
207;669;0.12601526;0.12205113;0.17569795;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.2563237052443203;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;3.4867938;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;1.4796189;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;0.78634584;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;0.5543194;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;3.3644118;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;1.324493;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.35951346;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;3.5804543;21.279686;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;20.35626;32.66595;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;16.159855;7.1800303;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;26.323336;50.08503;0.29221036557044455;0.50799006;0.24806638
207;669;0.12601526;0.12205113;0.1927911;15.305349;1.2432057;0.7228125;0.5811293;0.71782017;1.2712435;0.92971694;13.200291;21.279686;32.66595;7.1800303;44.85297;0.29221036557044455;0.50799006;0.24806638
264;567;0.10696601;0.15613915;0.17569795;3.4867938;0.78634584;1.4796189;1.324493;0.35951346;0.5543194;3.3644118;3.5804543;20.35626;16.159855;26.323336;44.85297;0.23446893985480746;0.4065523;0.26310515
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
69;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;657;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.04697949;0.15467075;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.14843062032321613;0.23297514;0.20165023
141;391;0.059964888;0.22085857;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12350921707665263;0.21353233;0.28082347
141;391;0.06542489;0.21539858;0.16631998;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.18747036392442015;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;32.379578;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;0.58121026;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;1.0714658;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;1.2755853;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;1.9362683;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;0.20007676;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.58802396;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;24.56576;13.6021185;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;39.88492;14.217144;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;34.818237;81.57584;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;54.349705;87.57237;0.12524703798250322;0.23297514;0.28082347
141;391;0.06542489;0.21539858;0.13062185;26.660639;0.7301718;1.2171667;1.0552932;0.22753647;0.52540797;3.7976894;22.013704;13.6021185;14.217144;81.57584;74.99012;0.12524703798250322;0.23297514;0.28082347
69;657;0.043058842;0.15859139;0.16631998;32.379578;1.0714658;0.58121026;0.20007676;0.58802396;1.2755853;1.9362683;24.56576;39.88492;34.818237;54.349705;74.99012;0.2145829955256708;0.21353233;0.20165023
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
11;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;373;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.05718038;0.29005095;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08180487561690625;0.16467518;0.34723133
103;871;0.2114625;0.12091903;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.13457186158770748;0.6362041;0.33238152
103;871;0.054734986;0.27764654;0.11265226;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08134962638418393;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;10.88306;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6424919;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.1833043;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;0.3505229;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;2.9161541;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.9036847;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.19734931;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;35.903374;3.6817105;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;12.700619;19.657572;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;3.7686496;99.76814;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;65.30609;95.34565;0.08429526408260049;0.16467518;0.33238152
103;871;0.054734986;0.27764654;0.11470492;37.933193;1.0590912;0.6238239;0.7504436;0.20314454;1.4180455;1.9941587;19.947357;3.6817105;19.657572;99.76814;32.383083;0.08429526408260049;0.16467518;0.33238152
11;373;0.22091;0.12632133;0.11265226;10.88306;1.1833043;0.6424919;0.9036847;0.19734931;0.3505229;2.9161541;35.903374;12.700619;3.7686496;65.30609;32.383083;0.12803617820084612;0.6362041;0.34723133
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
251;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;833;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.08036352;0.10610559;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3309826390822654;0.43097496;0.18646911
164;481;0.057585195;0.13265102;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.30985856257234395;0.30270365;0.19023621
164;481;0.081987046;0.108249165;0.23449224;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.39385068176656446;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;25.715588;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.2908957;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.9606235;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;1.4090691;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;2.3844566;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.62126905;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.8618076;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;17.964832;31.200262;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;32.228825;35.640156;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;27.25204;13.674255;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;43.839207;33.010887;0.3291609081291734;0.43097496;0.19023621
164;481;0.081987046;0.108249165;0.20489945;0.8138229;0.54514563;1.0669086;0.88555163;0.6297114;0.38262862;3.8347921;26.23524;31.200262;35.640156;13.674255;62.513626;0.3291609081291734;0.43097496;0.19023621
251;833;0.05644488;0.13002424;0.23449224;25.715588;0.9606235;1.2908957;0.62126905;0.8618076;1.4090691;2.3844566;17.964832;32.228825;27.25204;43.839207;62.513626;0.3750070480003356;0.30270365;0.18646911
248;1004;0.101408966;0.15702413;0.2171551;20.545862;0.8099697;0.8038821;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.31809912725467016;0.39239928;0.2584331
101;1004;0.101408966;0.15702413;0.2171551;20.545862;0.8099697;0.8038821;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.31809912725467016;0.39239928;0.2584331
248;1112;0.101408966;0.15702413;0.2171551;20.545862;0.8099697;0.8038821;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.31809912725467016;0.39239928;0.2584331
248;1004;0.1147454;0.17767459;0.2171551;20.545862;0.8099697;0.8038821;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.3046071978342101;0.39239928;0.29242
248;1004;0.13548371;0.122949384;0.2171551;20.545862;0.8099697;0.8038821;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.3434631455977329;0.5242506;0.2584331
248;1004;0.101408966;0.15702413;0.1940378;20.545862;0.8099697;0.8038821;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.2707476493990101;0.39239928;0.2584331
248;1004;0.101408966;0.15702413;0.2171551;17.867306;0.8099697;0.8038821;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.31809912725467016;0.39239928;0.2584331
248;1004;0.101408966;0.15702413;0.2171551;20.545862;0.8099697;0.95613813;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.31809912725467016;0.39239928;0.2584331
248;1004;0.101408966;0.15702413;0.2171551;20.545862;1.4472831;0.8038821;1.1863037;0.94014287;0.8720425;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.31809912725467016;0.39239928;0.2584331
248;1004;0.101408966;0.15702413;0.2171551;20.545862;0.8099697;0.8038821;1.1863037;0.94014287;1.0762798;3.0655034;1.560227;18.544092;22.103685;61.894463;8.054845;0.31809912725467016;0.39239928;0.2584331
