;[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-];[-];[mm];[-];[mm];[-]
60;1000;109;706;0.10724581;0.24235867;0.17474714;126.7939;2500;0.3496045;0.30676326;537.5359;1.3438396;314.081;0.7852025
60;1000;69;571;0.10724581;0.24235867;0.17474714;126.7939;2500;0.3496045;0.30676326;537.5359;1.3438396;314.081;0.7852025
60;1000;69;706;0.104096435;0.23524156;0.17474714;126.7939;2500;0.339338;0.30676326;537.5359;1.3438396;314.081;0.7852025
60;1000;69;706;0.062737405;0.28686708;0.17474714;126.7939;2500;0.3496045;0.17945252;537.5359;1.3438396;314.081;0.7852025
60;1000;69;706;0.10724581;0.24235867;0.2243794;126.7939;2500;0.3496045;0.30676326;537.5359;1.3438396;314.081;0.7852025
60;1000;69;706;0.10724581;0.24235867;0.17474714;19.808971;2500;0.3496045;0.30676326;537.5359;1.3438396;314.081;0.7852025
60;1000;109;571;0.060895063;0.27844295;0.2243794;19.808971;2500;0.339338;0.17945252;307.5316;0.7688289;484.62442;1.2115611
60;1000;195;1429;0.055765383;0.20701942;0.20626952;110.86971;2500;0.2627848;0.21220931;620.1158;1.5502894;277.90457;0.69476146
60;1000;195;1429;0.055765383;0.20701942;0.20626952;110.86971;2500;0.2627848;0.21220931;620.1158;1.5502894;593.3262;1.4833155
60;1000;195;1429;0.055765383;0.20701942;0.20626952;110.86971;2500;0.2627848;0.21220931;468.50296;1.1712574;277.90457;0.69476146
60;1000;46;1429;0.055765383;0.20701942;0.20626952;110.86971;2500;0.2627848;0.21220931;620.1158;1.5502894;277.90457;0.69476146
60;1000;195;53;0.055765383;0.20701942;0.20626952;110.86971;2500;0.2627848;0.21220931;620.1158;1.5502894;277.90457;0.69476146
60;1000;195;1429;0.048130028;0.17867446;0.20626952;110.86971;2500;0.2268045;0.21220931;620.1158;1.5502894;277.90457;0.69476146
60;1000;195;1429;0.120673984;0.14211082;0.20626952;110.86971;2500;0.2627848;0.45921218;620.1158;1.5502894;277.90457;0.69476146
60;1000;195;1429;0.055765383;0.20701942;0.2049702;110.86971;2500;0.2627848;0.21220931;620.1158;1.5502894;277.90457;0.69476146
60;1000;195;1429;0.055765383;0.20701942;0.20626952;110.213135;2500;0.2627848;0.21220931;620.1158;1.5502894;277.90457;0.69476146
60;1000;46;53;0.10415139;0.122653104;0.2049702;110.213135;2500;0.2268045;0.45921218;468.50296;1.1712574;593.3262;1.4833155
60;1000;109;354;0.10114181;0.08098839;0.1253409;49.610813;2500;0.1821302;0.55532694;307.30746;0.76826864;408.0974;1.0202435
60;1000;109;354;0.10114181;0.08098839;0.1253409;49.610813;2500;0.1821302;0.55532694;307.30746;0.76826864;255.29446;0.63823617
60;1000;109;354;0.10114181;0.08098839;0.1253409;49.610813;2500;0.1821302;0.55532694;702.6405;1.7566012;408.0974;1.0202435
60;1000;230;354;0.10114181;0.08098839;0.1253409;49.610813;2500;0.1821302;0.55532694;307.30746;0.76826864;408.0974;1.0202435
60;1000;109;1305;0.10114181;0.08098839;0.1253409;49.610813;2500;0.1821302;0.55532694;307.30746;0.76826864;408.0974;1.0202435
60;1000;109;354;0.14164984;0.11342484;0.1253409;49.610813;2500;0.25507468;0.55532694;307.30746;0.76826864;408.0974;1.0202435
60;1000;109;354;0.054094635;0.12803558;0.1253409;49.610813;2500;0.1821302;0.29701078;307.30746;0.76826864;408.0974;1.0202435
60;1000;109;354;0.10114181;0.08098839;0.14426158;49.610813;2500;0.1821302;0.55532694;307.30746;0.76826864;408.0974;1.0202435
60;1000;109;354;0.10114181;0.08098839;0.1253409;48.95037;2500;0.1821302;0.55532694;307.30746;0.76826864;408.0974;1.0202435
60;1000;230;1305;0.07575993;0.17931475;0.14426158;48.95037;2500;0.25507468;0.29701078;702.6405;1.7566012;255.29446;0.63823617
60;1000;28;145;0.06991348;0.099634826;0.18226744;83.60359;2500;0.1695483;0.4123514;685.42163;1.7135541;465.5909;1.1639773
60;1000;28;145;0.06991348;0.099634826;0.18226744;83.60359;2500;0.1695483;0.4123514;685.42163;1.7135541;534.93335;1.3373334
60;1000;28;145;0.06991348;0.099634826;0.18226744;83.60359;2500;0.1695483;0.4123514;274.91733;0.6872933;465.5909;1.1639773
60;1000;44;145;0.06991348;0.099634826;0.18226744;83.60359;2500;0.1695483;0.4123514;685.42163;1.7135541;465.5909;1.1639773
60;1000;28;1084;0.06991348;0.099634826;0.18226744;83.60359;2500;0.1695483;0.4123514;685.42163;1.7135541;465.5909;1.1639773
60;1000;28;145;0.08515764;0.12135953;0.18226744;83.60359;2500;0.20651716;0.4123514;685.42163;1.7135541;465.5909;1.1639773
60;1000;28;145;0.018034138;0.15151416;0.18226744;83.60359;2500;0.1695483;0.10636578;685.42163;1.7135541;465.5909;1.1639773
60;1000;28;145;0.06991348;0.099634826;0.15918821;83.60359;2500;0.1695483;0.4123514;685.42163;1.7135541;465.5909;1.1639773
60;1000;28;145;0.06991348;0.099634826;0.18226744;59.678455;2500;0.1695483;0.4123514;685.42163;1.7135541;465.5909;1.1639773
60;1000;44;1084;0.021966359;0.18455079;0.15918821;59.678455;2500;0.20651716;0.10636578;274.91733;0.6872933;534.93335;1.3373334
60;1000;268;1111;0.09522507;0.18014324;0.11055939;76.89443;2500;0.2753683;0.34580985;289.6555;0.72413874;245.405;0.6135125
60;1000;268;1111;0.09522507;0.18014324;0.11055939;76.89443;2500;0.2753683;0.34580985;289.6555;0.72413874;222.67159;0.55667895
60;1000;268;1111;0.09522507;0.18014324;0.11055939;76.89443;2500;0.2753683;0.34580985;895.7852;2.239463;245.405;0.6135125
60;1000;295;1111;0.09522507;0.18014324;0.11055939;76.89443;2500;0.2753683;0.34580985;289.6555;0.72413874;245.405;0.6135125
60;1000;268;351;0.09522507;0.18014324;0.11055939;76.89443;2500;0.2753683;0.34580985;289.6555;0.72413874;245.405;0.6135125
60;1000;268;1111;0.09844742;0.18623915;0.11055939;76.89443;2500;0.28468657;0.34580985;289.6555;0.72413874;245.405;0.6135125
60;1000;268;1111;0.16176383;0.11360446;0.11055939;76.89443;2500;0.2753683;0.5874454;289.6555;0.72413874;245.405;0.6135125
60;1000;268;1111;0.09522507;0.18014324;0.19239438;76.89443;2500;0.2753683;0.34580985;289.6555;0.72413874;245.405;0.6135125
60;1000;268;1111;0.09522507;0.18014324;0.11055939;89.28849;2500;0.2753683;0.34580985;289.6555;0.72413874;245.405;0.6135125
60;1000;295;351;0.1672378;0.117448755;0.19239438;89.28849;2500;0.28468657;0.5874454;895.7852;2.239463;222.67159;0.55667895
60;1000;140;776;0.05403078;0.2579676;0.22702298;15.76842;2500;0.31199837;0.17317648;882.69293;2.2067323;359.12964;0.8978241
60;1000;140;776;0.05403078;0.2579676;0.22702298;15.76842;2500;0.31199837;0.17317648;882.69293;2.2067323;304.7902;0.76197547
60;1000;140;776;0.05403078;0.2579676;0.22702298;15.76842;2500;0.31199837;0.17317648;599.89777;1.4997444;359.12964;0.8978241
60;1000;159;776;0.05403078;0.2579676;0.22702298;15.76842;2500;0.31199837;0.17317648;882.69293;2.2067323;359.12964;0.8978241
60;1000;140;823;0.05403078;0.2579676;0.22702298;15.76842;2500;0.31199837;0.17317648;882.69293;2.2067323;359.12964;0.8978241
60;1000;140;776;0.034154937;0.16307124;0.22702298;15.76842;2500;0.19722618;0.17317648;882.69293;2.2067323;359.12964;0.8978241
60;1000;140;776;0.11849183;0.19350654;0.22702298;15.76842;2500;0.31199837;0.37978348;882.69293;2.2067323;359.12964;0.8978241
60;1000;140;776;0.05403078;0.2579676;0.24695963;15.76842;2500;0.31199837;0.17317648;882.69293;2.2067323;359.12964;0.8978241
60;1000;140;776;0.05403078;0.2579676;0.22702298;36.26797;2500;0.31199837;0.17317648;882.69293;2.2067323;359.12964;0.8978241
60;1000;159;823;0.07490324;0.12232293;0.24695963;36.26797;2500;0.19722618;0.37978348;599.89777;1.4997444;304.7902;0.76197547
60;1000;163;1996;0.16201192;0.080293536;0.14140795;135.93703;2500;0.24230546;0.6686268;384.97382;0.96243453;526.77313;1.3169328
60;1000;163;1996;0.16201192;0.080293536;0.14140795;135.93703;2500;0.24230546;0.6686268;384.97382;0.96243453;443.4154;1.1085385
60;1000;163;1996;0.16201192;0.080293536;0.14140795;135.93703;2500;0.24230546;0.6686268;481.06723;1.2026681;526.77313;1.3169328
60;1000;126;1996;0.16201192;0.080293536;0.14140795;135.93703;2500;0.24230546;0.6686268;384.97382;0.96243453;526.77313;1.3169328
60;1000;163;1587;0.16201192;0.080293536;0.14140795;135.93703;2500;0.24230546;0.6686268;384.97382;0.96243453;526.77313;1.3169328
60;1000;163;1996;0.21326049;0.10569246;0.14140795;135.93703;2500;0.31895295;0.6686268;384.97382;0.96243453;526.77313;1.3169328
60;1000;163;1996;0.1299017;0.11240375;0.14140795;135.93703;2500;0.24230546;0.53610724;384.97382;0.96243453;526.77313;1.3169328
60;1000;163;1996;0.16201192;0.080293536;0.10139995;135.93703;2500;0.24230546;0.6686268;384.97382;0.96243453;526.77313;1.3169328
60;1000;163;1996;0.16201192;0.080293536;0.14140795;115.691414;2500;0.24230546;0.6686268;384.97382;0.96243453;526.77313;1.3169328
60;1000;126;1587;0.17099299;0.14795996;0.10139995;115.691414;2500;0.31895295;0.53610724;481.06723;1.2026681;443.4154;1.1085385
60;1000;122;1236;0.19272587;0.13387913;0.19087091;94.90986;2500;0.326605;0.59008855;579.49805;1.4487451;522.09467;1.3052367
60;1000;122;1236;0.19272587;0.13387913;0.19087091;94.90986;2500;0.326605;0.59008855;579.49805;1.4487451;520.8692;1.302173
60;1000;122;1236;0.19272587;0.13387913;0.19087091;94.90986;2500;0.326605;0.59008855;664.2847;1.6607118;522.09467;1.3052367
60;1000;145;1236;0.19272587;0.13387913;0.19087091;94.90986;2500;0.326605;0.59008855;579.49805;1.4487451;522.09467;1.3052367
60;1000;122;1960;0.19272587;0.13387913;0.19087091;94.90986;2500;0.326605;0.59008855;579.49805;1.4487451;522.09467;1.3052367
60;1000;122;1236;0.173876;0.120784864;0.19087091;94.90986;2500;0.29466087;0.59008855;579.49805;1.4487451;522.09467;1.3052367
60;1000;122;1236;0.11781239;0.20879261;0.19087091;94.90986;2500;0.326605;0.36071828;579.49805;1.4487451;522.09467;1.3052367
60;1000;122;1236;0.19272587;0.13387913;0.19458343;94.90986;2500;0.326605;0.59008855;579.49805;1.4487451;522.09467;1.3052367
60;1000;122;1236;0.19272587;0.13387913;0.19087091;69.27132;2500;0.326605;0.59008855;579.49805;1.4487451;522.09467;1.3052367
60;1000;145;1960;0.10628956;0.18837132;0.19458343;69.27132;2500;0.29466087;0.36071828;664.2847;1.6607118;520.8692;1.302173
60;1000;181;16;0.053671487;0.16776662;0.103195995;65.36691;2500;0.2214381;0.24237694;350.7133;0.87678325;391.93536;0.9798384
60;1000;181;16;0.053671487;0.16776662;0.103195995;65.36691;2500;0.2214381;0.24237694;350.7133;0.87678325;233.6108;0.584027
60;1000;181;16;0.053671487;0.16776662;0.103195995;65.36691;2500;0.2214381;0.24237694;404.8395;1.0120988;391.93536;0.9798384
60;1000;179;16;0.053671487;0.16776662;0.103195995;65.36691;2500;0.2214381;0.24237694;350.7133;0.87678325;391.93536;0.9798384
60;1000;181;700;0.053671487;0.16776662;0.103195995;65.36691;2500;0.2214381;0.24237694;350.7133;0.87678325;391.93536;0.9798384
60;1000;181;16;0.053987388;0.16875406;0.103195995;65.36691;2500;0.22274144;0.24237694;350.7133;0.87678325;391.93536;0.9798384
60;1000;181;16;0.10644861;0.114989474;0.103195995;65.36691;2500;0.2214381;0.480715;350.7133;0.87678325;391.93536;0.9798384
60;1000;181;16;0.053671487;0.16776662;0.1525882;65.36691;2500;0.2214381;0.24237694;350.7133;0.87678325;391.93536;0.9798384
60;1000;181;16;0.053671487;0.16776662;0.103195995;80.40706;2500;0.2214381;0.24237694;350.7133;0.87678325;391.93536;0.9798384
60;1000;179;700;0.107075155;0.11566628;0.1525882;80.40706;2500;0.22274144;0.480715;404.8395;1.0120988;233.6108;0.584027
60;1000;10;1871;0.0528222;0.13805883;0.22171023;9.233446;2500;0.19088103;0.2767284;809.7288;2.024322;203.21262;0.50803155
60;1000;10;1871;0.0528222;0.13805883;0.22171023;9.233446;2500;0.19088103;0.2767284;809.7288;2.024322;337.60135;0.8440034
60;1000;10;1871;0.0528222;0.13805883;0.22171023;9.233446;2500;0.19088103;0.2767284;339.48846;0.84872115;203.21262;0.50803155
60;1000;278;1871;0.0528222;0.13805883;0.22171023;9.233446;2500;0.19088103;0.2767284;809.7288;2.024322;203.21262;0.50803155
60;1000;10;226;0.0528222;0.13805883;0.22171023;9.233446;2500;0.19088103;0.2767284;809.7288;2.024322;203.21262;0.50803155
60;1000;10;1871;0.08584161;0.22436006;0.22171023;9.233446;2500;0.31020167;0.2767284;809.7288;2.024322;203.21262;0.50803155
60;1000;10;1871;0.031093692;0.15978733;0.22171023;9.233446;2500;0.19088103;0.16289566;809.7288;2.024322;203.21262;0.50803155
60;1000;10;1871;0.0528222;0.13805883;0.13669491;9.233446;2500;0.19088103;0.2767284;809.7288;2.024322;203.21262;0.50803155
60;1000;10;1871;0.0528222;0.13805883;0.22171023;26.960907;2500;0.19088103;0.2767284;809.7288;2.024322;203.21262;0.50803155
60;1000;278;226;0.05053051;0.25967115;0.13669491;26.960907;2500;0.31020167;0.16289566;339.48846;0.84872115;337.60135;0.8440034
60;1000;286;905;0.12776631;0.13253295;0.14796051;142.81715;2500;0.26029927;0.4908439;502.89703;1.2572426;485.9075;1.2147688
60;1000;286;905;0.12776631;0.13253295;0.14796051;142.81715;2500;0.26029927;0.4908439;502.89703;1.2572426;401.2292;1.003073
60;1000;286;905;0.12776631;0.13253295;0.14796051;142.81715;2500;0.26029927;0.4908439;819.7198;2.0492995;485.9075;1.2147688
60;1000;27;905;0.12776631;0.13253295;0.14796051;142.81715;2500;0.26029927;0.4908439;502.89703;1.2572426;485.9075;1.2147688
60;1000;286;1455;0.12776631;0.13253295;0.14796051;142.81715;2500;0.26029927;0.4908439;502.89703;1.2572426;485.9075;1.2147688
60;1000;286;905;0.08944397;0.0927809;0.14796051;142.81715;2500;0.18222487;0.4908439;502.89703;1.2572426;485.9075;1.2147688
60;1000;286;905;0.15756033;0.10273894;0.14796051;142.81715;2500;0.26029927;0.60530454;502.89703;1.2572426;485.9075;1.2147688
60;1000;286;905;0.12776631;0.13253295;0.21604365;142.81715;2500;0.26029927;0.4908439;502.89703;1.2572426;485.9075;1.2147688
60;1000;286;905;0.12776631;0.13253295;0.14796051;124.29169;2500;0.26029927;0.4908439;502.89703;1.2572426;485.9075;1.2147688
60;1000;27;1455;0.11030154;0.07192333;0.21604365;124.29169;2500;0.18222487;0.60530454;819.7198;2.0492995;401.2292;1.003073
60;1000;213;587;0.18728374;0.11040653;0.2444403;36.342495;2500;0.29769027;0.6291228;832.957;2.0823925;440.91687;1.1022922
60;1000;213;587;0.18728374;0.11040653;0.2444403;36.342495;2500;0.29769027;0.6291228;832.957;2.0823925;384.28598;0.96071494
60;1000;213;587;0.18728374;0.11040653;0.2444403;36.342495;2500;0.29769027;0.6291228;527.08575;1.3177145;440.91687;1.1022922
60;1000;249;587;0.18728374;0.11040653;0.2444403;36.342495;2500;0.29769027;0.6291228;832.957;2.0823925;440.91687;1.1022922
60;1000;213;1180;0.18728374;0.11040653;0.2444403;36.342495;2500;0.29769027;0.6291228;832.957;2.0823925;440.91687;1.1022922
60;1000;213;587;0.20794795;0.1225884;0.2444403;36.342495;2500;0.33053637;0.6291228;832.957;2.0823925;440.91687;1.1022922
60;1000;213;587;0.11986442;0.17782585;0.2444403;36.342495;2500;0.29769027;0.4026481;832.957;2.0823925;440.91687;1.1022922
60;1000;213;587;0.18728374;0.11040653;0.23624343;36.342495;2500;0.29769027;0.6291228;832.957;2.0823925;440.91687;1.1022922
60;1000;213;587;0.18728374;0.11040653;0.2444403;149.74765;2500;0.29769027;0.6291228;832.957;2.0823925;440.91687;1.1022922
60;1000;249;1180;0.13308984;0.19744653;0.23624343;149.74765;2500;0.33053637;0.4026481;527.08575;1.3177145;384.28598;0.96071494
60;1000;90;1661;0.019811064;0.1336744;0.1614517;115.72601;2500;0.15348546;0.12907453;431.91748;1.0797937;273.20938;0.68302345
60;1000;90;1661;0.019811064;0.1336744;0.1614517;115.72601;2500;0.15348546;0.12907453;431.91748;1.0797937;470.56027;1.1764007
60;1000;90;1661;0.019811064;0.1336744;0.1614517;115.72601;2500;0.15348546;0.12907453;631.86005;1.57965;273.20938;0.68302345
60;1000;65;1661;0.019811064;0.1336744;0.1614517;115.72601;2500;0.15348546;0.12907453;431.91748;1.0797937;273.20938;0.68302345
60;1000;90;424;0.019811064;0.1336744;0.1614517;115.72601;2500;0.15348546;0.12907453;431.91748;1.0797937;273.20938;0.68302345
60;1000;90;1661;0.019679338;0.13278559;0.1614517;115.72601;2500;0.15246493;0.12907453;431.91748;1.0797937;273.20938;0.68302345
60;1000;90;1661;0.04284047;0.11064499;0.1614517;115.72601;2500;0.15348546;0.27911744;431.91748;1.0797937;273.20938;0.68302345
60;1000;90;1661;0.019811064;0.1336744;0.10947037;115.72601;2500;0.15348546;0.12907453;431.91748;1.0797937;273.20938;0.68302345
60;1000;90;1661;0.019811064;0.1336744;0.1614517;11.701225;2500;0.15348546;0.12907453;431.91748;1.0797937;273.20938;0.68302345
60;1000;65;424;0.04255562;0.1099093;0.10947037;11.701225;2500;0.15246493;0.27911744;631.86005;1.57965;470.56027;1.1764007
60;1000;246;473;0.09121122;0.14264248;0.19502473;103.87399;2500;0.23385371;0.3900354;737.6404;1.844101;334.38998;0.835975
60;1000;246;473;0.09121122;0.14264248;0.19502473;103.87399;2500;0.23385371;0.3900354;737.6404;1.844101;551.13995;1.3778499
60;1000;246;473;0.09121122;0.14264248;0.19502473;103.87399;2500;0.23385371;0.3900354;832.1165;2.0802913;334.38998;0.835975
60;1000;93;473;0.09121122;0.14264248;0.19502473;103.87399;2500;0.23385371;0.3900354;737.6404;1.844101;334.38998;0.835975
60;1000;246;945;0.09121122;0.14264248;0.19502473;103.87399;2500;0.23385371;0.3900354;737.6404;1.844101;334.38998;0.835975
60;1000;246;473;0.103358835;0.16163978;0.19502473;103.87399;2500;0.2649986;0.3900354;737.6404;1.844101;334.38998;0.835975
60;1000;246;473;0.15755239;0.076301314;0.19502473;103.87399;2500;0.23385371;0.673722;737.6404;1.844101;334.38998;0.835975
60;1000;246;473;0.09121122;0.14264248;0.16989528;103.87399;2500;0.23385371;0.3900354;737.6404;1.844101;334.38998;0.835975
60;1000;246;473;0.09121122;0.14264248;0.19502473;100.26373;2500;0.23385371;0.3900354;737.6404;1.844101;334.38998;0.835975
60;1000;93;945;0.1785354;0.08646321;0.16989528;100.26373;2500;0.2649986;0.673722;832.1165;2.0802913;551.13995;1.3778499
60;1000;51;1306;0.1419503;0.17223455;0.13533641;56.385277;2500;0.31418484;0.45180506;234.64792;0.5866198;554.634;1.3865849
60;1000;51;1306;0.1419503;0.17223455;0.13533641;56.385277;2500;0.31418484;0.45180506;234.64792;0.5866198;288.1056;0.72026396
60;1000;51;1306;0.1419503;0.17223455;0.13533641;56.385277;2500;0.31418484;0.45180506;236.56721;0.591418;554.634;1.3865849
60;1000;204;1306;0.1419503;0.17223455;0.13533641;56.385277;2500;0.31418484;0.45180506;234.64792;0.5866198;554.634;1.3865849
60;1000;51;1670;0.1419503;0.17223455;0.13533641;56.385277;2500;0.31418484;0.45180506;234.64792;0.5866198;554.634;1.3865849
60;1000;51;1306;0.109778896;0.13319956;0.13533641;56.385277;2500;0.24297845;0.45180506;234.64792;0.5866198;554.634;1.3865849
60;1000;51;1306;0.07377391;0.24041094;0.13533641;56.385277;2500;0.31418484;0.23481055;234.64792;0.5866198;554.634;1.3865849
60;1000;51;1306;0.1419503;0.17223455;0.18431482;56.385277;2500;0.31418484;0.45180506;234.64792;0.5866198;554.634;1.3865849
60;1000;51;1306;0.1419503;0.17223455;0.13533641;57.343082;2500;0.31418484;0.45180506;234.64792;0.5866198;554.634;1.3865849
60;1000;204;1670;0.057053905;0.18592456;0.18431482;57.343082;2500;0.24297845;0.23481055;236.56721;0.591418;288.1056;0.72026396
60;1000;186;851;0.017902017;0.1609851;0.17020781;99.4952;2500;0.17888711;0.10007438;708.16113;1.7704029;567.90283;1.4197571
60;1000;186;851;0.017902017;0.1609851;0.17020781;99.4952;2500;0.17888711;0.10007438;708.16113;1.7704029;241.22043;0.60305107
60;1000;186;851;0.017902017;0.1609851;0.17020781;99.4952;2500;0.17888711;0.10007438;900.0334;2.2500834;567.90283;1.4197571
60;1000;193;851;0.017902017;0.1609851;0.17020781;99.4952;2500;0.17888711;0.10007438;708.16113;1.7704029;567.90283;1.4197571
60;1000;186;1024;0.017902017;0.1609851;0.17020781;99.4952;2500;0.17888711;0.10007438;708.16113;1.7704029;567.90283;1.4197571
60;1000;186;851;0.031418547;0.28253338;0.17020781;99.4952;2500;0.31395194;0.10007438;708.16113;1.7704029;567.90283;1.4197571
60;1000;186;851;0.02365542;0.15523168;0.17020781;99.4952;2500;0.17888711;0.13223659;708.16113;1.7704029;567.90283;1.4197571
60;1000;186;851;0.017902017;0.1609851;0.15015982;99.4952;2500;0.17888711;0.10007438;708.16113;1.7704029;567.90283;1.4197571
60;1000;186;851;0.017902017;0.1609851;0.17020781;132.62108;2500;0.17888711;0.10007438;708.16113;1.7704029;567.90283;1.4197571
60;1000;193;1024;0.04151593;0.272436;0.15015982;132.62108;2500;0.31395194;0.13223659;900.0334;2.2500834;241.22043;0.60305107
60;1000;128;1925;0.17941764;0.093643;0.23692632;52.006905;2500;0.27306065;0.6570615;222.03271;0.5550818;349.22165;0.87305415
60;1000;128;1925;0.17941764;0.093643;0.23692632;52.006905;2500;0.27306065;0.6570615;222.03271;0.5550818;504.25082;1.260627
60;1000;128;1925;0.17941764;0.093643;0.23692632;52.006905;2500;0.27306065;0.6570615;259.48404;0.64871013;349.22165;0.87305415
60;1000;86;1925;0.17941764;0.093643;0.23692632;52.006905;2500;0.27306065;0.6570615;222.03271;0.5550818;349.22165;0.87305415
60;1000;128;268;0.17941764;0.093643;0.23692632;52.006905;2500;0.27306065;0.6570615;222.03271;0.5550818;349.22165;0.87305415
60;1000;128;1925;0.12623557;0.06588582;0.23692632;52.006905;2500;0.1921214;0.6570615;222.03271;0.5550818;349.22165;0.87305415
60;1000;128;1925;0.15053399;0.12252666;0.23692632;52.006905;2500;0.27306065;0.5512841;222.03271;0.5550818;349.22165;0.87305415
60;1000;128;1925;0.17941764;0.093643;0.20149346;52.006905;2500;0.27306065;0.6570615;222.03271;0.5550818;349.22165;0.87305415
60;1000;128;1925;0.17941764;0.093643;0.23692632;16.912249;2500;0.27306065;0.6570615;222.03271;0.5550818;349.22165;0.87305415
60;1000;86;268;0.10591347;0.08620793;0.20149346;16.912249;2500;0.1921214;0.5512841;259.48404;0.64871013;504.25082;1.260627
60;1000;299;209;0.15688887;0.1826854;0.12079246;40.720325;2500;0.33957428;0.46201637;859.6402;2.1491005;261.47812;0.6536953
60;1000;299;209;0.15688887;0.1826854;0.12079246;40.720325;2500;0.33957428;0.46201637;859.6402;2.1491005;423.69467;1.0592366
60;1000;299;209;0.15688887;0.1826854;0.12079246;40.720325;2500;0.33957428;0.46201637;504.91602;1.26229;261.47812;0.6536953
60;1000;77;209;0.15688887;0.1826854;0.12079246;40.720325;2500;0.33957428;0.46201637;859.6402;2.1491005;261.47812;0.6536953
60;1000;299;786;0.15688887;0.1826854;0.12079246;40.720325;2500;0.33957428;0.46201637;859.6402;2.1491005;261.47812;0.6536953
60;1000;299;209;0.12921931;0.15046626;0.12079246;40.720325;2500;0.27968556;0.46201637;859.6402;2.1491005;261.47812;0.6536953
60;1000;299;209;0.12959202;0.20998226;0.12079246;40.720325;2500;0.33957428;0.38163084;859.6402;2.1491005;261.47812;0.6536953
60;1000;299;209;0.15688887;0.1826854;0.21855898;40.720325;2500;0.33957428;0.46201637;859.6402;2.1491005;261.47812;0.6536953
60;1000;299;209;0.15688887;0.1826854;0.12079246;108.608795;2500;0.33957428;0.46201637;859.6402;2.1491005;261.47812;0.6536953
60;1000;77;786;0.10673663;0.17294893;0.21855898;108.608795;2500;0.27968556;0.38163084;504.91602;1.26229;423.69467;1.0592366
60;1000;23;1043;0.07968904;0.12957165;0.2108111;120.105354;2500;0.20926069;0.3808123;452.96472;1.1324118;430.74875;1.0768719
60;1000;23;1043;0.07968904;0.12957165;0.2108111;120.105354;2500;0.20926069;0.3808123;452.96472;1.1324118;337.4259;0.84356475
60;1000;23;1043;0.07968904;0.12957165;0.2108111;120.105354;2500;0.20926069;0.3808123;564.6902;1.4117255;430.74875;1.0768719
60;1000;256;1043;0.07968904;0.12957165;0.2108111;120.105354;2500;0.20926069;0.3808123;452.96472;1.1324118;430.74875;1.0768719
60;1000;23;1511;0.07968904;0.12957165;0.2108111;120.105354;2500;0.20926069;0.3808123;452.96472;1.1324118;430.74875;1.0768719
60;1000;23;1043;0.07670031;0.12471207;0.2108111;120.105354;2500;0.20141238;0.3808123;452.96472;1.1324118;430.74875;1.0768719
60;1000;23;1043;0.10989141;0.09936928;0.2108111;120.105354;2500;0.20926069;0.5251412;452.96472;1.1324118;430.74875;1.0768719
60;1000;23;1043;0.07968904;0.12957165;0.12987185;120.105354;2500;0.20926069;0.3808123;452.96472;1.1324118;430.74875;1.0768719
60;1000;23;1043;0.07968904;0.12957165;0.2108111;42.784145;2500;0.20926069;0.3808123;452.96472;1.1324118;430.74875;1.0768719
60;1000;256;1511;0.10576993;0.09564245;0.12987185;42.784145;2500;0.20141238;0.5251412;564.6902;1.4117255;337.4259;0.84356475
