;[%];[m/m];[mm];[mm];[1/m2];[mm];[1/m2];[-];[-];[-];[-];[mm/h];[mm/h]
8;0;0.02;0;300;100;300;125;0.1604;0.0952;0.1348;0.26312;9.49;0.1
8;0;0.02;0;300;100;300;125;0.1525;0.0889;0.1723;0.2943;9.23;0.1
9;0;0.02;0;300;100;300;125;0.3364;0.1249;0.1791;0.44822;9.02;0.1
9;0;0.02;0;300;100;300;125;0.2292;0.0886;0.2011;0.38446;5.53;0.1
9;0;0.02;0;300;100;300;125;0.1307;0.0821;0.1486;0.25316;10.88;0.1
9;0;0.02;0;300;100;300;125;0.1282;0.094;0.1267;0.22926;13.9;0.1
9;0;0.02;0;300;100;300;125;0.1291;0.099;0.1127;0.21598;22.52;0.1
9;0;0.02;0;300;100;300;125;0.1384;0.0846;0.1964;0.30712;11.04;0.1
9;0;0.02;0;300;100;300;125;0.1165;0.0692;0.2187;0.3119;4.37;0.1
9;0;0.02;0;300;100;300;125;0.1168;0.0594;0.227;0.32044;3.52;0.1
9;0;0.02;0;300;100;300;125;0.1425;0.0831;0.1886;0.3026;10.18;0.1
9;0;0.02;0;300;100;300;125;0.0971;0.1607;0.0688;0.14648;79.84;0.1
9;0;0.02;0;300;100;300;125;0.1092;0.1307;0.0768;0.16416;41.75;0.1
9;0;0.02;0;300;100;300;125;0.1209;0.1099;0.1068;0.20352;26.3;0.1
9;0;0.02;0;300;100;300;125;0.1376;0.0892;0.1316;0.24168;11.48;0.1
9;0;0.02;0;300;100;300;125;0.0998;0.1403;0.0409;0.12074;42.18;0.1
9;0;0.02;0;300;100;300;125;0.0714;0.1397;0.0406;0.09772;48.69;0.1
9;0;0.02;0;300;100;300;125;0.1323;0.1494;0.081;0.18684;29;0.1
9;0;0.02;0;300;100;300;125;0.1789;0.1194;0.0797;0.22282;17.08;0.1
9;0;0.02;0;300;100;300;125;0.109;0.0952;0.2351;0.3223;9.26;0.1
9;0;0.02;0;300;100;300;125;0.1362;0.0905;0.2359;0.34486;9.92;0.1
9;0;0.02;0;300;100;300;125;0.1498;0.0913;0.1807;0.30054;9.47;0.1
9;0;0.02;0;300;100;300;125;0.1456;0.0851;0.1478;0.26428;11.38;0.1
9;0;0.02;0;300;100;300;125;0.1773;0.1197;0.1087;0.25054;11.41;0.1
9;0;0.02;0;300;100;300;125;0.1287;0.0706;0.168;0.27096;7.3;0.1
9;0;0.02;0;300;100;300;125;0.1604;0.0952;0.1348;0.26312;9.49;0.1
9;0;0.02;0;300;100;300;125;0.1525;0.0889;0.1723;0.2943;9.23;0.1
10;0;0.02;20;300;150;300;150;0.3364;0.1249;0.1791;0.44822;9.02;0.1
10;0;0.02;20;300;150;300;150;0.2292;0.0886;0.2011;0.38446;5.53;0.1
10;0;0.02;0;300;150;300;150;0.1307;0.0821;0.1486;0.25316;10.88;0.1
10;0;0.02;0;300;150;300;150;0.1282;0.094;0.1267;0.22926;13.9;0.1
10;0;0.02;0;300;150;300;150;0.1291;0.099;0.1127;0.21598;22.52;0.1
10;0;0.02;0;300;150;300;150;0.1384;0.0846;0.1964;0.30712;11.04;0.1
10;0;0.02;0;300;150;300;150;0.1165;0.0692;0.2187;0.3119;4.37;0.1
10;0;0.02;0;300;150;300;150;0.1168;0.0594;0.227;0.32044;3.52;0.1
10;0;0.02;0;300;150;300;150;0.1425;0.0831;0.1886;0.3026;10.18;0.1
10;0;0.02;0;300;150;300;150;0.0971;0.1607;0.0688;0.14648;79.84;0.1
10;0;0.02;0;300;150;300;150;0.1092;0.1307;0.0768;0.16416;41.75;0.1
10;0;0.02;0;300;150;300;150;0.1209;0.1099;0.1068;0.20352;26.3;0.1
10;0;0.02;0;300;150;300;150;0.1376;0.0892;0.1316;0.24168;11.48;0.1
10;0;0.02;0;300;150;300;150;0.0998;0.1403;0.0409;0.12074;42.18;0.1
10;0;0.02;0;300;150;300;150;0.0714;0.1397;0.0406;0.09772;48.69;0.1
10;0;0.02;0;300;150;300;150;0.1323;0.1494;0.081;0.18684;29;0.1
10;0;0.02;0;300;150;300;150;0.1789;0.1194;0.0797;0.22282;17.08;0.1
10;0;0.02;0;300;150;300;150;0.109;0.0952;0.2351;0.3223;9.26;0.1
10;0;0.02;0;300;150;300;150;0.1362;0.0905;0.2359;0.34486;9.92;0.1
10;0;0.02;0;300;150;300;150;0.1498;0.0913;0.1807;0.30054;9.47;0.1
10;0;0.02;0;300;150;300;150;0.1456;0.0851;0.1478;0.26428;11.38;0.1
10;0;0.02;0;300;150;300;150;0.1773;0.1197;0.1087;0.25054;11.41;0.1
10;0;0.02;0;300;150;300;150;0.1287;0.0706;0.168;0.27096;7.3;0.1
10;0;0.02;0;300;150;300;150;0.1604;0.0952;0.1348;0.26312;9.49;0.1
10;0;0.02;0;300;150;300;150;0.1525;0.0889;0.1723;0.2943;9.23;0.1
11;0;0.02;20;300;150;300;150;0.3364;0.1249;0.1791;0.44822;9.02;0.1
11;0;0.02;20;300;150;300;150;0.2292;0.0886;0.2011;0.38446;5.53;0.1
11;0;0.02;0;300;150;300;150;0.1307;0.0821;0.1486;0.25316;10.88;0.1
11;0;0.02;0;300;150;300;150;0.1282;0.094;0.1267;0.22926;13.9;0.1
11;0;0.02;0;300;150;300;150;0.1291;0.099;0.1127;0.21598;22.52;0.1
11;0;0.02;0;300;150;300;150;0.1384;0.0846;0.1964;0.30712;11.04;0.1
11;0;0.02;0;300;150;300;150;0.1165;0.0692;0.2187;0.3119;4.37;0.1
11;0;0.02;0;300;150;300;150;0.1168;0.0594;0.227;0.32044;3.52;0.1
11;0;0.02;0;300;150;300;150;0.1425;0.0831;0.1886;0.3026;10.18;0.1
11;0;0.02;0;300;150;300;150;0.0971;0.1607;0.0688;0.14648;79.84;0.1
11;0;0.02;0;300;150;300;150;0.1092;0.1307;0.0768;0.16416;41.75;0.1
11;0;0.02;0;300;150;300;150;0.1209;0.1099;0.1068;0.20352;26.3;0.1
11;0;0.02;0;300;150;300;150;0.1376;0.0892;0.1316;0.24168;11.48;0.1
11;0;0.02;0;300;150;300;150;0.0998;0.1403;0.0409;0.12074;42.18;0.1
11;0;0.02;0;300;150;300;150;0.0714;0.1397;0.0406;0.09772;48.69;0.1
11;0;0.02;0;300;150;300;150;0.1323;0.1494;0.081;0.18684;29;0.1
11;0;0.02;0;300;150;300;150;0.1789;0.1194;0.0797;0.22282;17.08;0.1
11;0;0.02;0;300;150;300;150;0.109;0.0952;0.2351;0.3223;9.26;0.1
11;0;0.02;0;300;150;300;150;0.1362;0.0905;0.2359;0.34486;9.92;0.1
11;0;0.02;0;300;150;300;150;0.1498;0.0913;0.1807;0.30054;9.47;0.1
11;0;0.02;0;300;150;300;150;0.1456;0.0851;0.1478;0.26428;11.38;0.1
11;0;0.02;0;300;150;300;150;0.1773;0.1197;0.1087;0.25054;11.41;0.1
11;0;0.02;0;300;150;300;150;0.1287;0.0706;0.168;0.27096;7.3;0.1
11;0;0.02;0;300;150;300;150;0.1604;0.0952;0.1348;0.26312;9.49;0.1
11;0;0.02;0;300;150;300;150;0.1525;0.0889;0.1723;0.2943;9.23;0.1
12;0;0.02;20;300;150;300;150;0.3364;0.1249;0.1791;0.44822;9.02;0.1
12;0;0.02;20;300;150;300;150;0.2292;0.0886;0.2011;0.38446;5.53;0.1
12;0;0.02;0;300;150;300;150;0.1307;0.0821;0.1486;0.25316;10.88;0.1
12;0;0.02;0;300;150;300;150;0.1282;0.094;0.1267;0.22926;13.9;0.1
12;0;0.02;0;300;150;300;150;0.1291;0.099;0.1127;0.21598;22.52;0.1
12;0;0.02;0;300;150;300;150;0.1384;0.0846;0.1964;0.30712;11.04;0.1
12;0;0.02;0;300;150;300;150;0.1165;0.0692;0.2187;0.3119;4.37;0.1
12;0;0.02;0;300;150;300;150;0.1168;0.0594;0.227;0.32044;3.52;0.1
12;0;0.02;0;300;150;300;150;0.1425;0.0831;0.1886;0.3026;10.18;0.1
12;0;0.02;0;300;150;300;150;0.0971;0.1607;0.0688;0.14648;79.84;0.1
12;0;0.02;0;300;150;300;150;0.1092;0.1307;0.0768;0.16416;41.75;0.1
12;0;0.02;0;300;150;300;150;0.1209;0.1099;0.1068;0.20352;26.3;0.1
12;0;0.02;0;300;150;300;150;0.1376;0.0892;0.1316;0.24168;11.48;0.1
12;0;0.02;0;300;150;300;150;0.0998;0.1403;0.0409;0.12074;42.18;0.1
12;0;0.02;0;300;150;300;150;0.0714;0.1397;0.0406;0.09772;48.69;0.1
12;0;0.02;0;300;150;300;150;0.1323;0.1494;0.081;0.18684;29;0.1
12;0;0.02;0;300;150;300;150;0.1789;0.1194;0.0797;0.22282;17.08;0.1
12;0;0.02;0;300;150;300;150;0.109;0.0952;0.2351;0.3223;9.26;0.1
12;0;0.02;0;300;150;300;150;0.1362;0.0905;0.2359;0.34486;9.92;0.1
12;0;0.02;0;300;150;300;150;0.1498;0.0913;0.1807;0.30054;9.47;0.1
12;0;0.02;0;300;150;300;150;0.1456;0.0851;0.1478;0.26428;11.38;0.1
12;0;0.02;0;300;150;300;150;0.1773;0.1197;0.1087;0.25054;11.41;0.1
12;0;0.02;0;300;150;300;150;0.1287;0.0706;0.168;0.27096;7.3;0.1
12;0;0.02;0;300;150;300;150;0.1604;0.0952;0.1348;0.26312;9.49;0.1
12;0;0.02;0;300;150;300;150;0.1525;0.0889;0.1723;0.2943;9.23;0.1
13;0;0.02;20;300;100;300;125;0.3364;0.1249;0.1791;0.44822;9.02;0.1
13;0;0.02;20;300;100;300;125;0.2292;0.0886;0.2011;0.38446;5.53;0.1
13;0;0.02;0;300;100;300;125;0.1307;0.0821;0.1486;0.25316;10.88;0.1
13;0;0.02;0;300;100;300;125;0.1282;0.094;0.1267;0.22926;13.9;0.1
13;0;0.02;0;300;100;300;125;0.1291;0.099;0.1127;0.21598;22.52;0.1
13;0;0.02;0;300;100;300;125;0.1384;0.0846;0.1964;0.30712;11.04;0.1
13;0;0.02;0;300;100;300;125;0.1165;0.0692;0.2187;0.3119;4.37;0.1
13;0;0.02;0;300;100;300;125;0.1168;0.0594;0.227;0.32044;3.52;0.1
13;0;0.02;0;300;100;300;125;0.1425;0.0831;0.1886;0.3026;10.18;0.1
13;0;0.02;0;300;100;300;125;0.0971;0.1607;0.0688;0.14648;79.84;0.1
13;0;0.02;0;300;100;300;125;0.1092;0.1307;0.0768;0.16416;41.75;0.1
13;0;0.02;0;300;100;300;125;0.1209;0.1099;0.1068;0.20352;26.3;0.1
13;0;0.02;0;300;100;300;125;0.1376;0.0892;0.1316;0.24168;11.48;0.1
13;0;0.02;0;300;100;300;125;0.0998;0.1403;0.0409;0.12074;42.18;0.1
13;0;0.02;0;300;100;300;125;0.0714;0.1397;0.0406;0.09772;48.69;0.1
13;0;0.02;0;300;100;300;125;0.1323;0.1494;0.081;0.18684;29;0.1
13;0;0.02;0;300;100;300;125;0.1789;0.1194;0.0797;0.22282;17.08;0.1
13;0;0.02;0;300;100;300;125;0.109;0.0952;0.2351;0.3223;9.26;0.1
13;0;0.02;0;300;100;300;125;0.1362;0.0905;0.2359;0.34486;9.92;0.1
13;0;0.02;0;300;100;300;125;0.1498;0.0913;0.1807;0.30054;9.47;0.1
13;0;0.02;0;300;100;300;125;0.1456;0.0851;0.1478;0.26428;11.38;0.1
13;0;0.02;0;300;100;300;125;0.1773;0.1197;0.1087;0.25054;11.41;0.1
13;0;0.02;0;300;100;300;125;0.1287;0.0706;0.168;0.27096;7.3;0.1
13;0;0.02;0;300;100;300;125;0.1604;0.0952;0.1348;0.26312;9.49;0.1
13;0;0.02;0;300;100;300;125;0.1525;0.0889;0.1723;0.2943;9.23;0.1
5;0;0.05;0;300;75;300;125;0.3364;0.1249;0.1791;0.44822;9.02;0.1
5;0;0.05;0;300;75;300;125;0.2292;0.0886;0.2011;0.38446;5.53;0.1
5;0;0.05;0;300;75;300;125;0.1307;0.0821;0.1486;0.25316;10.88;0.1
5;0;0.05;0;300;75;300;125;0.1282;0.094;0.1267;0.22926;13.9;0.1
5;0;0.05;0;300;75;300;125;0.1291;0.099;0.1127;0.21598;22.52;0.1
5;0;0.05;0;300;75;300;125;0.1384;0.0846;0.1964;0.30712;11.04;0.1
5;0;0.05;0;300;75;300;125;0.1165;0.0692;0.2187;0.3119;4.37;0.1
5;0;0.05;0;300;75;300;125;0.1168;0.0594;0.227;0.32044;3.52;0.1
5;0;0.05;0;300;75;300;125;0.1425;0.0831;0.1886;0.3026;10.18;0.1
5;0;0.05;0;300;75;300;125;0.0971;0.1607;0.0688;0.14648;79.84;0.1
5;0;0.05;0;300;75;300;125;0.1092;0.1307;0.0768;0.16416;41.75;0.1
5;0;0.05;0;300;75;300;125;0.1209;0.1099;0.1068;0.20352;26.3;0.1
5;0;0.05;0;300;75;300;125;0.1376;0.0892;0.1316;0.24168;11.48;0.1
5;0;0.05;0;300;75;300;125;0.0998;0.1403;0.0409;0.12074;42.18;0.1
5;0;0.05;0;300;75;300;125;0.0714;0.1397;0.0406;0.09772;48.69;0.1
5;0;0.05;0;300;75;300;125;0.1323;0.1494;0.081;0.18684;29;0.1
5;0;0.05;0;300;75;300;125;0.1789;0.1194;0.0797;0.22282;17.08;0.1
5;0;0.05;0;300;75;300;125;0.109;0.0952;0.2351;0.3223;9.26;0.1
5;0;0.05;0;300;75;300;125;0.1362;0.0905;0.2359;0.34486;9.92;0.1
5;0;0.05;0;300;75;300;125;0.1498;0.0913;0.1807;0.30054;9.47;0.1
5;0;0.05;0;300;75;300;125;0.1456;0.0851;0.1478;0.26428;11.38;0.1
5;0;0.05;0;300;75;300;125;0.1773;0.1197;0.1087;0.25054;11.41;0.1
5;0;0.05;0;300;75;300;125;0.1287;0.0706;0.168;0.27096;7.3;0.1
5;0;0.05;0;300;75;300;125;0.1604;0.0952;0.1348;0.26312;9.49;0.1
5;0;0.05;0;300;75;300;125;0.1525;0.0889;0.1723;0.2943;9.23;0.1
6;0;0.05;0;300;75;300;125;0.3364;0.1249;0.1791;0.44822;9.02;0.1
6;0;0.05;0;300;75;300;125;0.2292;0.0886;0.2011;0.38446;5.53;0.1
6;0;0.05;0;300;75;300;125;0.1307;0.0821;0.1486;0.25316;10.88;0.1
6;0;0.05;0;300;75;300;125;0.1282;0.094;0.1267;0.22926;13.9;0.1
6;0;0.05;0;300;75;300;125;0.1291;0.099;0.1127;0.21598;22.52;0.1
6;0;0.05;0;300;75;300;125;0.1384;0.0846;0.1964;0.30712;11.04;0.1
6;0;0.05;0;300;75;300;125;0.1165;0.0692;0.2187;0.3119;4.37;0.1
6;0;0.05;0;300;75;300;125;0.1168;0.0594;0.227;0.32044;3.52;0.1
6;0;0.05;0;300;75;300;125;0.1425;0.0831;0.1886;0.3026;10.18;0.1
6;0;0.05;0;300;75;300;125;0.0971;0.1607;0.0688;0.14648;79.84;0.1
6;0;0.05;0;300;75;300;125;0.1092;0.1307;0.0768;0.16416;41.75;0.1
6;0;0.05;0;300;75;300;125;0.1209;0.1099;0.1068;0.20352;26.3;0.1
6;0;0.05;0;300;75;300;125;0.1376;0.0892;0.1316;0.24168;11.48;0.1
6;0;0.05;0;300;75;300;125;0.0998;0.1403;0.0409;0.12074;42.18;0.1
6;0;0.05;0;300;75;300;125;0.0714;0.1397;0.0406;0.09772;48.69;0.1
6;0;0.05;0;300;75;300;125;0.1323;0.1494;0.081;0.18684;29;0.1
6;0;0.05;0;300;75;300;125;0.1789;0.1194;0.0797;0.22282;17.08;0.1
6;0;0.05;0;300;75;300;125;0.109;0.0952;0.2351;0.3223;9.26;0.1
6;0;0.05;0;300;75;300;125;0.1362;0.0905;0.2359;0.34486;9.92;0.1
6;0;0.05;0;300;75;300;125;0.1498;0.0913;0.1807;0.30054;9.47;0.1
6;0;0.05;0;300;75;300;125;0.1456;0.0851;0.1478;0.26428;11.38;0.1
6;0;0.05;0;300;75;300;125;0.1773;0.1197;0.1087;0.25054;11.41;0.1
6;0;0.05;0;300;75;300;125;0.1287;0.0706;0.168;0.27096;7.3;0.1
6;0;0.05;0;300;75;300;125;0.1604;0.0952;0.1348;0.26312;9.49;0.1
6;0;0.05;0;300;75;300;125;0.1525;0.0889;0.1723;0.2943;9.23;0.1
7;0;0.05;0;300;100;300;125;0.3364;0.1249;0.1791;0.44822;9.02;0.1
7;0;0.05;0;300;100;300;125;0.2292;0.0886;0.2011;0.38446;5.53;0.1
7;0;0.05;0;300;100;300;125;0.1307;0.0821;0.1486;0.25316;10.88;0.1
7;0;0.05;0;300;100;300;125;0.1282;0.094;0.1267;0.22926;13.9;0.1
7;0;0.05;0;300;100;300;125;0.1291;0.099;0.1127;0.21598;22.52;0.1
7;0;0.05;0;300;100;300;125;0.1384;0.0846;0.1964;0.30712;11.04;0.1
7;0;0.05;0;300;100;300;125;0.1165;0.0692;0.2187;0.3119;4.37;0.1
7;0;0.05;0;300;100;300;125;0.1168;0.0594;0.227;0.32044;3.52;0.1
7;0;0.05;0;300;100;300;125;0.1425;0.0831;0.1886;0.3026;10.18;0.1
7;0;0.05;0;300;100;300;125;0.0971;0.1607;0.0688;0.14648;79.84;0.1
7;0;0.05;0;300;100;300;125;0.1092;0.1307;0.0768;0.16416;41.75;0.1
7;0;0.05;0;300;100;300;125;0.1209;0.1099;0.1068;0.20352;26.3;0.1
7;0;0.05;0;300;100;300;125;0.1376;0.0892;0.1316;0.24168;11.48;0.1
7;0;0.05;0;300;100;300;125;0.0998;0.1403;0.0409;0.12074;42.18;0.1
7;0;0.05;0;300;100;300;125;0.0714;0.1397;0.0406;0.09772;48.69;0.1
7;0;0.05;0;300;100;300;125;0.1323;0.1494;0.081;0.18684;29;0.1
7;0;0.05;0;300;100;300;125;0.1789;0.1194;0.0797;0.22282;17.08;0.1
7;0;0.05;0;300;100;300;125;0.109;0.0952;0.2351;0.3223;9.26;0.1
7;0;0.05;0;300;100;300;125;0.1362;0.0905;0.2359;0.34486;9.92;0.1
7;0;0.05;0;300;100;300;125;0.1498;0.0913;0.1807;0.30054;9.47;0.1
7;0;0.05;0;300;100;300;125;0.1456;0.0851;0.1478;0.26428;11.38;0.1
7;0;0.05;0;300;100;300;125;0.1773;0.1197;0.1087;0.25054;11.41;0.1
7;0;0.05;0;300;100;300;125;0.1287;0.0706;0.168;0.27096;7.3;0.1
7;0;0.05;0;300;100;300;125;0.1604;0.0952;0.1348;0.26312;9.49;0.1
7;0;0.05;0;300;100;300;125;0.1525;0.0889;0.1723;0.2943;9.23;0.1
8;0;0.05;20;300;100;300;125;0.3364;0.1249;0.1791;0.44822;9.02;0.1
8;0;0.05;20;300;100;300;125;0.2292;0.0886;0.2011;0.38446;5.53;0.1
