[mm];[1/m2];[-];[-];[-];[-];[mm/hour];[mm/hour];[-];[-]
1682.2297;46;0.23731595;0.082401276;0.123493135;0.16765434;25.192688;2500;1.4796385;0.5425631
418.80997;46;0.23731595;0.082401276;0.123493135;0.16765434;25.192688;2500;1.4796385;0.5425631
1682.2297;252;0.23731595;0.082401276;0.123493135;0.16765434;25.192688;2500;1.4796385;0.5425631
1682.2297;46;0.8114788;0.082401276;0.123493135;0.16765434;25.192688;2500;1.4796385;0.5425631
1682.2297;46;0.23731595;0.08781007;0.13159919;0.16765434;25.192688;2500;1.4796385;0.5425631
1682.2297;46;0.23731595;0.09597004;0.10992437;0.16765434;25.192688;2500;1.4796385;0.5425631
1682.2297;46;0.23731595;0.082401276;0.123493135;0.17157514;25.192688;2500;1.4796385;0.5425631
1682.2297;46;0.23731595;0.082401276;0.123493135;0.16765434;19.303244;2500;1.4796385;0.5425631
1682.2297;46;0.23731595;0.082401276;0.123493135;0.16765434;25.192688;2500;1.4796385;0.60439473
1682.2297;46;0.23731595;0.082401276;0.123493135;0.16765434;25.192688;2500;1.3496081;0.5425631
418.80997;252;0.8114788;0.102269486;0.11713977;0.17157514;19.303244;2500;1.3496081;0.60439473
611.2157;264;0.7092936;0.040509153;0.24759437;0.21755272;99.53466;2500;0.98963743;1.1559772
1526.1154;264;0.7092936;0.040509153;0.24759437;0.21755272;99.53466;2500;0.98963743;1.1559772
611.2157;18;0.7092936;0.040509153;0.24759437;0.21755272;99.53466;2500;0.98963743;1.1559772
611.2157;264;0.16509166;0.040509153;0.24759437;0.21755272;99.53466;2500;0.98963743;1.1559772
611.2157;264;0.7092936;0.036069416;0.22045843;0.21755272;99.53466;2500;0.98963743;1.1559772
611.2157;264;0.7092936;0.041628484;0.24647503;0.21755272;99.53466;2500;0.98963743;1.1559772
611.2157;264;0.7092936;0.040509153;0.24759437;0.23870243;99.53466;2500;0.98963743;1.1559772
611.2157;264;0.7092936;0.040509153;0.24759437;0.21755272;53.450012;2500;0.98963743;1.1559772
611.2157;264;0.7092936;0.040509153;0.24759437;0.21755272;99.53466;2500;0.98963743;1.053311
611.2157;264;0.7092936;0.040509153;0.24759437;0.21755272;99.53466;2500;0.85503805;1.1559772
1526.1154;18;0.16509166;0.03706607;0.21946177;0.23870243;53.450012;2500;0.85503805;1.053311
318.45718;31;0.5002322;0.054382022;0.21235457;0.2426802;47.023785;2500;1.3698179;0.6490784
1085.1365;31;0.5002322;0.054382022;0.21235457;0.2426802;47.023785;2500;1.3698179;0.6490784
318.45718;272;0.5002322;0.054382022;0.21235457;0.2426802;47.023785;2500;1.3698179;0.6490784
318.45718;31;0.2199825;0.054382022;0.21235457;0.2426802;47.023785;2500;1.3698179;0.6490784
318.45718;31;0.5002322;0.047784083;0.1865905;0.2426802;47.023785;2500;1.3698179;0.6490784
318.45718;31;0.5002322;0.0686512;0.1980854;0.2426802;47.023785;2500;1.3698179;0.6490784
318.45718;31;0.5002322;0.054382022;0.21235457;0.2360462;47.023785;2500;1.3698179;0.6490784
318.45718;31;0.5002322;0.054382022;0.21235457;0.2426802;68.05372;2500;1.3698179;0.6490784
318.45718;31;0.5002322;0.054382022;0.21235457;0.2426802;47.023785;2500;1.3698179;1.2382684
318.45718;31;0.5002322;0.054382022;0.21235457;0.2426802;47.023785;2500;0.9635517;0.6490784
1085.1365;272;0.2199825;0.06032204;0.17405254;0.2360462;68.05372;2500;0.9635517;1.2382684
1975.0913;248;0.42845136;0.123119995;0.10354924;0.19242601;77.65498;2500;0.8485883;1.0434793
1784.0809;248;0.42845136;0.123119995;0.10354924;0.19242601;77.65498;2500;0.8485883;1.0434793
1975.0913;76;0.42845136;0.123119995;0.10354924;0.19242601;77.65498;2500;0.8485883;1.0434793
1975.0913;248;0.7534782;0.123119995;0.10354924;0.19242601;77.65498;2500;0.8485883;1.0434793
1975.0913;248;0.42845136;0.16103625;0.13543847;0.19242601;77.65498;2500;0.8485883;1.0434793
1975.0913;248;0.42845136;0.13206328;0.09460596;0.19242601;77.65498;2500;0.8485883;1.0434793
1975.0913;248;0.42845136;0.123119995;0.10354924;0.1532841;77.65498;2500;0.8485883;1.0434793
1975.0913;248;0.42845136;0.123119995;0.10354924;0.19242601;9.3214655;2500;0.8485883;1.0434793
1975.0913;248;0.42845136;0.123119995;0.10354924;0.19242601;77.65498;2500;0.8485883;0.67144006
1975.0913;248;0.42845136;0.123119995;0.10354924;0.19242601;77.65498;2500;1.457878;1.0434793
1784.0809;76;0.7534782;0.17273374;0.123740986;0.1532841;9.3214655;2500;1.457878;0.67144006
1444.2622;96;0.8546268;0.19812073;0.13269286;0.15288615;1.8754257;2500;0.71155703;1.3170485
1248.0533;96;0.8546268;0.19812073;0.13269286;0.15288615;1.8754257;2500;0.71155703;1.3170485
1444.2622;127;0.8546268;0.19812073;0.13269286;0.15288615;1.8754257;2500;0.71155703;1.3170485
1444.2622;96;0.65170485;0.19812073;0.13269286;0.15288615;1.8754257;2500;0.71155703;1.3170485
1444.2622;96;0.8546268;0.11311383;0.07575884;0.15288615;1.8754257;2500;0.71155703;1.3170485
1444.2622;96;0.8546268;0.079162285;0.25165132;0.15288615;1.8754257;2500;0.71155703;1.3170485
1444.2622;96;0.8546268;0.19812073;0.13269286;0.18313836;1.8754257;2500;0.71155703;1.3170485
1444.2622;96;0.8546268;0.19812073;0.13269286;0.15288615;85.851845;2500;0.71155703;1.3170485
1444.2622;96;0.8546268;0.19812073;0.13269286;0.15288615;1.8754257;2500;0.71155703;0.8335493
1444.2622;96;0.8546268;0.19812073;0.13269286;0.15288615;1.8754257;2500;0.70748466;1.3170485
1248.0533;127;0.65170485;0.045196425;0.14367625;0.18313836;85.851845;2500;0.70748466;0.8335493
849.2963;169;0.17640075;0.04280596;0.119884096;0.20263347;72.70682;2500;1.1942432;0.9848851
562.3901;169;0.17640075;0.04280596;0.119884096;0.20263347;72.70682;2500;1.1942432;0.9848851
849.2963;215;0.17640075;0.04280596;0.119884096;0.20263347;72.70682;2500;1.1942432;0.9848851
849.2963;169;0.32484975;0.04280596;0.119884096;0.20263347;72.70682;2500;1.1942432;0.9848851
849.2963;169;0.17640075;0.08577107;0.24021392;0.20263347;72.70682;2500;1.1942432;0.9848851
849.2963;169;0.17640075;0.08552369;0.07716637;0.20263347;72.70682;2500;1.1942432;0.9848851
849.2963;169;0.17640075;0.04280596;0.119884096;0.20038292;72.70682;2500;1.1942432;0.9848851
849.2963;169;0.17640075;0.04280596;0.119884096;0.20263347;38.436344;2500;1.1942432;0.9848851
849.2963;169;0.17640075;0.04280596;0.119884096;0.20263347;72.70682;2500;1.1942432;1.2597529
849.2963;169;0.17640075;0.04280596;0.119884096;0.20263347;72.70682;2500;1.2129151;0.9848851
562.3901;215;0.32484975;0.17136534;0.15461965;0.20038292;38.436344;2500;1.2129151;1.2597529
743.4037;79;0.8244786;0.1619684;0.07965043;0.22310127;42.496284;2500;1.2638009;0.70590883
1375.9652;79;0.8244786;0.1619684;0.07965043;0.22310127;42.496284;2500;1.2638009;0.70590883
743.4037;193;0.8244786;0.1619684;0.07965043;0.22310127;42.496284;2500;1.2638009;0.70590883
743.4037;79;0.4494436;0.1619684;0.07965043;0.22310127;42.496284;2500;1.2638009;0.70590883
743.4037;79;0.8244786;0.19025244;0.09355955;0.22310127;42.496284;2500;1.2638009;0.70590883
743.4037;79;0.8244786;0.04840269;0.19321613;0.22310127;42.496284;2500;1.2638009;0.70590883
743.4037;79;0.8244786;0.1619684;0.07965043;0.16554473;42.496284;2500;1.2638009;0.70590883
743.4037;79;0.8244786;0.1619684;0.07965043;0.22310127;74.18802;2500;1.2638009;0.70590883
743.4037;79;0.8244786;0.1619684;0.07965043;0.22310127;42.496284;2500;1.2638009;0.54850894
743.4037;79;0.8244786;0.1619684;0.07965043;0.22310127;42.496284;2500;0.7980575;0.70590883
1375.9652;193;0.4494436;0.056855105;0.22695687;0.16554473;74.18802;2500;0.7980575;0.54850894
1550.0249;297;0.14644715;0.08301565;0.16858062;0.17304237;82.108925;2500;0.7660068;1.1005404
374.71655;297;0.14644715;0.08301565;0.16858062;0.17304237;82.108925;2500;0.7660068;1.1005404
1550.0249;140;0.14644715;0.08301565;0.16858062;0.17304237;82.108925;2500;0.7660068;1.1005404
1550.0249;297;0.57708067;0.08301565;0.16858062;0.17304237;82.108925;2500;0.7660068;1.1005404
1550.0249;297;0.14644715;0.081397966;0.16529556;0.17304237;82.108925;2500;0.7660068;1.1005404
1550.0249;297;0.14644715;0.121868595;0.12972768;0.17304237;82.108925;2500;0.7660068;1.1005404
1550.0249;297;0.14644715;0.08301565;0.16858062;0.24526995;82.108925;2500;0.7660068;1.1005404
1550.0249;297;0.14644715;0.08301565;0.16858062;0.17304237;1.7969437;2500;0.7660068;1.1005404
1550.0249;297;0.14644715;0.08301565;0.16858062;0.17304237;82.108925;2500;0.7660068;1.1072886
1550.0249;297;0.14644715;0.08301565;0.16858062;0.17304237;82.108925;2500;1.3117876;1.1005404
374.71655;140;0.57708067;0.11949379;0.12719972;0.24526995;1.7969437;2500;1.3117876;1.1072886
1869.186;122;0.57106066;0.019896217;0.13584442;0.181644;6.3785257;2500;0.66816014;1.2645022
904.10034;122;0.57106066;0.019896217;0.13584442;0.181644;6.3785257;2500;0.66816014;1.2645022
1869.186;62;0.57106066;0.019896217;0.13584442;0.181644;6.3785257;2500;0.66816014;1.2645022
1869.186;122;0.8788722;0.019896217;0.13584442;0.181644;6.3785257;2500;0.66816014;1.2645022
1869.186;122;0.57106066;0.043263588;0.2953887;0.181644;6.3785257;2500;0.66816014;1.2645022
1869.186;122;0.57106066;0.04569641;0.11004423;0.181644;6.3785257;2500;0.66816014;1.2645022
1869.186;122;0.57106066;0.019896217;0.13584442;0.21849646;6.3785257;2500;0.66816014;1.2645022
1869.186;122;0.57106066;0.019896217;0.13584442;0.181644;78.25472;2500;0.66816014;1.2645022
1869.186;122;0.57106066;0.019896217;0.13584442;0.181644;6.3785257;2500;0.66816014;1.3983041
1869.186;122;0.57106066;0.019896217;0.13584442;0.181644;6.3785257;2500;0.56243294;1.2645022
904.10034;62;0.8788722;0.09936516;0.23928712;0.21849646;78.25472;2500;0.56243294;1.3983041
424.2331;194;0.49908373;0.15605427;0.181518;0.23158664;68.22847;2500;1.1742858;0.9325731
1918.6301;194;0.49908373;0.15605427;0.181518;0.23158664;68.22847;2500;1.1742858;0.9325731
424.2331;296;0.49908373;0.15605427;0.181518;0.23158664;68.22847;2500;1.1742858;0.9325731
424.2331;194;0.14459448;0.15605427;0.181518;0.23158664;68.22847;2500;1.1742858;0.9325731
424.2331;194;0.49908373;0.081614435;0.09493165;0.23158664;68.22847;2500;1.1742858;0.9325731
424.2331;194;0.49908373;0.20804979;0.12952249;0.23158664;68.22847;2500;1.1742858;0.9325731
424.2331;194;0.49908373;0.15605427;0.181518;0.19822796;68.22847;2500;1.1742858;0.9325731
424.2331;194;0.49908373;0.15605427;0.181518;0.23158664;44.496902;2500;1.1742858;0.9325731
424.2331;194;0.49908373;0.15605427;0.181518;0.23158664;68.22847;2500;1.1742858;0.9488997
424.2331;194;0.49908373;0.15605427;0.181518;0.23158664;68.22847;2500;1.0484574;0.9325731
1918.6301;296;0.14459448;0.108807445;0.06773864;0.19822796;44.496902;2500;1.0484574;0.9488997
716.26544;102;0.2917801;0.15619294;0.16079368;0.20681325;15.863556;2500;0.5602035;1.4354403
706.0936;102;0.2917801;0.15619294;0.16079368;0.20681325;15.863556;2500;0.5602035;1.4354403
716.26544;32;0.2917801;0.15619294;0.16079368;0.20681325;15.863556;2500;0.5602035;1.4354403
716.26544;102;0.29049784;0.15619294;0.16079368;0.20681325;15.863556;2500;0.5602035;1.4354403
716.26544;102;0.2917801;0.14873463;0.15311569;0.20681325;15.863556;2500;0.5602035;1.4354403
716.26544;102;0.2917801;0.13688776;0.18009888;0.20681325;15.863556;2500;0.5602035;1.4354403
716.26544;102;0.2917801;0.15619294;0.16079368;0.17661984;15.863556;2500;0.5602035;1.4354403
716.26544;102;0.2917801;0.15619294;0.16079368;0.20681325;34.175167;2500;0.5602035;1.4354403
716.26544;102;0.2917801;0.15619294;0.16079368;0.20681325;15.863556;2500;0.5602035;0.76443416
716.26544;102;0.2917801;0.15619294;0.16079368;0.20681325;15.863556;2500;1.1257191;1.4354403
706.0936;32;0.29049784;0.13035129;0.17149904;0.17661984;34.175167;2500;1.1257191;0.76443416
1577.2584;174;0.7635633;0.040516753;0.13677993;0.15651786;58.986782;2500;1.0350348;0.7595591
1285.3137;174;0.7635633;0.040516753;0.13677993;0.15651786;58.986782;2500;1.0350348;0.7595591
1577.2584;228;0.7635633;0.040516753;0.13677993;0.15651786;58.986782;2500;1.0350348;0.7595591
1577.2584;174;0.73610294;0.040516753;0.13677993;0.15651786;58.986782;2500;1.0350348;0.7595591
1577.2584;174;0.7635633;0.037646726;0.12709105;0.15651786;58.986782;2500;1.0350348;0.7595591
1577.2584;174;0.7635633;0.019124316;0.15817238;0.15651786;58.986782;2500;1.0350348;0.7595591
1577.2584;174;0.7635633;0.040516753;0.13677993;0.20626667;58.986782;2500;1.0350348;0.7595591
1577.2584;174;0.7635633;0.040516753;0.13677993;0.15651786;93.29598;2500;1.0350348;0.7595591
1577.2584;174;0.7635633;0.040516753;0.13677993;0.15651786;58.986782;2500;1.0350348;1.3307745
1577.2584;174;0.7635633;0.040516753;0.13677993;0.15651786;58.986782;2500;0.639451;0.7595591
1285.3137;228;0.73610294;0.017769635;0.14696814;0.20626667;93.29598;2500;0.639451;1.3307745
1257.2671;27;0.33816695;0.09072799;0.19023688;0.19817002;33.207905;2500;1.4059682;0.595598
1613.8158;27;0.33816695;0.09072799;0.19023688;0.19817002;33.207905;2500;1.4059682;0.595598
1257.2671;187;0.33816695;0.09072799;0.19023688;0.19817002;33.207905;2500;1.4059682;0.595598
1257.2671;27;0.6315771;0.09072799;0.19023688;0.19817002;33.207905;2500;1.4059682;0.595598
1257.2671;27;0.33816695;0.08687856;0.18216547;0.19817002;33.207905;2500;1.4059682;0.595598
1257.2671;27;0.33816695;0.19000395;0.09096093;0.19817002;33.207905;2500;1.4059682;0.595598
1257.2671;27;0.33816695;0.09072799;0.19023688;0.22996695;33.207905;2500;1.4059682;0.595598
1257.2671;27;0.33816695;0.09072799;0.19023688;0.19817002;13.681935;2500;1.4059682;0.595598
1257.2671;27;0.33816695;0.09072799;0.19023688;0.19817002;33.207905;2500;1.4059682;1.1647588
1257.2671;27;0.33816695;0.09072799;0.19023688;0.19817002;33.207905;2500;1.389065;0.595598
1613.8158;187;0.6315771;0.18194242;0.087101616;0.22996695;13.681935;2500;1.389065;1.1647588
1036.266;245;0.6163953;0.12443953;0.0887812;0.24787308;91.54422;2500;0.8769065;1.2087773
1021.3143;245;0.6163953;0.12443953;0.0887812;0.24787308;91.54422;2500;0.8769065;1.2087773
1036.266;99;0.6163953;0.12443953;0.0887812;0.24787308;91.54422;2500;0.8769065;1.2087773
1036.266;245;0.3918314;0.12443953;0.0887812;0.24787308;91.54422;2500;0.8769065;1.2087773
1036.266;245;0.6163953;0.12077617;0.08616758;0.24787308;91.54422;2500;0.8769065;1.2087773
1036.266;245;0.6163953;0.08282182;0.1303989;0.24787308;91.54422;2500;0.8769065;1.2087773
1036.266;245;0.6163953;0.12443953;0.0887812;0.15960748;91.54422;2500;0.8769065;1.2087773
1036.266;245;0.6163953;0.12443953;0.0887812;0.24787308;60.70544;2500;0.8769065;1.2087773
1036.266;245;0.6163953;0.12443953;0.0887812;0.24787308;91.54422;2500;0.8769065;0.7390436
1036.266;245;0.6163953;0.12443953;0.0887812;0.24787308;91.54422;2500;0.87509036;1.2087773
1021.3143;99;0.3918314;0.08038364;0.1265601;0.15960748;60.70544;2500;0.87509036;0.7390436
951.5296;11;0.11394431;0.05491217;0.2815551;0.16173276;55.756798;2500;0.79773414;0.59019244
1731.6958;11;0.11394431;0.05491217;0.2815551;0.16173276;55.756798;2500;0.79773414;0.59019244
951.5296;86;0.11394431;0.05491217;0.2815551;0.16173276;55.756798;2500;0.79773414;0.59019244
951.5296;11;0.23521572;0.05491217;0.2815551;0.16173276;55.756798;2500;0.79773414;0.59019244
951.5296;11;0.11394431;0.05499845;0.28199747;0.16173276;55.756798;2500;0.79773414;0.59019244
951.5296;11;0.11394431;0.09415478;0.24231245;0.16173276;55.756798;2500;0.79773414;0.59019244
951.5296;11;0.11394431;0.05491217;0.2815551;0.24994753;55.756798;2500;0.79773414;0.59019244
951.5296;11;0.11394431;0.05491217;0.2815551;0.16173276;30.751642;2500;0.79773414;0.59019244
951.5296;11;0.11394431;0.05491217;0.2815551;0.16173276;55.756798;2500;0.79773414;0.57286924
951.5296;11;0.11394431;0.05491217;0.2815551;0.16173276;55.756798;2500;0.5227541;0.59019244
1731.6958;86;0.23521572;0.09430273;0.2426932;0.24994753;30.751642;2500;0.5227541;0.57286924
1341.8665;228;0.8421864;0.072757415;0.09746712;0.21243834;18.874401;2500;1.2955508;1.2270155
1142.5292;228;0.8421864;0.072757415;0.09746712;0.21243834;18.874401;2500;1.2955508;1.2270155
1341.8665;174;0.8421864;0.072757415;0.09746712;0.21243834;18.874401;2500;1.2955508;1.2270155
1341.8665;228;0.7882419;0.072757415;0.09746712;0.21243834;18.874401;2500;1.2955508;1.2270155
1341.8665;228;0.8421864;0.085434295;0.114449285;0.21243834;18.874401;2500;1.2955508;1.2270155
1341.8665;228;0.8421864;0.094602905;0.07562163;0.21243834;18.874401;2500;1.2955508;1.2270155
1341.8665;228;0.8421864;0.072757415;0.09746712;0.16716751;18.874401;2500;1.2955508;1.2270155
1341.8665;228;0.8421864;0.072757415;0.09746712;0.21243834;96.5003;2500;1.2955508;1.2270155
1341.8665;228;0.8421864;0.072757415;0.09746712;0.21243834;18.874401;2500;1.2955508;1.0223975
1341.8665;228;0.8421864;0.072757415;0.09746712;0.21243834;18.874401;2500;1.0246445;1.2270155
1142.5292;174;0.7882419;0.111086026;0.088797554;0.16716751;96.5003;2500;1.0246445;1.0223975
1658.5438;117;0.46599516;0.17183854;0.10057713;0.2453745;94.606384;2500;1.1435045;1.3753473
614.8019;117;0.46599516;0.17183854;0.10057713;0.2453745;94.606384;2500;1.1435045;1.3753473
1658.5438;241;0.46599516;0.17183854;0.10057713;0.2453745;94.606384;2500;1.1435045;1.3753473
1658.5438;117;0.6927186;0.17183854;0.10057713;0.2453745;94.606384;2500;1.1435045;1.3753473
1658.5438;117;0.46599516;0.1840117;0.10770208;0.2453745;94.606384;2500;1.1435045;1.3753473
1658.5438;117;0.46599516;0.061043695;0.21137197;0.2453745;94.606384;2500;1.1435045;1.3753473
1658.5438;117;0.46599516;0.17183854;0.10057713;0.1966052;94.606384;2500;1.1435045;1.3753473
1658.5438;117;0.46599516;0.17183854;0.10057713;0.2453745;23.160194;2500;1.1435045;1.3753473
1658.5438;117;0.46599516;0.17183854;0.10057713;0.2453745;94.606384;2500;1.1435045;1.481382
1658.5438;117;0.46599516;0.17183854;0.10057713;0.2453745;94.606384;2500;0.77499115;1.3753473
614.8019;241;0.6927186;0.06536807;0.2263457;0.1966052;23.160194;2500;0.77499115;1.481382
634.8558;190;0.58779204;0.08674007;0.14763364;0.19607854;30.023401;2500;0.6374169;0.80123466
1190.6874;190;0.58779204;0.08674007;0.14763364;0.19607854;30.023401;2500;0.6374169;0.80123466
634.8558;44;0.58779204;0.08674007;0.14763364;0.19607854;30.023401;2500;0.6374169;0.80123466
634.8558;190;0.333833;0.08674007;0.14763364;0.19607854;30.023401;2500;0.6374169;0.80123466
634.8558;190;0.58779204;0.08497842;0.14463526;0.19607854;30.023401;2500;0.6374169;0.80123466
634.8558;190;0.58779204;0.1257465;0.1086272;0.19607854;30.023401;2500;0.6374169;0.80123466
634.8558;190;0.58779204;0.08674007;0.14763364;0.21381888;30.023401;2500;0.6374169;0.80123466
634.8558;190;0.58779204;0.08674007;0.14763364;0.19607854;51.056164;2500;0.6374169;0.80123466
634.8558;190;0.58779204;0.08674007;0.14763364;0.19607854;30.023401;2500;0.6374169;0.9224785
634.8558;190;0.58779204;0.08674007;0.14763364;0.19607854;30.023401;2500;1.2733458;0.80123466
1190.6874;44;0.333833;0.123192646;0.10642103;0.21381888;51.056164;2500;1.2733458;0.9224785
502.30313;133;0.79684734;0.059846617;0.15135352;0.17045245;79.07102;2500;1.0033151;1.3001962
782.9115;133;0.79684734;0.059846617;0.15135352;0.17045245;79.07102;2500;1.0033151;1.3001962
502.30313;283;0.79684734;0.059846617;0.15135352;0.17045245;79.07102;2500;1.0033151;1.3001962
502.30313;133;0.4762101;0.059846617;0.15135352;0.17045245;79.07102;2500;1.0033151;1.3001962
502.30313;133;0.79684734;0.07222743;0.18266492;0.17045245;79.07102;2500;1.0033151;1.3001962
502.30313;133;0.79684734;0.13788038;0.07331976;0.17045245;79.07102;2500;1.0033151;1.3001962
502.30313;133;0.79684734;0.059846617;0.15135352;0.21101598;79.07102;2500;1.0033151;1.3001962
502.30313;133;0.79684734;0.059846617;0.15135352;0.17045245;64.09958;2500;1.0033151;1.3001962
502.30313;133;0.79684734;0.059846617;0.15135352;0.17045245;79.07102;2500;1.0033151;0.8651952
502.30313;133;0.79684734;0.059846617;0.15135352;0.17045245;79.07102;2500;1.4128634;1.3001962
782.9115;283;0.4762101;0.1664045;0.08848785;0.21101598;64.09958;2500;1.4128634;0.8651952
1791.2012;206;0.27485365;0.18376249;0.11084402;0.22090626;45.705307;2500;0.52844554;0.8821238
1800.7761;206;0.27485365;0.18376249;0.11084402;0.22090626;45.705307;2500;0.52844554;0.8821238
1791.2012;50;0.27485365;0.18376249;0.11084402;0.22090626;45.705307;2500;0.52844554;0.8821238
1791.2012;206;0.54720736;0.18376249;0.11084402;0.22090626;45.705307;2500;0.52844554;0.8821238
1791.2012;206;0.27485365;0.13583758;0.08193611;0.22090626;45.705307;2500;0.52844554;0.8821238
1791.2012;206;0.27485365;0.099328846;0.19527766;0.22090626;45.705307;2500;0.52844554;0.8821238
1791.2012;206;0.27485365;0.18376249;0.11084402;0.17816786;45.705307;2500;0.52844554;0.8821238
1791.2012;206;0.27485365;0.18376249;0.11084402;0.22090626;11.616607;2500;0.52844554;0.8821238
1791.2012;206;0.27485365;0.18376249;0.11084402;0.22090626;45.705307;2500;0.52844554;1.290546
1791.2012;206;0.27485365;0.18376249;0.11084402;0.22090626;45.705307;2500;0.9147534;0.8821238
1800.7761;50;0.54720736;0.07342407;0.14434962;0.17816786;11.616607;2500;0.9147534;1.290546
1475.3538;67;0.6487026;0.104108326;0.09299459;0.23690514;71.48272;2500;0.90768015;0.73379046
1470.6176;67;0.6487026;0.104108326;0.09299459;0.23690514;71.48272;2500;0.90768015;0.73379046
1475.3538;153;0.6487026;0.104108326;0.09299459;0.23690514;71.48272;2500;0.90768015;0.73379046
1475.3538;67;0.84546506;0.104108326;0.09299459;0.23690514;71.48272;2500;0.90768015;0.73379046
1475.3538;67;0.6487026;0.17021357;0.152043;0.23690514;71.48272;2500;0.90768015;0.73379046
1475.3538;67;0.6487026;0.087926395;0.10917653;0.23690514;71.48272;2500;0.90768015;0.73379046
1475.3538;67;0.6487026;0.104108326;0.09299459;0.1580595;71.48272;2500;0.90768015;0.73379046
1475.3538;67;0.6487026;0.104108326;0.09299459;0.23690514;81.89819;2500;0.90768015;0.73379046
1475.3538;67;0.6487026;0.104108326;0.09299459;0.23690514;71.48272;2500;0.90768015;1.2065617
1475.3538;67;0.6487026;0.104108326;0.09299459;0.23690514;71.48272;2500;1.1641778;0.73379046
1470.6176;153;0.84546506;0.14375666;0.1784999;0.1580595;81.89819;2500;1.1641778;1.2065617
818.1468;285;0.32065436;0.059765052;0.24884118;0.18736048;3.392196;2500;1.4367187;1.0891536
466.03424;285;0.32065436;0.059765052;0.24884118;0.18736048;3.392196;2500;1.4367187;1.0891536
818.1468;205;0.32065436;0.059765052;0.24884118;0.18736048;3.392196;2500;1.4367187;1.0891536
818.1468;285;0.18110847;0.059765052;0.24884118;0.18736048;3.392196;2500;1.4367187;1.0891536
818.1468;285;0.32065436;0.031014876;0.12913531;0.18736048;3.392196;2500;1.4367187;1.0891536
818.1468;285;0.32065436;0.052119482;0.25648677;0.18736048;3.392196;2500;1.4367187;1.0891536
818.1468;285;0.32065436;0.059765052;0.24884118;0.22521767;3.392196;2500;1.4367187;1.0891536
818.1468;285;0.32065436;0.059765052;0.24884118;0.18736048;40.731968;2500;1.4367187;1.0891536
818.1468;285;0.32065436;0.059765052;0.24884118;0.18736048;3.392196;2500;1.4367187;0.6405857
818.1468;285;0.32065436;0.059765052;0.24884118;0.18736048;3.392196;2500;0.6625311;1.0891536
466.03424;205;0.18110847;0.027047232;0.13310295;0.22521767;40.731968;2500;0.6625311;0.6405857
927.23016;85;0.6788569;0.12608387;0.1602442;0.18837121;87.03102;2500;1.1171467;1.3682534
1339.3853;85;0.6788569;0.12608387;0.1602442;0.18837121;87.03102;2500;1.1171467;1.3682534
927.23016;218;0.6788569;0.12608387;0.1602442;0.18837121;87.03102;2500;1.1171467;1.3682534
927.23016;85;0.25573415;0.12608387;0.1602442;0.18837121;87.03102;2500;1.1171467;1.3682534
927.23016;85;0.6788569;0.09047129;0.11498298;0.18837121;87.03102;2500;1.1171467;1.3682534
