Name: Breitnau (ID: 684)			
Lat: 47.9385   ,Lon: 8.0761			
Jahr	Monat	Tag	ET
2011	2	14	1.1
2011	2	15	0.3
2011	2	16	0.4
2011	2	17	0.2
2011	2	18	0.2
2011	2	19	0.5
2011	2	20	0.2
2011	2	21	0.0
2011	2	22	0.0
2011	2	23	0.3
2011	2	24	0.2
2011	2	25	0.2
2011	2	26	0.3
2011	2	27	0.2
2011	2	28	0.2
2011	3	1	0.9
2011	3	2	1.7
2011	3	3	0.7
2011	3	4	0.7
2011	3	5	0.7
2011	3	6	0.7
2011	3	7	1.5
2011	3	8	1.3
2011	3	9	1.2
2011	3	10	0.9
2011	3	11	1.3
2011	3	12	0.9
2011	3	13	0.3
2011	3	14	1.0
2011	3	15	1.2
2011	3	16	0.5
2011	3	17	0.2
2011	3	18	0.4
2011	3	19	0.3
2011	3	20	1.5
2011	3	21	1.9
2011	3	22	1.6
2011	3	23	1.8
2011	3	24	1.4
2011	3	25	1.7
2011	3	26	1.2
2011	3	27	0.7
2011	3	28	1.0
2011	3	29	1.3
2011	3	30	1.0
2011	3	31	0.6
2011	4	1	1.6
2011	4	2	1.9
2011	4	3	1.9
2011	4	4	0.9
2011	4	5	1.6
2011	4	6	1.7
2011	4	7	2.1
2011	4	8	1.7
2011	4	9	1.9
2011	4	10	2.0
2011	4	11	2.1
2011	4	12	1.2
2011	4	13	1.2
2011	4	14	1.2
2011	4	15	1.8
2011	4	16	2.3
2011	4	17	2.6
2011	4	18	2.2
2011	4	19	2.0
2011	4	20	2.2
2011	4	21	2.2
2011	4	22	2.4
2011	4	23	2.3
2011	4	24	1.1
2011	4	25	2.1
2011	4	26	2.1
2011	4	27	1.6
2011	4	28	1.2
2011	4	29	0.8
2011	4	30	1.7
2011	5	1	1.4
2011	5	2	1.9
2011	5	3	1.4
2011	5	4	2.4
2011	5	5	3.1
2011	5	6	2.8
2011	5	7	2.9
2011	5	8	3.2
2011	5	9	3.2
2011	5	10	2.6
2011	5	11	2.2
2011	5	12	1.2
2011	5	13	2.6
2011	5	14	1.9
2011	5	15	1.5
2011	5	16	1.2
2011	5	17	1.3
2011	5	18	2.6
2011	5	19	2.0
2011	5	20	3.0
2011	5	21	3.4
2011	5	22	3.2
2011	5	23	3.2
2011	5	24	3.6
2011	5	25	3.3
2011	5	26	4.2
2011	5	27	1.7
2011	5	28	2.7
2011	5	29	3.2
2011	5	30	3.1
2011	5	31	1.6
2011	6	1	0.9
2011	6	2	2.4
2011	6	3	3.2
2011	6	4	2.3
2011	6	5	2.4
2011	6	6	1.7
2011	6	7	2.2
2011	6	8	0.8
2011	6	9	1.1
2011	6	10	1.8
2011	6	11	1.4
2011	6	12	2.6
2011	6	13	1.3
2011	6	14	2.5
2011	6	15	2.5
2011	6	16	2.2
2011	6	17	2.1
2011	6	18	2.7
2011	6	19	2.4
2011	6	20	1.2
2011	6	21	2.5
2011	6	22	2.0
2011	6	23	1.7
2011	6	24	2.4
2011	6	25	2.4
2011	6	26	3.3
2011	6	27	3.9
2011	6	28	4.2
2011	6	29	2.2
2011	6	30	3.0
2011	7	1	2.7
2011	7	2	3.2
2011	7	3	3.5
2011	7	4	3.7
2011	7	5	4.6
2011	7	6	4.0
2011	7	7	2.7
2011	7	8	3.6
2011	7	9	3.6
2011	7	10	2.3
2011	7	11	3.3
2011	7	12	3.4
2011	7	13	1.7
2011	7	14	1.6
2011	7	15	2.3
2011	7	16	3.2
2011	7	17	1.6
2011	7	18	1.7
2011	7	19	1.5
2011	7	20	1.2
2011	7	21	1.3
2011	7	22	2.0
2011	7	23	1.7
2011	7	24	1.2
2011	7	25	1.8
2011	7	26	1.5
2011	7	27	1.3
2011	7	28	1.8
2011	7	29	2.2
2011	7	30	1.7
2011	7	31	1.7
2011	8	1	2.8
2011	8	2	2.9
2011	8	3	1.7
2011	8	4	2.5
2011	8	5	1.7
2011	8	6	1.6
2011	8	7	0.9
2011	8	8	2.7
2011	8	9	1.5
2011	8	10	2.2
2011	8	11	2.4
2011	8	12	1.9
2011	8	13	1.7
2011	8	14	2.2
2011	8	15	1.5
2011	8	16	1.9
2011	8	17	2.4
2011	8	18	2.4
2011	8	19	2.2
2011	8	20	2.2
2011	8	21	2.3
2011	8	22	2.6
2011	8	23	2.7
2011	8	24	2.2
2011	8	25	2.0
2011	8	26	2.3
2011	8	27	1.0
2011	8	28	2.1
2011	8	29	1.5
2011	8	30	1.7
2011	8	31	1.7
2011	9	1	1.5
2011	9	2	1.5
2011	9	3	1.7
2011	9	4	0.7
2011	9	5	1.9
2011	9	6	1.8
2011	9	7	2.0
2011	9	8	1.4
2011	9	9	1.3
2011	9	10	2.1
2011	9	11	1.7
2011	9	12	1.9
2011	9	13	1.5
2011	9	14	1.6
2011	9	15	1.4
2011	9	16	1.4
2011	9	17	1.1
2011	9	18	0.7
2011	9	19	0.6
2011	9	20	1.2
2011	9	21	1.3
2011	9	22	1.2
2011	9	23	1.2
2011	9	24	1.2
2011	9	25	1.4
2011	9	26	1.4
2011	9	27	1.1
2011	9	28	1.6
2011	9	29	1.2
2011	9	30	1.2
2011	10	1	1.2
2011	10	2	0.9
2011	10	3	1.2
2011	10	4	1.2
2011	10	5	0.7
2011	10	6	1.1
2011	10	7	0.7
2011	10	8	0.5
2011	10	9	0.8
2011	10	10	0.7
2011	10	11	0.9
2011	10	12	0.4
2011	10	13	0.3
2011	10	14	1.2
2011	10	15	0.7
2011	10	16	0.7
2011	10	17	0.7
2011	10	18	1.2
2011	10	19	0.2
2011	10	20	0.4
2011	10	21	0.5
2011	10	22	0.3
2011	10	23	0.6
2011	10	24	0.5
2011	10	25	0.2
2011	10	26	0.7
2011	10	27	0.4
2011	10	28	0.5
2011	10	29	0.5
2011	10	30	0.2
2011	10	31	0.5
