YYYY	MM	DD	hh	mm	Br
2013	3	29	0	0	0
2013	3	30	0	0	0
2013	3	31	0	0	0
2013	4	1	0	0	0
2013	4	2	0	0	0
2013	4	3	0	0	0
2013	4	4	0	0	0
2013	4	5	0	0	0
2013	4	6	0	0	0
2013	4	7	0	0	0
2013	4	8	0	0	0
2013	4	9	0	0	0
2013	4	10	0	0	0
2013	4	11	0	0	0
2013	4	12	0	0	0
2013	4	13	0	0	0
2013	4	14	0	0	0
2013	4	15	0	0	0
2013	4	16	0	0	0
2013	4	17	0	0	0
2013	4	18	0	0	0
2013	4	19	0	0	0
2013	4	20	0	0	0
2013	4	21	0	0	0
2013	4	22	0	0	0
2013	4	23	0	0	0
2013	4	24	0	0	0
2013	4	25	0	0	0
2013	4	26	0	0	0
2013	4	27	0	0	0
2013	4	28	0	0	0
2013	4	29	0	0	0
2013	4	30	0	0	0
2013	5	1	0	0	0
2013	5	2	0	0	0
2013	5	3	0	0	0
2013	5	4	0	0	0
2013	5	5	0	0	0
2013	5	6	0	0	0
2013	5	7	0	0	0
2013	5	8	0	0	0
2013	5	9	0	0	0
2013	5	10	0	0	0
2013	5	11	0	0	0
2013	5	12	0	0	0
2013	5	13	0	0	0
2013	5	14	0	0	0
2013	5	15	0	0	0
2013	5	16	0	0	0
2013	5	17	0	0	0
2013	5	18	0	0	0
2013	5	19	0	0	0
2013	5	20	0	0	0
2013	5	21	0	0	0
2013	5	22	0	0	0
2013	5	23	0	0	0
2013	5	24	0	0	0
2013	5	25	0	0	0
2013	5	26	0	0	0
2013	5	27	0	0	0
2013	5	28	0	0	0
2013	5	29	0	0	0
2013	5	30	0	0	0
2013	5	31	0	0	0
2013	6	1	0	0	0
2013	6	2	0	0	0
2013	6	3	0	0	0
2013	6	4	0	0	0
2013	6	5	0	0	0
2013	6	6	0	0	0
2013	6	7	0	0	0
2013	6	8	0	0	0
2013	6	9	0	0	0
2013	6	10	0	0	0
2013	6	11	0	0	0
2013	6	12	0	0	0
2013	6	13	0	0	0
2013	6	14	0	0	0
2013	6	15	0	0	0
2013	6	16	0	0	0
2013	6	17	0	0	0
2013	6	18	0	0	0
2013	6	19	0	0	0
2013	6	20	0	0	0
2013	6	21	0	0	0
2013	6	22	0	0	0
2013	6	23	0	0	0
2013	6	24	0	0	0
2013	6	25	0	0	0
2013	6	26	0	0	0
2013	6	27	0	0	0
2013	6	28	0	0	0
2013	6	29	0	0	0
2013	6	30	0	0	0
2013	7	1	0	0	0
2013	7	2	0	0	0
2013	7	3	0	0	0
2013	7	4	0	0	0
2013	7	5	0	0	0
2013	7	6	0	0	0
2013	7	7	0	0	0
2013	7	8	0	0	0
2013	7	9	0	0	0
2013	7	10	0	0	0
2013	7	11	0	0	0
2013	7	12	0	0	0
2013	7	13	0	0	0
2013	7	14	0	0	0
2013	7	15	0	0	0
2013	7	16	0	0	0
2013	7	17	0	0	0
2013	7	18	0	0	0
2013	7	19	0	0	0
2013	7	20	0	0	0
2013	7	21	0	0	0
2013	7	22	0	0	0
2013	7	23	0	0	0
2013	7	24	0	0	0
2013	7	25	0	0	0
2013	7	26	0	0	0
2013	7	27	0	0	0
2013	7	28	0	0	0
2013	7	29	0	0	0
2013	7	30	0	0	0
2013	7	31	0	0	0
2013	8	1	0	0	0
2013	8	2	0	0	0
2013	8	3	0	0	0
2013	8	4	0	0	0
2013	8	5	0	0	0
2013	8	6	0	0	0
2013	8	7	0	0	0
2013	8	8	0	0	0
2013	8	9	0	0	0
2013	8	10	0	0	0
2013	8	11	0	0	0
2013	8	12	0	0	0
2013	8	13	0	0	0
2013	8	14	0	0	0
2013	8	15	0	0	0
2013	8	16	0	0	0
2013	8	17	0	0	0
2013	8	18	0	0	0
2013	8	19	0	0	0
2013	8	20	0	0	0
2013	8	21	0	0	0
2013	8	22	0	0	0
2013	8	23	0	0	0
2013	8	24	0	0	0
2013	8	25	0	0	0
2013	8	26	0	0	0
2013	8	27	0	0	0
2013	8	28	0	0	0
2013	8	29	0	0	0
2013	8	30	0	0	0
2013	8	31	0	0	0
2013	9	1	0	0	0
2013	9	2	0	0	0
2013	9	3	0	0	0
2013	9	4	0	0	0
2013	9	5	0	0	0
2013	9	6	0	0	0
2013	9	7	0	0	0
2013	9	8	0	0	0
2013	9	9	0	0	0
2013	9	10	0	0	0
2013	9	11	0	0	0
2013	9	12	0	0	0
2013	9	13	0	0	0
2013	9	14	0	0	0
2013	9	15	0	0	0
2013	9	16	0	0	0
2013	9	17	0	0	0
2013	9	18	0	0	0
2013	9	19	0	0	0
2013	9	20	0	0	0
2013	9	21	0	0	0
2013	9	22	0	0	0
2013	9	23	0	0	0
2013	9	24	0	0	0
2013	9	25	0	0	0
2013	9	26	0	0	0
2013	9	27	0	0	0
2013	9	28	0	0	0
2013	9	29	0	0	0
2013	9	30	0	0	0
2013	10	1	0	0	0
2013	10	2	0	0	0
2013	10	3	0	0	0
2013	10	4	0	0	0
2013	10	5	0	0	0
2013	10	6	0	0	0
2013	10	7	0	0	0
2013	10	8	0	0	0
2013	10	9	0	0	0
2013	10	10	0	0	0
2013	10	11	0	0	0
2013	10	12	0	0	0
2013	10	13	0	0	38800
2013	10	14	0	0	0
2013	10	15	0	0	0
2013	10	16	0	0	0
2013	10	17	0	0	0
2013	10	18	0	0	0
2013	10	19	0	0	0
2013	10	20	0	0	0
2013	10	21	0	0	0
2013	10	22	0	0	0
2013	10	23	0	0	0
2013	10	24	0	0	0
2013	10	25	0	0	0
2013	10	26	0	0	0
2013	10	27	0	0	0
2013	10	28	0	0	0
2013	10	29	0	0	0
2013	10	30	0	0	0
2013	10	31	0	0	0
2013	11	1	0	0	0
2013	11	2	0	0	0
2013	11	3	0	0	0
2013	11	4	0	0	0
2013	11	5	0	0	0
2013	11	6	0	0	0
2013	11	7	0	0	0
2013	11	8	0	0	0
2013	11	9	0	0	0
2013	11	10	0	0	0
2013	11	11	0	0	0
2013	11	12	0	0	0
2013	11	13	0	0	0
2013	11	14	0	0	0
2013	11	15	0	0	0
2013	11	16	0	0	0
2013	11	17	0	0	0
2013	11	18	0	0	0
2013	11	19	0	0	0
2013	11	20	0	0	0
2013	11	21	0	0	0
2013	11	22	0	0	0
2013	11	23	0	0	0
2013	11	24	0	0	0
2013	11	25	0	0	0
2013	11	26	0	0	0
2013	11	27	0	0	0
2013	11	28	0	0	0
2013	11	29	0	0	0
2013	11	30	0	0	0
2013	12	1	0	0	0
2013	12	2	0	0	0
2013	12	3	0	0	0
2013	12	4	0	0	0
2013	12	5	0	0	0
2013	12	6	0	0	0
2013	12	7	0	0	0
2013	12	8	0	0	0
2013	12	9	0	0	0
2013	12	10	0	0	0
2013	12	11	0	0	0
2013	12	12	0	0	0
2013	12	13	0	0	0
2013	12	14	0	0	0
2013	12	15	0	0	0
2013	12	16	0	0	0
2013	12	17	0	0	0
2013	12	18	0	0	0
2013	12	19	0	0	0
2013	12	20	0	0	0
2013	12	21	0	0	0
2013	12	22	0	0	0
2013	12	23	0	0	0
2013	12	24	0	0	0
2013	12	25	0	0	0
2013	12	26	0	0	0
2013	12	27	0	0	0
2013	12	28	0	0	0
2013	12	29	0	0	0
2013	12	30	0	0	0
2013	12	31	0	0	0
2014	1	1	0	0	0
2014	1	2	0	0	0
2014	1	3	0	0	0
2014	1	4	0	0	0
2014	1	5	0	0	0
2014	1	6	0	0	0
2014	1	7	0	0	0
2014	1	8	0	0	0
2014	1	9	0	0	0
2014	1	10	0	0	0
2014	1	11	0	0	0
2014	1	12	0	0	0
2014	1	13	0	0	0
2014	1	14	0	0	0
2014	1	15	0	0	0
2014	1	16	0	0	0
2014	1	17	0	0	0
2014	1	18	0	0	0
2014	1	19	0	0	0
2014	1	20	0	0	0
2014	1	21	0	0	0
2014	1	22	0	0	0
2014	1	23	0	0	0
2014	1	24	0	0	0
2014	1	25	0	0	0
2014	1	26	0	0	0
2014	1	27	0	0	0
2014	1	28	0	0	0
2014	1	29	0	0	0
2014	1	30	0	0	0
2014	1	31	0	0	0
2014	2	1	0	0	0
2014	2	2	0	0	0
2014	2	3	0	0	0
2014	2	4	0	0	0
2014	2	5	0	0	0
2014	2	6	0	0	0
2014	2	7	0	0	0
2014	2	8	0	0	0
2014	2	9	0	0	0
2014	2	10	0	0	0
2014	2	11	0	0	0
2014	2	12	0	0	0
2014	2	13	0	0	0
2014	2	14	0	0	0
2014	2	15	0	0	0
2014	2	16	0	0	0
2014	2	17	0	0	0
2014	2	18	0	0	0
2014	2	19	0	0	0
2014	2	20	0	0	0
2014	2	21	0	0	0
2014	2	22	0	0	0
2014	2	23	0	0	0
2014	2	24	0	0	0
2014	2	25	0	0	0
2014	2	26	0	0	0
2014	2	27	0	0	0
2014	2	28	0	0	0
2014	3	1	0	0	0
2014	3	2	0	0	0
2014	3	3	0	0	0
2014	3	4	0	0	0
2014	3	5	0	0	0
2014	3	6	0	0	0
2014	3	7	0	0	0
2014	3	8	0	0	0
2014	3	9	0	0	0
2014	3	10	0	0	0
2014	3	11	0	0	0
2014	3	12	0	0	0
2014	3	13	0	0	0
2014	3	14	0	0	0
2014	3	15	0	0	0
2014	3	16	0	0	0
2014	3	17	0	0	0
2014	3	18	0	0	0
2014	3	19	0	0	0
2014	3	20	0	0	0
2014	3	21	0	0	0
2014	3	22	0	0	0
2014	3	23	0	0	0
2014	3	24	0	0	0
2014	3	25	0	0	0
2014	3	26	0	0	0
2014	3	27	0	0	0
2014	3	28	0	0	0
2014	3	29	0	0	0
2014	3	30	0	0	0
2014	3	31	0	0	0
2014	4	1	0	0	0
2014	4	2	0	0	0
2014	4	3	0	0	0
2014	4	4	0	0	0
2014	4	5	0	0	0
2014	4	6	0	0	0
2014	4	7	0	0	0
2014	4	8	0	0	0
2014	4	9	0	0	0
2014	4	10	0	0	0
2014	4	11	0	0	0
2014	4	12	0	0	0
2014	4	13	0	0	0
2014	4	14	0	0	0
2014	4	15	0	0	0
2014	4	16	0	0	0
2014	4	17	0	0	0
2014	4	18	0	0	0
2014	4	19	0	0	0
2014	4	20	0	0	0
2014	4	21	0	0	0
2014	4	22	0	0	0
2014	4	23	0	0	0
2014	4	24	0	0	0
2014	4	25	0	0	0
2014	4	26	0	0	0
2014	4	27	0	0	0
2014	4	28	0	0	0
2014	4	29	0	0	0
2014	4	30	0	0	0
2014	5	1	0	0	0
2014	5	2	0	0	0
2014	5	3	0	0	0
2014	5	4	0	0	0
2014	5	5	0	0	0
2014	5	6	0	0	0
2014	5	7	0	0	0
2014	5	8	0	0	0
2014	5	9	0	0	0
2014	5	10	0	0	0
2014	5	11	0	0	0
2014	5	12	0	0	0
2014	5	13	0	0	0
2014	5	14	0	0	0
2014	5	15	0	0	0
2014	5	16	0	0	0
2014	5	17	0	0	0
2014	5	18	0	0	0
2014	5	19	0	0	0
2014	5	20	0	0	0
2014	5	21	0	0	0
2014	5	22	0	0	0
2014	5	23	0	0	0
2014	5	24	0	0	0
2014	5	25	0	0	0
2014	5	26	0	0	0
2014	5	27	0	0	0
2014	5	28	0	0	0
2014	5	29	0	0	0
2014	5	30	0	0	0
2014	5	31	0	0	0
2014	6	1	0	0	0
2014	6	2	0	0	0
2014	6	3	0	0	0
2014	6	4	0	0	0
2014	6	5	0	0	0
2014	6	6	0	0	0
2014	6	7	0	0	0
2014	6	8	0	0	0
2014	6	9	0	0	0
2014	6	10	0	0	0
2014	6	11	0	0	0
2014	6	12	0	0	0
2014	6	13	0	0	0
2014	6	14	0	0	0
2014	6	15	0	0	0
2014	6	16	0	0	0
2014	6	17	0	0	0
2014	6	18	0	0	0
2014	6	19	0	0	0
2014	6	20	0	0	0
2014	6	21	0	0	0
2014	6	22	0	0	0
2014	6	23	0	0	0
2014	6	24	0	0	0
2014	6	25	0	0	0
2014	6	26	0	0	0
2014	6	27	0	0	0
2014	6	28	0	0	0
2014	6	29	0	0	0
2014	6	30	0	0	0
2014	7	1	0	0	0
2014	7	2	0	0	0
2014	7	3	0	0	0
2014	7	4	0	0	0
2014	7	5	0	0	0
2014	7	6	0	0	0
2014	7	7	0	0	0
2014	7	8	0	0	0
2014	7	9	0	0	0
2014	7	10	0	0	0
2014	7	11	0	0	0
2014	7	12	0	0	0
2014	7	13	0	0	0
2014	7	14	0	0	0
2014	7	15	0	0	0
2014	7	16	0	0	0
2014	7	17	0	0	0
2014	7	18	0	0	0
2014	7	19	0	0	0
2014	7	20	0	0	0
2014	7	21	0	0	0
2014	7	22	0	0	0
2014	7	23	0	0	0
2014	7	24	0	0	0
2014	7	25	0	0	0
2014	7	26	0	0	0
2014	7	27	0	0	0
2014	7	28	0	0	0
2014	7	29	0	0	0
2014	7	30	0	0	0
2014	7	31	0	0	0
2014	8	1	0	0	0
2014	8	2	0	0	0
2014	8	3	0	0	0
2014	8	4	0	0	0
2014	8	5	0	0	0
2014	8	6	0	0	0
2014	8	7	0	0	0
2014	8	8	0	0	0
2014	8	9	0	0	0
2014	8	10	0	0	0
2014	8	11	0	0	0
2014	8	12	0	0	0
2014	8	13	0	0	0
2014	8	14	0	0	0
2014	8	15	0	0	0
2014	8	16	0	0	0
2014	8	17	0	0	0
2014	8	18	0	0	0
2014	8	19	0	0	0
2014	8	20	0	0	0
2014	8	21	0	0	0
2014	8	22	0	0	0
2014	8	23	0	0	0
2014	8	24	0	0	0
2014	8	25	0	0	0
2014	8	26	0	0	0
2014	8	27	0	0	0
2014	8	28	0	0	0
2014	8	29	0	0	0
2014	8	30	0	0	0
2014	8	31	0	0	0
2014	9	1	0	0	0
2014	9	2	0	0	0
2014	9	3	0	0	0
2014	9	4	0	0	0
2014	9	5	0	0	0
2014	9	6	0	0	0
2014	9	7	0	0	0
2014	9	8	0	0	0
2014	9	9	0	0	0
2014	9	10	0	0	0
2014	9	11	0	0	0
2014	9	12	0	0	0
2014	9	13	0	0	0
2014	9	14	0	0	0
2014	9	15	0	0	0
2014	9	16	0	0	0
2014	9	17	0	0	0
2014	9	18	0	0	0
2014	9	19	0	0	0
2014	9	20	0	0	0
2014	9	21	0	0	0
2014	9	22	0	0	0
2014	9	23	0	0	0
2014	9	24	0	0	0
2014	9	25	0	0	0
2014	9	26	0	0	0
2014	9	27	0	0	0
2014	9	28	0	0	0
2014	9	29	0	0	0
2014	9	30	0	0	0
2014	10	1	0	0	0
2014	10	2	0	0	0
2014	10	3	0	0	0
2014	10	4	0	0	0
2014	10	5	0	0	0
2014	10	6	0	0	0
2014	10	7	0	0	0
2014	10	8	0	0	0
2014	10	9	0	0	0
2014	10	10	0	0	0
2014	10	11	0	0	0
2014	10	12	0	0	0
2014	10	13	0	0	0
2014	10	14	0	0	0
2014	10	15	0	0	0
2014	10	16	0	0	0
2014	10	17	0	0	0
2014	10	18	0	0	0
2014	10	19	0	0	0
2014	10	20	0	0	0
2014	10	21	0	0	0
2014	10	22	0	0	0
2014	10	23	0	0	0
2014	10	24	0	0	0
2014	10	25	0	0	0
2014	10	26	0	0	0
2014	10	27	0	0	0
2014	10	28	0	0	0
2014	10	29	0	0	0
2014	10	30	0	0	0
2014	10	31	0	0	0
2014	11	1	0	0	0
2014	11	2	0	0	0
2014	11	3	0	0	0
2014	11	4	0	0	0
2014	11	5	0	0	0
2014	11	6	0	0	0
2014	11	7	0	0	0
2014	11	8	0	0	0
2014	11	9	0	0	0
2014	11	10	0	0	0
2014	11	11	0	0	0
2014	11	12	0	0	0
2014	11	13	0	0	0
2014	11	14	0	0	0
2014	11	15	0	0	0
2014	11	16	0	0	0
2014	11	17	0	0	0
2014	11	18	0	0	0
2014	11	19	0	0	0
2014	11	20	0	0	0
2014	11	21	0	0	0
2014	11	22	0	0	0
2014	11	23	0	0	0
2014	11	24	0	0	0
2014	11	25	0	0	0
2014	11	26	0	0	0
2014	11	27	0	0	0
2014	11	28	0	0	0
2014	11	29	0	0	0
2014	11	30	0	0	0
2014	12	1	0	0	0
2014	12	2	0	0	0
2014	12	3	0	0	0
2014	12	4	0	0	0
2014	12	5	0	0	0
2014	12	6	0	0	0
2014	12	7	0	0	0
2014	12	8	0	0	0
2014	12	9	0	0	0
2014	12	10	0	0	0
2014	12	11	0	0	0
2014	12	12	0	0	0
2014	12	13	0	0	0
2014	12	14	0	0	0
2014	12	15	0	0	0
2014	12	16	0	0	0
2014	12	17	0	0	0
2014	12	18	0	0	0
2014	12	19	0	0	0
2014	12	20	0	0	0
2014	12	21	0	0	0
2014	12	22	0	0	0
2014	12	23	0	0	0
2014	12	24	0	0	0
2014	12	25	0	0	0
2014	12	26	0	0	0
2014	12	27	0	0	0
2014	12	28	0	0	0
2014	12	29	0	0	0
2014	12	30	0	0	0
2014	12	31	0	0	0
2015	1	1	0	0	0
2015	1	2	0	0	0
2015	1	3	0	0	0
2015	1	4	0	0	0
2015	1	5	0	0	0
2015	1	6	0	0	0
2015	1	7	0	0	0
2015	1	8	0	0	0
2015	1	9	0	0	0
2015	1	10	0	0	0
2015	1	11	0	0	0
2015	1	12	0	0	0
2015	1	13	0	0	0
2015	1	14	0	0	0
2015	1	15	0	0	0
2015	1	16	0	0	0
2015	1	17	0	0	0
2015	1	18	0	0	0
2015	1	19	0	0	0
2015	1	20	0	0	0
2015	1	21	0	0	0
2015	1	22	0	0	0
2015	1	23	0	0	0
2015	1	24	0	0	0
2015	1	25	0	0	0
2015	1	26	0	0	0
2015	1	27	0	0	0
2015	1	28	0	0	0
2015	1	29	0	0	0
2015	1	30	0	0	0
2015	1	31	0	0	0
2015	2	1	0	0	0
2015	2	2	0	0	0
2015	2	3	0	0	0
2015	2	4	0	0	0
2015	2	5	0	0	0
2015	2	6	0	0	0
2015	2	7	0	0	0
2015	2	8	0	0	0
2015	2	9	0	0	0
2015	2	10	0	0	0
2015	2	11	0	0	0
2015	2	12	0	0	0
2015	2	13	0	0	0
2015	2	14	0	0	0
2015	2	15	0	0	0
2015	2	16	0	0	0
2015	2	17	0	0	0
2015	2	18	0	0	0
2015	2	19	0	0	0
2015	2	20	0	0	0
2015	2	21	0	0	0
2015	2	22	0	0	0
2015	2	23	0	0	0
2015	2	24	0	0	0
2015	2	25	0	0	0
2015	2	26	0	0	0
2015	2	27	0	0	0
2015	2	28	0	0	0
2015	3	1	0	0	0
2015	3	2	0	0	0
2015	3	3	0	0	0
2015	3	4	0	0	0
2015	3	5	0	0	0
2015	3	6	0	0	0
2015	3	7	0	0	0
2015	3	8	0	0	0
2015	3	9	0	0	0
2015	3	10	0	0	0
2015	3	11	0	0	0
2015	3	12	0	0	0
2015	3	13	0	0	0
2015	3	14	0	0	0
2015	3	15	0	0	0
2015	3	16	0	0	0
2015	3	17	0	0	0
2015	3	18	0	0	0
2015	3	19	0	0	0
2015	3	20	0	0	0
2015	3	21	0	0	0
2015	3	22	0	0	0
2015	3	23	0	0	0
2015	3	24	0	0	0
2015	3	25	0	0	0
2015	3	26	0	0	0
2015	3	27	0	0	0
2015	3	28	0	0	0
2015	3	29	0	0	0
2015	3	30	0	0	0
2015	3	31	0	0	0
2015	4	1	0	0	0
2015	4	2	0	0	0
2015	4	3	0	0	0
2015	4	4	0	0	0
2015	4	5	0	0	0
2015	4	6	0	0	0
2015	4	7	0	0	0
2015	4	8	0	0	0
2015	4	9	0	0	0
2015	4	10	0	0	0
2015	4	11	0	0	0
2015	4	12	0	0	0
2015	4	13	0	0	0
2015	4	14	0	0	0
2015	4	15	0	0	0
2015	4	16	0	0	0
2015	4	17	0	0	0
2015	4	18	0	0	0
2015	4	19	0	0	0
2015	4	20	0	0	0
2015	4	21	0	0	0
2015	4	22	0	0	0
2015	4	23	0	0	0
2015	4	24	0	0	0
2015	4	25	0	0	0
2015	4	26	0	0	0
2015	4	27	0	0	0
2015	4	28	0	0	0
2015	4	29	0	0	0
2015	4	30	0	0	0
2015	5	1	0	0	0
2015	5	2	0	0	0
2015	5	3	0	0	0
2015	5	4	0	0	0
2015	5	5	0	0	0
2015	5	6	0	0	0
2015	5	7	0	0	0
2015	5	8	0	0	0
2015	5	9	0	0	0
2015	5	10	0	0	0
2015	5	11	0	0	0
2015	5	12	0	0	0
2015	5	13	0	0	0
2015	5	14	0	0	0
2015	5	15	0	0	0
2015	5	16	0	0	0
2015	5	17	0	0	0
2015	5	18	0	0	0
2015	5	19	0	0	0
2015	5	20	0	0	0
2015	5	21	0	0	0
2015	5	22	0	0	0
2015	5	23	0	0	0
2015	5	24	0	0	0
2015	5	25	0	0	0
2015	5	26	0	0	0
2015	5	27	0	0	0
2015	5	28	0	0	0
2015	5	29	0	0	0
2015	5	30	0	0	0
2015	5	31	0	0	0
2015	6	1	0	0	0
2015	6	2	0	0	0
2015	6	3	0	0	0
2015	6	4	0	0	0
2015	6	5	0	0	0
2015	6	6	0	0	0
2015	6	7	0	0	0
2015	6	8	0	0	0
2015	6	9	0	0	0
2015	6	10	0	0	0
2015	6	11	0	0	0
2015	6	12	0	0	0
2015	6	13	0	0	0
2015	6	14	0	0	0
2015	6	15	0	0	0
2015	6	16	0	0	0
2015	6	17	0	0	0
2015	6	18	0	0	0
2015	6	19	0	0	0
2015	6	20	0	0	0
2015	6	21	0	0	0
2015	6	22	0	0	0
2015	6	23	0	0	0
2015	6	24	0	0	0
2015	6	25	0	0	0
2015	6	26	0	0	0
2015	6	27	0	0	0
2015	6	28	0	0	0
2015	6	29	0	0	0
2015	6	30	0	0	0
2015	7	1	0	0	0
2015	7	2	0	0	0
2015	7	3	0	0	0
2015	7	4	0	0	0
2015	7	5	0	0	0
2015	7	6	0	0	0
2015	7	7	0	0	0
2015	7	8	0	0	0
2015	7	9	0	0	0
2015	7	10	0	0	0
2015	7	11	0	0	0
2015	7	12	0	0	0
2015	7	13	0	0	0
2015	7	14	0	0	0
2015	7	15	0	0	0
2015	7	16	0	0	0
2015	7	17	0	0	0
2015	7	18	0	0	0
2015	7	19	0	0	0
2015	7	20	0	0	0
2015	7	21	0	0	0
2015	7	22	0	0	0
2015	7	23	0	0	0
2015	7	24	0	0	0
2015	7	25	0	0	0
2015	7	26	0	0	0
2015	7	27	0	0	0
2015	7	28	0	0	0
2015	7	29	0	0	0
2015	7	30	0	0	0
2015	7	31	0	0	0
2015	8	1	0	0	0
2015	8	2	0	0	0
2015	8	3	0	0	0
2015	8	4	0	0	0
2015	8	5	0	0	0
2015	8	6	0	0	0
2015	8	7	0	0	0
2015	8	8	0	0	0
2015	8	9	0	0	0
2015	8	10	0	0	0
2015	8	11	0	0	0
2015	8	12	0	0	0
2015	8	13	0	0	0
2015	8	14	0	0	0
2015	8	15	0	0	0
2015	8	16	0	0	0
2015	8	17	0	0	0
2015	8	18	0	0	0
2015	8	19	0	0	0
2015	8	20	0	0	0
2015	8	21	0	0	0
2015	8	22	0	0	0
2015	8	23	0	0	0
2015	8	24	0	0	0
2015	8	25	0	0	0
2015	8	26	0	0	0
2015	8	27	0	0	0
2015	8	28	0	0	0
2015	8	29	0	0	0
2015	8	30	0	0	0
2015	8	31	0	0	0
2015	9	1	0	0	0
2015	9	2	0	0	0
2015	9	3	0	0	0
2015	9	4	0	0	0
2015	9	5	0	0	0
2015	9	6	0	0	0
2015	9	7	0	0	0
2015	9	8	0	0	0
2015	9	9	0	0	0
2015	9	10	0	0	0
2015	9	11	0	0	0
2015	9	12	0	0	0
2015	9	13	0	0	0
2015	9	14	0	0	0
2015	9	15	0	0	0
2015	9	16	0	0	0
2015	9	17	0	0	0
2015	9	18	0	0	0
2015	9	19	0	0	0
2015	9	20	0	0	0
2015	9	21	0	0	0
2015	9	22	0	0	0
2015	9	23	0	0	0
2015	9	24	0	0	0
2015	9	25	0	0	0
2015	9	26	0	0	0
2015	9	27	0	0	0
2015	9	28	0	0	0
2015	9	29	0	0	0
2015	9	30	0	0	0
2015	10	1	0	0	0
2015	10	2	0	0	0
2015	10	3	0	0	0
2015	10	4	0	0	0
2015	10	5	0	0	0
2015	10	6	0	0	0
2015	10	7	0	0	0
2015	10	8	0	0	0
2015	10	9	0	0	0
2015	10	10	0	0	0
2015	10	11	0	0	0
2015	10	12	0	0	0
2015	10	13	0	0	0
2015	10	14	0	0	0
2015	10	15	0	0	0
2015	10	16	0	0	0
2015	10	17	0	0	0
2015	10	18	0	0	0
2015	10	19	0	0	0
2015	10	20	0	0	0
2015	10	21	0	0	0
2015	10	22	0	0	0
2015	10	23	0	0	0
2015	10	24	0	0	0
2015	10	25	0	0	0
2015	10	26	0	0	0
2015	10	27	0	0	0
2015	10	28	0	0	0
2015	10	29	0	0	0
2015	10	30	0	0	0
2015	10	31	0	0	0
2015	11	1	0	0	0
2015	11	2	0	0	0
2015	11	3	0	0	0
2015	11	4	0	0	0
2015	11	5	0	0	0
2015	11	6	0	0	0
2015	11	7	0	0	0
2015	11	8	0	0	0
2015	11	9	0	0	0
2015	11	10	0	0	0
2015	11	11	0	0	0
2015	11	12	0	0	0
2015	11	13	0	0	0
2015	11	14	0	0	0
2015	11	15	0	0	0
2015	11	16	0	0	0
2015	11	17	0	0	0
2015	11	18	0	0	0
2015	11	19	0	0	0
2015	11	20	0	0	0
2015	11	21	0	0	0
2015	11	22	0	0	0
2015	11	23	0	0	0
2015	11	24	0	0	0
2015	11	25	0	0	0
2015	11	26	0	0	0
2015	11	27	0	0	0
2015	11	28	0	0	0
2015	11	29	0	0	0
2015	11	30	0	0	0
2015	12	1	0	0	0
2015	12	2	0	0	0
2015	12	3	0	0	0
2015	12	4	0	0	0
2015	12	5	0	0	0
2015	12	6	0	0	0
2015	12	7	0	0	0
2015	12	8	0	0	0
2015	12	9	0	0	0
