CLUST_ID,SHP_ID,CLUST_flag,KS_OB,KS_UB,KS_GEO,LK_OB,LK_UB,NFK,PWP,SL_mean,GWFA,GRUND,MPD_V,Baeume,SRF,Lanu_RoGeR,VERS,MPD_H,MPL_V,MULDE,M_OB,BOD_NAT
5-4,4785114,2,16.67,16.67,6545.5,10,10,13,11,3,236,100,94,0,101.99,5,0,125,30,0,30,2.0
5-4,1323159,2,20.83,20.83,65.5,11,11,14,11,3,224,100,83,0,101.32,5,0,125,30,0,30,2.0
5-4,2368211,2,10.42,6.25,65.5,10,8,13,14,3,271,150,93,0,100.98,5,0,125,30,0,30,2.5
5-2,2528766,1,12.5,12.5,654.5,11,11,12,24,6,5978,50,93,0,103.11,5,0,125,30,0,30,2.0
5-2,167907,2,16.67,16.67,654.5,12,12,18,28,5,6403,40,101,0,101.74,5,0,125,30,0,30,2.0
5-2,1031163,2,10.42,10.42,654.5,10,10,14,25,6,1664,80,96,0,100.28,5,0,125,30,0,30,2.0
5-2,2811295,2,16.67,16.67,65.5,11,11,15,14,5,8938,60,92,0,102.92,5,0,125,30,0,30,2.0
5-9,4857776,1,2.08,2.08,65.5,10,5,11,21,5,292,120,97,0,98.18,5,0,125,30,0,30,2.0
5-9,4827317,2,2.08,2.08,65.5,10,5,12,23,5,198,90,99,0,99.08,5,0,125,30,0,30,2.0
5-9,63352,2,4.17,2.08,65.5,10,5,12,17,5,155,150,85,0,98.43,5,0,125,30,0,30,2.5
5-9,739147,2,2.08,2.08,65.5,10,8,12,19,5,456,120,87,0,102.67,5,0,125,30,0,30,2.5
5-16,2072339,1,10.42,10.42,0.7,10,10,16,15,5,957,150,82,0,102.71,5,0,125,30,0,30,3.5
5-16,201649,2,29.17,29.17,65.5,12,12,10,7,5,4124,150,90,0,99.91,5,0,125,30,0,30,2.0
5-16,604130,2,10.42,10.42,0.7,10,10,16,14,7,965,150,82,0,97.19,5,0,125,30,0,30,3.5
5-16,3576445,2,10.42,10.42,0.7,10,10,16,15,3,965,150,82,0,102.33,5,0,125,30,0,30,3.5
5-11,427086,1,10.42,10.42,0.7,10,10,15,16,12,191,150,89,0,99.41,5,0,125,30,0,30,3.0
5-11,1503793,2,10.42,10.42,0.7,10,10,15,16,10,143,150,83,0,105.17,5,0,125,30,0,30,3.0
5-11,1716712,2,10.42,10.42,0.7,10,10,14,16,10,452,150,83,0,99.37,5,0,125,30,0,30,3.0
5-11,4702379,2,10.42,10.42,0.7,10,10,11,17,17,157,120,87,0,103.39,5,0,125,30,0,30,2.5
5-18,2105608,1,10.42,10.42,654.5,10,10,12,22,16,5511,50,99,0,92.21,5,0,125,30,0,30,1.5
5-18,1063594,2,10.42,10.42,65.5,10,10,14,25,18,1464,70,99,0,90.07,5,0,125,30,0,30,2.0
5-18,1273510,2,16.67,16.67,65.5,12,12,18,22,19,1983,40,101,0,106.38,5,0,125,30,0,30,2.0
5-18,1266252,2,10.42,10.42,654.5,10,10,12,22,13,3118,50,100,0,94.01,5,0,125,30,0,30,1.5
5-6,1246667,1,41.67,41.67,654.5,15,15,20,22,7,5337,25,114,0,104.4,5,0,125,25,0,25,1.5
5-6,2063941,2,41.67,41.67,654.5,15,15,20,22,5,994,25,114,0,102.25,5,0,125,25,0,25,1.5
5-6,1246984,2,41.67,41.67,654.5,15,15,20,22,11,6924,25,113,0,102.03,5,0,125,25,0,25,1.5
5-6,426252,2,41.67,41.67,654.5,15,15,15,12,7,11399,40,92,0,104.25,5,0,125,30,0,30,1.5
5-13,1544499,1,16.67,16.67,0.7,12,12,13,18,10,3561,60,105,0,104.68,5,0,125,30,0,30,2.0
5-13,35232,2,10.42,10.42,0.7,10,10,12,22,13,7498,60,98,0,99.64,5,0,125,30,0,30,2.0
5-13,1191516,2,29.17,29.17,0.7,12,12,11,13,14,12995,60,94,0,95.58,5,0,125,30,0,30,2.0
5-13,526823,2,16.67,16.67,0.7,12,12,18,22,6,7545,40,101,0,98.23,5,0,125,30,0,30,2.0
5-20,2283681,1,12.5,12.5,65.5,11,11,14,19,12,276,70,96,0,105.99,5,0,125,30,0,30,2.0
5-20,505699,2,16.67,16.67,65.5,12,12,14,19,7,222,40,106,0,100.18,5,0,125,30,0,30,1.5
5-20,1081124,2,10.42,10.42,654.5,10,10,11,24,9,262,70,104,0,103.29,5,0,125,30,0,30,2.0
5-20,1028562,2,12.5,12.5,65.5,11,11,14,19,16,166,70,96,0,93.75,5,0,125,30,0,30,2.0
5-15,3177732,1,4.17,4.17,0.1,12,12,25,17,3,85,150,200,0,100.69,5,0,125,30,0,30,1.5
5-15,1004222,2,4.17,4.17,0.1,15,15,38,21,4,74,150,200,0,101.89,5,0,125,30,0,30,1.5
5-15,3023129,2,4.17,4.17,0.1,10,10,25,16,3,95,150,200,0,100.44,5,0,125,30,0,30,1.5
5-15,3740110,2,29.17,29.17,0.1,18,18,40,13,2,68,150,200,0,101.27,5,0,125,30,0,30,1.5
