YYYY	MM	DD	PET
2011	2	19	0.8
2011	2	20	0.1
2011	2	21	0.0
2011	2	22	0.0
2011	2	23	0.5
2011	2	24	0.2
2011	2	25	0.5
2011	2	26	0.7
2011	2	27	0.3
2011	2	28	0.6
2011	3	1	1.6
2011	3	2	2.3
2011	3	3	1.4
2011	3	4	1.0
2011	3	5	1.2
2011	3	6	0.7
2011	3	7	2.5
2011	3	8	1.8
2011	3	9	2.8
2011	3	10	2.0
2011	3	11	1.9
2011	3	12	1.2
2011	3	13	0.3
2011	3	14	1.6
2011	3	15	1.4
2011	3	16	0.4
2011	3	17	0.2
2011	3	18	0.8
2011	3	19	0.5
2011	3	20	2.1
2011	3	21	2.7
2011	3	22	2.2
2011	3	23	2.5
2011	3	24	2.0
2011	3	25	3.5
2011	3	26	2.1
2011	3	27	0.9
2011	3	28	1.6
2011	3	29	2.2
2011	3	30	2.2
2011	3	31	1.8
2011	4	1	2.7
2011	4	2	3.1
2011	4	3	3.6
2011	4	4	2.1
2011	4	5	2.1
2011	4	6	2.6
2011	4	7	3.5
2011	4	8	3.0
2011	4	9	3.2
2011	4	10	3.1
2011	4	11	3.0
2011	4	12	1.6
2011	4	13	1.8
2011	4	14	1.9
2011	4	15	2.5
2011	4	16	3.1
2011	4	17	3.4
2011	4	18	3.2
2011	4	19	3.4
2011	4	20	3.3
2011	4	21	3.4
2011	4	22	3.3
2011	4	23	3.2
2011	4	24	2.8
2011	4	25	4.0
2011	4	26	3.6
2011	4	27	2.6
2011	4	28	2.3
2011	4	29	1.1
2011	4	30	1.8
2011	5	1	2.7
2011	5	2	2.7
2011	5	3	2.9
2011	5	4	3.3
2011	5	5	3.9
2011	5	6	3.9
2011	5	7	4.6
2011	5	8	5.0
2011	5	9	4.8
2011	5	10	3.8
2011	5	11	3.6
2011	5	12	2.0
2011	5	13	4.0
2011	5	14	2.0
2011	5	15	2.2
2011	5	16	2.8
2011	5	17	2.9
2011	5	18	4.3
2011	5	19	3.7
2011	5	20	4.0
2011	5	21	4.2
2011	5	22	3.8
2011	5	23	4.4
2011	5	24	4.5
2011	5	25	5.3
2011	5	26	5.4
2011	5	27	2.3
2011	5	28	3.5
2011	5	29	4.8
2011	5	30	5.8
2011	5	31	2.8
2011	6	1	1.0
2011	6	2	3.5
2011	6	3	4.8
2011	6	4	2.7
2011	6	5	4.8
2011	6	6	3.7
2011	6	7	3.4
2011	6	8	1.5
2011	6	9	2.2
2011	6	10	3.2
2011	6	11	2.8
2011	6	12	4.0
2011	6	13	2.6
2011	6	14	3.7
2011	6	15	4.0
2011	6	16	3.8
2011	6	17	3.5
2011	6	18	3.6
2011	6	19	3.3
2011	6	20	3.0
2011	6	21	6.1
2011	6	22	3.3
2011	6	23	3.9
2011	6	24	3.6
2011	6	25	3.9
2011	6	26	5.3
2011	6	27	5.2
2011	6	28	5.5
2011	6	29	1.7
2011	6	30	3.6
2011	7	1	3.0
2011	7	2	4.3
2011	7	3	4.4
2011	7	4	4.6
2011	7	5	4.9
2011	7	6	4.7
2011	7	7	2.6
2011	7	8	4.3
2011	7	9	4.8
2011	7	10	2.5
2011	7	11	4.5
2011	7	12	4.4
2011	7	13	2.1
2011	7	14	3.2
2011	7	15	3.0
2011	7	16	5.2
2011	7	17	2.6
2011	7	18	3.7
2011	7	19	2.2
2011	7	20	1.9
2011	7	21	2.3
2011	7	22	2.6
2011	7	23	2.9
2011	7	24	2.2
2011	7	25	4.2
2011	7	26	2.4
2011	7	27	2.4
2011	7	28	2.9
2011	7	29	3.1
2011	7	30	2.7
2011	7	31	2.8
2011	8	1	3.2
2011	8	2	4.0
2011	8	3	3.3
2011	8	4	3.6
2011	8	5	2.5
2011	8	6	2.7
2011	8	7	2.0
2011	8	8	3.0
2011	8	9	2.0
2011	8	10	3.1
2011	8	11	4.4
2011	8	12	3.8
2011	8	13	3.1
2011	8	14	2.8
2011	8	15	2.4
2011	8	16	2.9
2011	8	17	3.6
2011	8	18	4.1
2011	8	19	4.2
2011	8	20	3.2
2011	8	21	3.1
2011	8	22	4.0
2011	8	23	4.5
2011	8	24	3.3
2011	8	25	2.5
2011	8	26	3.2
2011	8	27	2.1
2011	8	28	3.4
2011	8	29	2.8
2011	8	30	2.8
2011	8	31	2.5
2011	9	1	2.3
2011	9	2	2.5
2011	9	3	3.0
2011	9	4	1.4
2011	9	5	2.9
2011	9	6	3.0
2011	9	7	2.4
2011	9	8	2.4
2011	9	9	1.9
2011	9	10	3.1
2011	9	11	3.6
2011	9	12	3.3
2011	9	13	2.7
2011	9	14	2.2
2011	9	15	2.0
2011	9	16	2.0
2011	9	17	2.1
2011	9	18	1.5
2011	9	19	1.1
2011	9	20	1.9
2011	9	21	1.9
2011	9	22	1.8
2011	9	23	1.7
2011	9	24	1.7
2011	9	25	1.8
2011	9	26	2.0
2011	9	27	1.8
2011	9	28	1.6
2011	9	29	1.6
2011	9	30	1.6
